id,pn,configuration,product_role,representation_role,qualification_status,parent_assembly,mount_interface,mass_source,mass_owner,mass_kg,mass_basis,source_revision,allocated_dynamics_mass_kg,allocated_dynamics_mass_source,allocated_mass_reference,handoff_sha256,receipt_sha256,geometry_snapshot_sha256
hold_shoe_spring_release_0,WP03_HOLD_SHOE_SPRING_RELEASE_0,service,ONBOARD_CANDIDATE,FUNCTIONAL_ENVELOPE,NOT_EVALUATED,ONBOARD_RETENTION,hold_fold_mast_0,UNKNOWN,hold_shoe_spring_release_0,,NOT_ALLOCATED,WP03_PARAMETRIC_DESIGN,,UNKNOWN,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
hold_electric_release_0,WP03_HOLD_ELECTRIC_RELEASE_0,service,ONBOARD_CANDIDATE,FUNCTIONAL_ENVELOPE,NOT_EVALUATED,ONBOARD_RETENTION,hold_pivot_clevis_0,UNKNOWN,hold_electric_release_0,,ONBOARD_EPS_PIN_PULLER_FORCE_STROKE_SHOCK_UNKNOWN,WP03_PARAMETRIC_DESIGN,,UNKNOWN,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
hold_torsion_spring_0,WP03_HOLD_TORSION_SPRING_0,service,ONBOARD_CANDIDATE,FUNCTIONAL_ENVELOPE,NOT_EVALUATED,ONBOARD_RETENTION,hold_pivot_pin_0,UNKNOWN,hold_torsion_spring_0,,NOT_ALLOCATED,WP03_PARAMETRIC_DESIGN,,UNKNOWN,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
hold_position_sensor_0,WP03_HOLD_POSITION_SENSOR_0,service,ONBOARD_CANDIDATE,FUNCTIONAL_ENVELOPE,NOT_EVALUATED,ONBOARD_RETENTION,hold_pivot_clevis_0,UNKNOWN,hold_position_sensor_0,,NOT_ALLOCATED,WP03_PARAMETRIC_DESIGN,,UNKNOWN,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
hold_confirm_latch_0,WP03_HOLD_CONFIRM_LATCH_0,service,ONBOARD_CANDIDATE,FUNCTIONAL_ENVELOPE,NOT_EVALUATED,ONBOARD_RETENTION,hold_fold_mast_0,UNKNOWN,hold_confirm_latch_0,,NOT_ALLOCATED,WP03_PARAMETRIC_DESIGN,,UNKNOWN,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
hold_confirm_cap_0,WP03_HOLD_CONFIRM_CAP_0,service,ONBOARD_CANDIDATE,FUNCTIONAL_ENVELOPE,NOT_EVALUATED,ONBOARD_RETENTION,hold_fold_mast_0,UNKNOWN,hold_confirm_cap_0,,NOT_ALLOCATED,WP03_PARAMETRIC_DESIGN,,UNKNOWN,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
hold_confirm_shoe_0,WP03_HOLD_CONFIRM_SHOE_0,service,ONBOARD_CANDIDATE,FUNCTIONAL_ENVELOPE,NOT_EVALUATED,ONBOARD_RETENTION,hold_fold_mast_0,UNKNOWN,hold_confirm_shoe_0,,NOT_ALLOCATED,WP03_PARAMETRIC_DESIGN,,UNKNOWN,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
hold_crossbeam_1,WP03_HOLD_CROSSBEAM_1,service,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ONBOARD_RETENTION,TOP_LONGERON_HOLD_CLIPS,CAD_ESTIMATE,hold_crossbeam_1,0.1193073671083249,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP03_PARAMETRIC_DESIGN,0.1193073671083249,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
hold_roof_lug_1_-94.15,WP03_HOLD_ROOF_LUG_1_-94.15,service,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ONBOARD_RETENTION,hold_crossbeam_1,CAD_ESTIMATE,hold_roof_lug_1_-94.15,0.009463900264994933,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP03_PARAMETRIC_DESIGN,0.009463900264994933,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
hold_roof_lug_1_94.15,WP03_HOLD_ROOF_LUG_1_94.15,service,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ONBOARD_RETENTION,hold_crossbeam_1,CAD_ESTIMATE,hold_roof_lug_1_94.15,0.009463900264994933,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP03_PARAMETRIC_DESIGN,0.009463900264994933,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
hold_pivot_clevis_1,WP03_HOLD_PIVOT_CLEVIS_1,service,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ONBOARD_RETENTION,hold_roof_lug_1_-94.15,CAD_ESTIMATE,hold_pivot_clevis_1,0.03818155560151721,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP03_PARAMETRIC_DESIGN,0.03818155560151721,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
hold_pivot_pin_1,WP03_HOLD_PIVOT_PIN_1,service,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ONBOARD_RETENTION,hold_pivot_clevis_1,CAD_ESTIMATE,hold_pivot_pin_1,0.013415857267889842,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP03_PARAMETRIC_DESIGN,0.013415857267889842,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
