t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_R1,eta_R2,eta_R3,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
2.1000,20.724043,4.795158,19.915212,4.147953,1.607227,0.381763,1.838123,-1.152778,0.876074,-3.62027612e-04,-2.21891992e-05,-3.74443329e-07,2.72203388e-04,1.38595939e-05,2.06981216e-07,6.32742049e-01,9.30485465e-02,1.96542288e-02,2.99938529e+00,2.38574278e-06,4.823e-16,1.776e-15
2.1200,20.743521,4.840809,19.919725,4.187598,1.607261,0.381078,1.838205,-1.342214,1.018849,-4.12682134e-04,-1.77604830e-05,-1.19813488e-06,3.11438764e-04,1.14879497e-05,7.36327893e-07,6.32727316e-01,9.30407044e-02,1.97678984e-02,2.99929798e+00,2.39997102e-06,7.234e-16,7.772e-16
2.1400,20.763084,4.886465,19.924196,4.227249,1.607315,0.380405,1.838275,-1.531266,1.160213,-4.56568100e-04,-2.83975681e-06,1.81447622e-06,3.45936485e-04,2.50894630e-06,-1.02045523e-06,6.32718268e-01,9.30342038e-02,1.98527739e-02,2.99923137e+00,2.41661560e-06,2.845e-16,3.109e-15
2.1600,20.782734,4.932128,19.928623,4.266905,1.607389,0.379740,1.838332,-1.720142,1.299237,-4.93007483e-04,1.37339966e-05,-9.14184418e-07,3.75155302e-04,-7.75948115e-06,5.21496446e-07,6.32714680e-01,9.30290134e-02,1.99094828e-02,2.99918509e+00,2.43167894e-06,9.576e-16,8.882e-16
2.1800,20.802468,4.977796,19.933007,4.306566,1.607465,0.379077,1.838388,-1.844378,1.397224,-5.21436403e-04,2.22232710e-05,-6.60988277e-07,3.98640463e-04,-1.32831149e-05,4.31223129e-07,6.32711660e-01,9.30239685e-02,1.99631503e-02,2.99914106e+00,2.43867444e-06,2.880e-16,5.551e-16
2.2000,20.822288,5.023470,19.937348,4.346231,1.607555,0.378420,1.838435,-1.888756,1.443173,-5.41418516e-04,1.77099133e-05,1.71084412e-06,4.16027759e-04,-1.08591006e-05,-9.71474660e-07,6.32712437e-01,9.30198258e-02,1.99974330e-02,2.99911093e+00,2.44239914e-06,2.880e-16,2.665e-15
2.2200,20.842193,5.069151,19.941646,4.385901,1.607625,0.377755,1.838495,-1.887043,1.456283,-5.52649735e-04,2.94377556e-06,-1.31872445e-06,4.27050337e-04,-1.97215953e-06,7.61980396e-07,6.32707906e-01,9.30144115e-02,2.00592986e-02,2.99906093e+00,2.44987950e-06,5.690e-16,9.992e-16
2.2400,20.862182,5.114837,19.945901,4.425576,1.607661,0.377076,1.838575,-1.835545,1.435098,-5.54958011e-04,-1.33285133e-05,-8.44614042e-08,4.31545585e-04,8.11493675e-06,1.01699464e-07,6.32694511e-01,9.30068647e-02,2.01673835e-02,2.99897765e+00,2.45763770e-06,1.003e-15,1.332e-15
2.2600,20.882256,5.160528,19.950113,4.465256,1.607692,0.376398,1.838657,-1.780053,1.406721,-5.48315474e-04,-2.15468500e-05,1.43188900e-06,4.29451969e-04,1.34753854e-05,-8.19183561e-07,6.32680206e-01,9.29990827e-02,2.02807189e-02,2.99889053e+00,2.46045329e-06,1.150e-15,9.992e-16
2.2800,20.902413,5.206224,19.954281,4.504941,1.607714,0.375716,1.838745,-1.753292,1.391673,-5.32837560e-04,-1.69524421e-05,-1.55382535e-06,4.20810858e-04,1.10013656e-05,9.06836266e-07,6.32663377e-01,9.29907017e-02,2.04071907e-02,2.99879410e+00,2.46306870e-06,1.662e-15,1.110e-15
2.3000,20.922654,5.251925,19.958405,4.544631,1.607747,0.375038,1.838826,-1.714440,1.366693,-5.08778574e-04,-2.34099681e-06,4.64873602e-07,4.05767212e-04,2.20614678e-06,-2.16705238e-07,6.32649615e-01,9.29830671e-02,2.05176391e-02,2.99870930e+00,2.47193027e-06,1.367e-15,2.220e-15
2.3200,20.942978,5.297631,19.962487,4.584326,1.607820,0.374376,1.838882,-1.657441,1.327162,-4.76534034e-04,1.36337148e-05,1.01680605e-06,3.84563293e-04,-7.70228049e-06,-5.88000919e-07,6.32646306e-01,9.29779561e-02,2.05734450e-02,2.99866379e+00,2.48394998e-06,1.310e-15,2.220e-15
2.3400,20.963386,5.343343,19.966525,4.624025,1.607904,0.373716,1.838932,-1.558054,1.258413,-4.36626997e-04,2.15864915e-05,-1.60599943e-06,3.57539007e-04,-1.29032161e-05,9.45968889e-07,6.32645750e-01,9.29735413e-02,2.06142361e-02,2.99862926e+00,2.49393725e-06,1.332e-15,8.882e-16
2.3600,20.983877,5.389061,19.970521,4.663729,1.607995,0.373058,1.838978,-1.374609,1.135183,-3.89696450e-04,1.69142848e-05,9.30272630e-07,3.25128005e-04,-1.03820983e-05,-4.89998244e-07,6.32646944e-01,9.29695683e-02,2.06455307e-02,2.99860165e+00,2.50564651e-06,4.441e-16,1.332e-15
2.3800,21.004452,5.434784,19.974473,4.703436,1.608088,0.372399,1.839022,-1.146731,0.979994,-3.36492409e-04,2.45678458e-06,5.20951508e-07,2.87847491e-04,-1.67903067e-06,-3.06407441e-07,6.32648664e-01,9.29657361e-02,2.06738662e-02,2.99857623e+00,2.52491641e-06,9.662e-16,7.772e-16
2.4000,21.025109,5.480514,19.978382,4.743147,1.608152,0.371727,1.839083,-0.901696,0.810249,-2.77858347e-04,-1.32253709e-05,-1.47930555e-06,2.46293351e-04,8.05252025e-06,8.83370762e-07,6.32642529e-01,9.29600398e-02,2.07427635e-02,2.99852188e+00,2.54834742e-06,1.466e-15,2.220e-15
2.4200,21.045849,5.526248,19.982248,4.782863,1.608210,0.371051,1.839148,-0.652381,0.634787,-2.14721119e-04,-2.09196576e-05,1.26793137e-06,2.01128679e-04,1.30964599e-05,-6.91089164e-07,6.32634575e-01,9.29539146e-02,2.08210812e-02,2.99846084e+00,2.56983542e-06,7.425e-16,8.882e-16
2.4400,21.066670,5.571987,19.986071,4.822582,1.608280,0.370380,1.839206,-0.446950,0.482953,-1.48083043e-04,-1.61750234e-05,2.21385147e-09,1.53069460e-04,1.05298740e-05,-8.38692278e-09,6.32629912e-01,9.29485976e-02,2.08819300e-02,2.99841242e+00,2.59230237e-06,4.996e-16,1.332e-15
2.4600,21.087574,5.617732,19.989850,4.862306,1.608359,0.369710,1.839257,-0.265406,0.344566,-7.90001312e-05,-1.87319222e-06,-1.20075455e-06,1.02876848e-04,1.91810553e-06,7.30899642e-07,6.32627453e-01,9.29438473e-02,2.09305345e-02,2.99837296e+00,2.62111727e-06,9.610e-16,2.665e-15
2.4800,21.108559,5.663483,19.993587,4.902034,1.608476,0.369054,1.839286,-0.069932,0.197133,-8.56796246e-06,1.35183538e-05,1.44766726e-06,5.13434518e-05,-7.63980452e-06,-8.04409533e-07,6.32634905e-01,9.29415093e-02,2.09267489e-02,2.99837111e+00,2.65209564e-06,1.882e-15,1.776e-15
2.5000,21.129626,5.709239,19.997280,4.941764,1.608622,0.368406,1.839297,0.137753,0.040944,6.20949989e-05,2.09578221e-05,-4.82978973e-07,-7.19612236e-07,-1.25306996e-05,2.72404607e-07,6.32649781e-01,9.29409972e-02,2.08833602e-02,2.99839779e+00,2.67855400e-06,3.886e-16,2.220e-15
2.5200,21.150775,5.755002,20.000931,4.981497,1.608767,0.367754,1.839308,0.389401,-0.142509,1.31873590e-04,1.61425223e-05,-8.09368936e-07,-5.24906702e-05,-9.92170888e-06,5.11209124e-07,6.32663938e-01,9.29403546e-02,2.08429312e-02,2.99842260e+00,2.70345329e-06,3.782e-16,8.882e-16
2.5400,21.172005,5.800771,20.004539,5.021234,1.608915,0.367103,1.839318,0.674758,-0.347559,1.99669503e-04,1.99416223e-06,1.46212968e-06,-1.03153071e-04,-1.40198808e-06,-8.22050186e-07,6.32679002e-01,9.29399502e-02,2.07974584e-02,2.99845111e+00,2.73187125e-06,1.161e-15,1.332e-15
2.5600,21.193316,5.846547,20.008104,5.060973,1.609049,0.366444,1.839335,0.937393,-0.540058,2.64417294e-04,-1.31126137e-05,-8.82553665e-07,-1.51908700e-04,7.98394093e-06,5.08299980e-07,6.32689959e-01,9.29385825e-02,2.07730237e-02,2.99846468e+00,2.75924187e-06,7.581e-16,4.441e-16
2.5800,21.214708,5.892328,20.011625,5.100715,1.609163,0.365775,1.839365,1.169188,-0.713123,3.25104584e-04,-2.03048299e-05,-3.53647783e-07,-1.97988427e-04,1.27241644e-05,2.52773158e-07,6.32695749e-01,9.29359927e-02,2.07752136e-02,2.99845927e+00,2.77947937e-06,3.886e-16,3.109e-15
2.6000,21.236181,5.938115,20.015104,5.140460,1.609294,0.365112,1.839384,1.346973,-0.852155,3.80780059e-04,-1.54246583e-05,1.31963983e-06,-2.40668771e-04,1.00741972e-05,-7.48776505e-07,6.32705855e-01,9.29344537e-02,2.07546988e-02,2.99847017e+00,2.79622817e-06,1.010e-15,3.997e-15
2.6200,21.257734,5.983908,20.018540,5.180207,1.609441,0.364454,1.839393,1.459859,-0.949610,4.30569121e-04,-1.43147746e-06,-1.16082218e-06,-2.79282579e-04,1.64582216e-06,6.75505404e-07,6.32720013e-01,9.29339220e-02,2.07124300e-02,2.99849680e+00,2.81452115e-06,6.488e-16,1.332e-15
2.6400,21.279366,6.029706,20.021933,5.219957,1.609609,0.363802,1.839390,1.560058,-1.035737,4.73692270e-04,1.33924730e-05,1.11287467e-07,-3.13226784e-04,-7.57112872e-06,-1.55306142e-08,6.32739525e-01,9.29347116e-02,2.06416353e-02,2.99854405e+00,2.83032087e-06,5.811e-16,1.332e-15
2.6600,21.301079,6.075512,20.025283,5.259709,1.609809,0.363162,1.839366,1.660917,-1.119559,5.09473153e-04,2.03411266e-05,1.04475640e-06,-3.41974430e-04,-1.21643297e-05,-5.98832290e-07,6.32767535e-01,9.29375720e-02,2.05261624e-02,2.99862348e+00,2.83885587e-06,4.007e-16,2.220e-15
2.6800,21.322872,6.121324,20.028591,5.299463,1.610007,0.362519,1.839344,1.764210,-1.202351,5.37354455e-04,1.53983618e-05,-1.29485875e-06,-3.65079777e-04,-9.47586548e-06,7.61011086e-07,6.32794793e-01,9.29402838e-02,2.04141721e-02,2.99870065e+00,2.84436830e-06,9.680e-16,2.665e-15
2.7000,21.344745,6.167143,20.031856,5.339218,1.610192,0.361869,1.839330,1.883570,-1.292024,5.56909406e-04,1.55882433e-06,5.36623856e-07,-3.82183758e-04,-1.13912679e-06,-2.62938113e-07,6.32818319e-01,9.29421106e-02,2.03215714e-02,2.99876400e+00,2.85206603e-06,2.932e-16,5.551e-16
2.7200,21.366697,6.212968,20.035078,5.378976,1.610366,0.361216,1.839322,1.970378,-1.359855,5.67841876e-04,-1.29871271e-05,6.77454094e-07,-3.93023343e-04,7.91092628e-06,-3.91897468e-07,6.32839418e-01,9.29433536e-02,2.02418059e-02,2.99881813e+00,2.85885734e-06,2.776e-16,1.332e-15
2.7400,21.388728,6.258800,20.038257,5.418735,1.610516,0.360552,1.839328,1.993781,-1.385967,5.69993595e-04,-1.96982121e-05,-1.27864715e-06,-3.97433754e-04,1.23600581e-05,7.61404306e-07,6.32853951e-01,9.29430227e-02,2.01962051e-02,2.99884772e+00,2.86086441e-06,3.886e-16,2.665e-15
2.7600,21.410838,6.304637,20.041393,5.458496,1.610666,0.359888,1.839334,1.961615,-1.373834,5.63344593e-04,-1.46970967e-05,8.78363106e-07,-3.95352001e-04,9.63497862e-06,-4.64775045e-07,6.32868454e-01,9.29426826e-02,2.01509583e-02,2.99887702e+00,2.86236355e-06,6.765e-16,2.665e-15
2.7800,21.433026,6.350479,20.044486,5.498260,1.610835,0.359234,1.839328,1.861184,-1.315940,5.48007897e-04,-1.01122581e-06,2.61387985e-07,-3.86820804e-04,1.38977031e-06,-1.55144683e-07,6.32888513e-01,9.29436843e-02,2.00769238e-02,2.99892704e+00,2.86865443e-06,4.250e-16,2.665e-15
2.8000,21.455292,6.396328,20.047536,5.538025,1.611014,0.358582,1.839317,1.727570,-1.232727,5.24233772e-04,1.32605204e-05,-1.12540071e-06,-3.71984074e-04,-7.49555584e-06,6.80792749e-07,6.32910743e-01,9.29452262e-02,1.99914376e-02,2.99898542e+00,2.87701652e-06,1.544e-15,8.882e-16
2.8200,21.477636,6.442183,20.050544,5.577791,1.611209,0.357938,1.839295,1.605326,-1.151664,4.92405758e-04,1.97393308e-05,1.10427288e-06,-3.51084657e-04,-1.18035336e-05,-6.02804464e-07,6.32937518e-01,9.29478674e-02,1.98825093e-02,2.99906073e+00,2.88343432e-06,6.731e-16,8.882e-16
2.8400,21.500059,6.488045,20.053508,5.617559,1.611405,0.357295,1.839272,1.484780,-1.068476,4.53033174e-04,1.46839480e-05,-1.54769270e-07,-3.24461221e-04,-9.04347480e-06,8.46579276e-08,6.32964887e-01,9.29506542e-02,1.97707320e-02,2.99913816e+00,2.89173117e-06,1.128e-15,1.332e-15
2.8600,21.522559,6.533912,20.056431,5.657328,1.611573,0.356640,1.839267,1.371417,-0.986417,4.06749166e-04,1.15225284e-06,-8.58592429e-07,-2.92539206e-04,-8.89239709e-07,5.34308475e-07,6.32984628e-01,9.29516003e-02,1.96987638e-02,2.99918683e+00,2.90685128e-06,3.886e-16,1.332e-15
2.8800,21.545137,6.579786,20.059310,5.697099,1.611721,0.355980,1.839273,1.248097,-0.895642,3.54296442e-04,-1.28481322e-05,1.19925212e-06,-2.55826538e-04,7.83401828e-06,-6.65020455e-07,6.32999492e-01,9.29513477e-02,1.96527267e-02,2.99921660e+00,2.92548351e-06,2.776e-16,3.109e-15
2.9000,21.567791,6.625664,20.062146,5.736871,1.611849,0.355314,1.839291,1.067635,-0.767845,2.96512024e-04,-1.90983912e-05,-5.25437449e-07,-2.14907305e-04,1.20044226e-05,3.02065340e-07,6.33009268e-01,9.29498492e-02,1.96335821e-02,2.99922677e+00,2.94289889e-06,1.154e-15,9.992e-16
2.9200,21.590521,6.671547,20.064938,5.776646,1.611960,0.354642,1.839320,0.839622,-0.607544,2.34317019e-04,-1.39907265e-05,-5.14973830e-07,-1.70430479e-04,9.21185921e-06,3.41328963e-07,6.33014792e-01,9.29473103e-02,1.96368931e-02,2.99922057e+00,2.96237944e-06,1.069e-15,2.220e-15
2.9400,21.613328,6.717435,20.067688,5.816422,1.612085,0.353980,1.839339,0.577614,-0.423220,1.68696865e-04,-6.11331115e-07,1.15966936e-06,-1.23102596e-04,1.14895356e-06,-6.50874968e-07,6.33024592e-01,9.29457831e-02,1.96185950e-02,2.99922983e+00,2.98808790e-06,1.147e-15,3.109e-15
2.9600,21.636211,6.763328,20.070394,5.856200,1.612222,0.353323,1.839351,0.293937,-0.222917,1.00686797e-04,1.31233551e-05,-8.15382983e-07,-7.36757899e-05,-7.41375861e-06,4.73924940e-07,6.33037421e-01,9.29449830e-02,1.95848101e-02,2.99925022e+00,3.01580823e-06,1.285e-15,1.776e-15
2.9800,21.659170,6.809226,20.073058,5.895980,1.612358,0.352668,1.839363,0.040905,-0.038488,3.13613024e-05,1.91519204e-05,-1.37196952e-07,-2.29325906e-05,-1.14489098e-05,1.25070566e-07,6.33050430e-01,9.29442215e-02,1.95503275e-02,2.99927106e+00,3.04045592e-06,2.220e-16,3.109e-15
3.0000,21.682205,6.855129,20.075678,5.935761,1.612496,0.352015,1.839374,-0.173432,0.123281,-3.81859686e-05,1.39973125e-05,9.99152217e-07,2.83244204e-05,-8.62505042e-06,-5.66206144e-07,6.33064196e-01,9.29436257e-02,1.95124304e-02,2.99929422e+00,3.06505711e-06,5.811e-16,1.332e-15
3.0200,21.705315,6.901037,20.078256,5.975544,1.612608,0.351353,1.839401,-0.368068,0.272852,-1.06856873e-04,7.72112724e-07,-9.96783242e-07,7.92868262e-05,-6.52461848e-07,5.85963700e-07,6.33071143e-01,9.29413706e-02,1.95102276e-02,2.99929143e+00,3.09309204e-06,1.658e-15,3.109e-15
3.0400,21.728501,6.946949,20.080790,6.015329,1.612688,0.350680,1.839448,-0.544287,0.411057,-1.73564355e-04,-1.26985216e-05,2.33598540e-07,1.29154089e-04,7.75255658e-06,-8.85444974e-08,6.33069891e-01,9.29371110e-02,1.95510982e-02,2.99925725e+00,3.12009401e-06,5.135e-16,2.220e-15
3.0600,21.751760,6.992865,20.083281,6.055116,1.612753,0.350006,1.839502,-0.738688,0.559297,-2.37256333e-04,-1.85081018e-05,7.43423747e-07,1.77142276e-04,1.16560343e-05,-4.24162906e-07,6.33065455e-01,9.29320516e-02,1.96092298e-02,2.99921036e+00,3.14144097e-06,2.949e-16,8.882e-16
3.0800,21.775094,7.038784,20.085728,6.094905,1.612805,0.349327,1.839565,-0.964614,0.726214,-2.96930845e-04,-1.33075425e-05,-1.05780979e-06,2.22497479e-04,8.80340941e-06,6.29406868e-07,6.33057358e-01,9.29260920e-02,1.96867982e-02,2.99914931e+00,3.16031883e-06,2.311e-15,8.882e-16
3.1000,21.798502,7.084707,20.088132,6.134696,1.612861,0.348653,1.839624,-1.188859,0.892195,-3.51651454e-04,-2.34179736e-07,5.56173526e-07,2.64507878e-04,9.21386000e-07,-2.78004800e-07,6.33051052e-01,9.29205491e-02,1.97555330e-02,2.99909455e+00,3.18015907e-06,1.495e-15,3.109e-15
3.1200,21.821984,7.130634,20.090492,6.174489,1.612939,0.347989,1.839671,-1.399814,1.049035,-4.00565438e-04,1.29781573e-05,4.24416896e-07,3.02512857e-04,-7.32757382e-06,-2.44859115e-07,6.33050526e-01,9.29163937e-02,1.97945497e-02,2.99906118e+00,3.19717641e-06,4.441e-16,5.551e-16
3.1400,21.845539,7.176564,20.092809,6.214284,1.613018,0.347326,1.839717,-1.567092,1.177884,-4.42911208e-04,1.85755059e-05,-1.00026681e-06,3.35916819e-04,-1.11017221e-05,6.03542258e-07,6.33050208e-01,9.29122928e-02,1.98324929e-02,2.99902858e+00,3.20768401e-06,7.425e-16,4.885e-15
3.1600,21.869168,7.222497,20.095083,6.254081,1.613093,0.346663,1.839764,-1.662226,1.260475,-4.78029007e-04,1.33337669e-05,7.99628682e-07,3.64198939e-04,-8.22179430e-06,-4.23942479e-07,6.33049400e-01,9.29080661e-02,1.98732409e-02,2.99899389e+00,3.21529970e-06,1.029e-15,3.109e-15
3.1800,21.892870,7.268435,20.097313,6.293880,1.613157,0.345996,1.839819,-1.713533,1.312331,-5.05373885e-04,4.13479422e-07,8.22646964e-08,3.86919646e-04,-4.29660141e-07,-4.86935851e-08,6.33045591e-01,9.29031049e-02,1.99298939e-02,2.99894766e+00,3.22396573e-06,4.215e-16,8.882e-16
3.2000,21.916645,7.314375,20.099501,6.333680,1.613190,0.345317,1.839892,-1.737620,1.343775,-5.24520518e-04,-1.25428575e-05,-8.36279638e-07,4.03729638e-04,7.66568174e-06,5.16745224e-07,6.33033724e-01,9.28961888e-02,2.00287369e-02,2.99887099e+00,3.23082345e-06,1.724e-15,5.551e-16
3.2200,21.940493,7.360318,20.101644,6.373483,1.613211,0.344636,1.839972,-1.749427,1.363990,-5.35173567e-04,-1.79316575e-05,9.43441712e-07,4.14373051e-04,1.13133986e-05,-5.13061344e-07,6.33019056e-01,9.28885795e-02,2.01426667e-02,2.99878339e+00,3.23287896e-06,6.679e-16,7.772e-16
3.2400,21.964412,7.406264,20.103744,6.413288,1.613234,0.343956,1.840050,-1.778135,1.390678,-5.37175946e-04,-1.26507841e-05,-2.45466582e-07,4.18689377e-04,8.40805027e-06,1.41615577e-07,6.33004986e-01,9.28811102e-02,2.02537438e-02,2.99869787e+00,3.23410091e-06,2.347e-15,1.776e-15
3.2600,21.988403,7.452212,20.105800,6.453095,1.613263,0.343279,1.840125,-1.799977,1.410571,-5.30507411e-04,1.17500189e-07,-5.92036088e-07,4.16618180e-04,7.05443084e-07,3.81008488e-07,6.32992392e-01,9.28740068e-02,2.03570756e-02,2.99861803e+00,3.23882164e-06,1.124e-15,8.882e-16
3.2800,22.012467,7.498163,20.107813,6.492904,1.613318,0.342612,1.840184,-1.786135,1.405837,-5.15286943e-04,1.28218226e-05,9.76865834e-07,4.08198510e-04,-7.23861876e-06,-5.40571872e-07,6.32986828e-01,9.28686120e-02,2.04236229e-02,2.99856467e+00,3.24447270e-06,7.667e-16,1.332e-15
3.3000,22.036602,7.544117,20.109782,6.532714,1.613388,0.341951,1.840234,-1.729107,1.371074,-4.91769529e-04,1.80069770e-05,-5.25012487e-07,3.93568841e-04,-1.07628054e-05,3.05615998e-07,6.32985348e-01,9.28642261e-02,2.04684748e-02,2.99852701e+00,3.24810931e-06,2.220e-16,1.332e-15
3.3200,22.060808,7.590074,20.111708,6.572526,1.613456,0.341287,1.840285,-1.603814,1.291038,-4.60336522e-04,1.26897529e-05,-2.98215717e-07,3.72967795e-04,-7.83408936e-06,2.14614723e-07,6.32982802e-01,9.28596024e-02,2.05185677e-02,2.99848572e+00,3.25362969e-06,1.093e-15,1.776e-15
3.3400,22.085086,7.636034,20.113591,6.612339,1.613520,0.340621,1.840337,-1.425366,1.173889,-4.21492660e-04,7.25852820e-08,9.05054051e-07,3.46728207e-04,-2.21087393e-07,-5.06254687e-07,6.32979678e-01,9.28548472e-02,2.05716071e-02,2.99844235e+00,3.26503310e-06,1.285e-15,2.220e-15
3.3600,22.109435,7.681997,20.115430,6.652154,1.613569,0.339948,1.840399,-1.234063,1.044058,-3.75858021e-04,-1.23838869e-05,-7.27748500e-07,3.15271827e-04,7.57344030e-06,4.28501703e-07,6.32972147e-01,9.28490389e-02,2.06475289e-02,2.99838267e+00,3.27920351e-06,4.892e-16,4.441e-16
3.3800,22.133854,7.727962,20.117226,6.691970,1.613605,0.339269,1.840469,-1.039478,0.908650,-3.24157073e-04,-1.73709443e-05,1.09408447e-08,2.79103214e-04,1.09762047e-05,3.77637364e-08,6.32961315e-01,9.28424427e-02,2.07406217e-02,2.99831078e+00,3.29278563e-06,2.776e-16,1.332e-15
3.4000,22.158344,7.773930,20.118978,6.731787,1.613655,0.338595,1.840530,-0.862178,0.780535,-2.67212800e-04,-1.20213556e-05,7.41707825e-07,2.38798437e-04,8.02517659e-06,-4.18331827e-07,6.32954125e-01,9.28367395e-02,2.08144922e-02,2.99825273e+00,3.30916045e-06,4.632e-16,1.776e-15
3.4200,22.182904,7.819901,20.120687,6.771605,1.613720,0.337926,1.840581,-0.702126,0.660721,-2.05932161e-04,4.43955307e-07,-8.38421493e-07,1.94996942e-04,5.00811939e-07,4.98517399e-07,6.32950877e-01,9.28320194e-02,2.08671542e-02,2.99821003e+00,3.33140240e-06,6.800e-16,2.220e-15
3.4400,22.207534,7.865875,20.122352,6.811425,1.613809,0.337264,1.840618,-0.520609,0.526588,-1.41289221e-04,1.26545717e-05,2.99584427e-07,1.48392756e-04,-7.14709273e-06,-1.30983761e-07,6.32953635e-01,9.28287852e-02,2.08876947e-02,2.99819048e+00,3.35563239e-06,2.325e-16,1.110e-15
3.4600,22.232234,7.911852,20.123975,6.851245,1.613925,0.336611,1.840639,-0.309187,0.372263,-7.43117832e-05,1.74464180e-05,5.09729525e-07,9.97221357e-05,-1.04318216e-05,-2.90027027e-07,6.32963417e-01,9.28272836e-02,2.08707757e-02,2.99819789e+00,3.37814681e-06,4.927e-16,1.332e-15
3.4800,22.257004,7.957832,20.125554,6.891065,1.614043,0.335955,1.840658,-0.064299,0.195604,-6.06054757e-06,1.20655127e-05,-8.50228467e-07,4.97545291e-05,-7.46084383e-06,5.12114177e-07,6.32973317e-01,9.28258482e-02,2.08525326e-02,2.99820645e+00,3.40174749e-06,8.014e-16,2.665e-15
3.5000,22.281844,8.003816,20.127090,6.930885,1.614156,0.335296,1.840680,0.214074,-0.003275,6.23885128e-05,-2.50468991e-07,5.39586169e-07,-7.19286098e-07,-2.55984117e-08,-2.72851068e-07,6.32981694e-01,9.28240679e-02,2.08418654e-02,2.99820972e+00,3.42874736e-06,1.690e-15,1.332e-15
3.5200,22.306753,8.049803,20.128584,6.970706,1.614263,0.334633,1.840705,0.482569,-0.198275,1.29957060e-04,-1.22207010e-05,2.40041104e-07,-5.09020681e-05,7.47704992e-06,-1.36624630e-07,6.32988693e-01,9.28219721e-02,2.08381302e-02,2.99820811e+00,3.45506471e-06,6.835e-16,5.551e-16
3.5400,22.331732,8.095793,20.130033,7.010527,1.614359,0.333963,1.840737,0.717119,-0.373318,1.95583170e-04,-1.68237792e-05,-7.67696699e-07,-1.00001488e-04,1.06455889e-05,4.71780078e-07,6.32992473e-01,9.28191198e-02,2.08508706e-02,2.99819483e+00,3.47712673e-06,9.766e-16,4.441e-15
3.5600,22.356779,8.141786,20.131440,7.050348,1.614465,0.333297,1.840763,0.916087,-0.526132,2.58235545e-04,-1.14163786e-05,7.07434917e-07,-1.47244051e-04,7.65542336e-06,-3.74913104e-07,6.32998897e-01,9.28169264e-02,2.08494334e-02,2.99819177e+00,3.49760048e-06,2.845e-16,2.665e-15
3.5800,22.381895,8.187783,20.132803,7.090169,1.614595,0.332638,1.840773,1.071211,-0.651164,3.16926914e-04,7.48919034e-07,-3.75139434e-08,-1.91888787e-04,3.08236196e-07,2.26399386e-08,6.33011473e-01,9.28162515e-02,2.08152117e-02,2.99821230e+00,3.51880298e-06,8.691e-16,9.992e-16
3.6000,22.407079,8.233783,20.134123,7.129989,1.614743,0.331984,1.840773,1.211850,-0.765102,3.70734041e-04,1.24803337e-05,-6.07259158e-07,-2.33236226e-04,-7.05194707e-06,3.84246795e-07,6.33028485e-01,9.28166882e-02,2.07570567e-02,2.99825015e+00,3.53719228e-06,5.239e-16,2.665e-15
3.6200,22.432332,8.279786,20.135401,7.169809,1.614914,0.331338,1.840760,1.364524,-0.884242,4.18811931e-04,1.68971047e-05,7.89173137e-07,-2.70639737e-04,-1.01075386e-05,-4.29077319e-07,6.33051253e-01,9.28185489e-02,2.06682660e-02,2.99831012e+00,3.54979642e-06,6.401e-16,4.441e-16
3.6400,22.457654,8.325794,20.136636,7.209628,1.615090,0.330692,1.840742,1.520212,-1.003796,4.60407391e-04,1.14641978e-05,-2.91748960e-07,-3.03515521e-04,-7.10023241e-06,1.70884540e-07,6.33075474e-01,9.28207906e-02,2.05714566e-02,2.99837602e+00,3.55972018e-06,8.344e-16,6.661e-16
3.6600,22.483044,8.371806,20.137827,7.249446,1.615252,0.330037,1.840733,1.677388,-1.122392,4.94874674e-04,-5.52644492e-07,-3.89578573e-07,-3.31349556e-04,1.58771739e-07,2.63079373e-07,6.33095696e-01,9.28220842e-02,2.04953261e-02,2.99842724e+00,3.56989142e-06,2.776e-16,1.776e-15
3.6800,22.508501,8.417821,20.138976,7.289263,1.615405,0.329380,1.840729,1.811153,-1.224967,5.21681890e-04,-1.20501774e-05,7.82991158e-07,-3.53707817e-04,7.37812340e-06,-4.31563891e-07,6.33113678e-01,9.28228410e-02,2.04309566e-02,2.99847005e+00,3.57754366e-06,3.886e-16,1.332e-15
3.7000,22.534026,8.463840,20.140082,7.329080,1.615548,0.328718,1.840731,1.884655,-1.288521,5.40417523e-04,-1.62860834e-05,-4.96289692e-07,-3.70243853e-04,1.03230079e-05,2.93202959e-07,6.33129059e-01,9.28229760e-02,2.03801570e-02,2.99850316e+00,3.58039388e-06,6.748e-16,8.882e-16
3.7200,22.559618,8.509861,20.141145,7.368895,1.615689,0.328054,1.840734,1.902544,-1.314295,5.50798019e-04,-1.08312979e-05,-1.42549351e-07,-3.80703295e-04,7.29976141e-06,1.22846702e-07,6.33143846e-01,9.28229759e-02,2.03324182e-02,2.99853410e+00,3.58212849e-06,1.037e-15,8.882e-16
