t_s,q2_deg,q3_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,base_dev_angle_deg,base_pos_x_m,base_pos_y_m,base_pos_z_m,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_L4,eta_R1,eta_R2,eta_R3,eta_R4,W_joint_J,E_damp_J,abs_dP,abs_dL
3.6200,24.68831,-16.45888,0.008312,6.547769,-0.001986,6.547775,-0.0020228,0.0000035,0.0006979,-0.053308,-0.052531,-1.59070563e-05,-1.85597663e-07,-1.35965531e-08,-2.52762723e-09,-1.56760529e-05,-1.83859368e-07,-1.34813579e-08,-2.50732605e-09,5.61156489e-03,1.24119796e-10,2.277e-17,2.576e-17
3.6400,24.96477,-16.64318,0.008435,6.635350,-0.001993,6.635355,-0.0020192,0.0000036,0.0006999,-0.053251,-0.052491,-1.58865849e-05,-1.81735062e-07,-1.34039188e-08,-2.49303478e-09,-1.56605634e-05,-1.80035359e-07,-1.32906329e-08,-2.47305719e-09,5.63937049e-03,1.24123690e-10,5.117e-17,1.179e-17
3.6600,25.24173,-16.82782,0.008559,6.723352,-0.002000,6.723358,-0.0020148,0.0000036,0.0007019,-0.053031,-0.052289,-1.58165525e-05,-1.76415742e-07,-1.31851458e-08,-2.45915426e-09,-1.55959150e-05,-1.74758176e-07,-1.30738192e-08,-2.43950098e-09,5.66639366e-03,1.24154672e-10,1.518e-17,4.512e-17
3.6800,25.51916,-17.01278,0.008683,6.811766,-0.002007,6.811772,-0.0020097,0.0000037,0.0007038,-0.052638,-0.051915,-1.56953528e-05,-1.71321365e-07,-1.30477856e-08,-2.42442583e-09,-1.54804677e-05,-1.69700960e-07,-1.29381248e-08,-2.40510443e-09,5.69262622e-03,1.24245123e-10,8.348e-17,3.063e-17
3.7000,25.79704,-17.19803,0.008809,6.900583,-0.002013,6.900589,-0.0020039,0.0000037,0.0007056,-0.052062,-0.051359,-1.55221500e-05,-1.67968433e-07,-1.28325196e-08,-2.38844814e-09,-1.53133469e-05,-1.66375001e-07,-1.27249356e-08,-2.36946915e-09,5.71806019e-03,1.24429026e-10,7.698e-18,3.198e-18
3.7200,26.07534,-17.38356,0.008935,6.989794,-0.002019,6.989800,-0.0019973,0.0000037,0.0007074,-0.051302,-0.050621,-1.52968834e-05,-1.66815982e-07,-1.26194287e-08,-2.35266690e-09,-1.50944494e-05,-1.65240504e-07,-1.25138566e-08,-2.33403490e-09,5.74268773e-03,1.24740513e-10,5.074e-17,5.760e-18
3.7400,26.35404,-17.56936,0.009062,7.079388,-0.002025,7.079394,-0.0019900,0.0000038,0.0007091,-0.050363,-0.049705,-1.50202623e-05,-1.67001955e-07,-1.24693803e-08,-2.31631210e-09,-1.48244388e-05,-1.65442245e-07,-1.23656309e-08,-2.29803366e-09,5.76650110e-03,1.25211390e-10,2.472e-17,2.713e-17
3.7600,26.63309,-17.75539,0.009190,7.169356,-0.002030,7.169362,-0.0019820,0.0000038,0.0007107,-0.049257,-0.048621,-1.46937579e-05,-1.66861238e-07,-1.22335077e-08,-2.27873766e-09,-1.45047377e-05,-1.65323527e-07,-1.21319939e-08,-2.26082238e-09,5.78949253e-03,1.25868792e-10,4.342e-17,1.897e-17
3.7800,26.91248,-17.94166,0.009319,7.259688,-0.002034,7.259694,-0.0019733,0.0000039,0.0007123,-0.047995,-0.047383,-1.43195925e-05,-1.64916005e-07,-1.20295725e-08,-2.24141258e-09,-1.41375179e-05,-1.63411529e-07,-1.19301063e-08,-2.22386461e-09,5.81165417e-03,1.26733724e-10,7.286e-17,4.974e-18
3.8000,27.19218,-18.12812,0.009448,7.350374,-0.002038,7.350380,-0.0019637,0.0000039,0.0007138,-0.046589,-0.046001,-1.39007095e-05,-1.60744535e-07,-1.18664086e-08,-2.20413385e-09,-1.37256713e-05,-1.59283209e-07,-1.17689174e-08,-2.18695793e-09,5.83297821e-03,1.27819710e-10,8.674e-18,5.380e-18
3.8200,27.47217,-18.31478,0.009578,7.441403,-0.002042,7.441410,-0.0019535,0.0000040,0.0007153,-0.045049,-0.044484,-1.34407273e-05,-1.55220838e-07,-1.16186738e-08,-2.16567460e-09,-1.32727642e-05,-1.53805790e-07,-1.15235486e-08,-2.14888197e-09,5.85345691e-03,1.29131105e-10,4.055e-17,1.373e-17
3.8400,27.75240,-18.50160,0.009709,7.532766,-0.002045,7.532773,-0.0019425,0.0000040,0.0007167,-0.043382,-0.042842,-1.29438765e-05,-1.49989093e-07,-1.14235968e-08,-2.12687403e-09,-1.27829760e-05,-1.48615282e-07,-1.13305942e-08,-2.11047418e-09,5.87308270e-03,1.30662302e-10,2.299e-17,8.619e-18
3.8600,28.03286,-18.68857,0.009840,7.624451,-0.002048,7.624458,-0.0019307,0.0000040,0.0007181,-0.041601,-0.041084,-1.24149158e-05,-1.46484463e-07,-1.12395714e-08,-2.08792671e-09,-1.22610160e-05,-1.45142188e-07,-1.11487703e-08,-2.07192775e-09,5.89184823e-03,1.32398533e-10,8.348e-18,5.800e-18
3.8800,28.31351,-18.87567,0.009972,7.716449,-0.002050,7.716456,-0.0019181,0.0000041,0.0007194,-0.039722,-0.039228,-1.18590458e-05,-1.45087114e-07,-1.09788982e-08,-2.04753672e-09,-1.17120382e-05,-1.43768283e-07,-1.08906363e-08,-2.03195210e-09,5.90974627e-03,1.34316855e-10,1.588e-17,2.006e-18
3.9000,28.59434,-19.06289,0.010105,7.808749,-0.002052,7.808756,-0.0019048,0.0000041,0.0007207,-0.037766,-0.037295,-1.12818236e-05,-1.44905927e-07,-1.07844903e-08,-2.00631483e-09,-1.11415563e-05,-1.43609327e-07,-1.06984873e-08,-1.99115586e-09,5.92676965e-03,1.36386626e-10,2.136e-17,8.958e-18
3.9200,28.87530,-19.25020,0.010239,7.901339,-0.002053,7.901346,-0.0018907,0.0000042,0.0007219,-0.035759,-0.035310,-1.06890755e-05,-1.44311735e-07,-1.05747624e-08,-1.96518133e-09,-1.05553578e-05,-1.43044206e-07,-1.04912021e-08,-1.95045420e-09,5.94291120e-03,1.38570520e-10,1.843e-17,1.084e-18
3.9400,29.15638,-19.43758,0.010373,7.994210,-0.002054,7.994217,-0.0018759,0.0000042,0.0007231,-0.033726,-0.033298,-1.00868153e-05,-1.41904456e-07,-1.03077321e-08,-1.92309458e-09,-9.95942173e-06,-1.40677281e-07,-1.02268407e-08,-1.90880959e-09,5.95816366e-03,1.40826466e-10,1.214e-17,6.898e-18
3.9600,29.43754,-19.62502,0.010508,8.087349,-0.002054,8.087356,-0.0018603,0.0000043,0.0007242,-0.031689,-0.031281,-9.48115746e-06,-1.37336803e-07,-1.01140409e-08,-1.88012331e-09,-9.35983298e-06,-1.36159501e-07,-1.00355338e-08,-1.86629182e-09,5.97251979e-03,1.43109587e-10,1.171e-17,1.606e-17
3.9800,29.71875,-19.81250,0.010643,8.180746,-0.002054,8.180753,-0.0018438,0.0000043,0.0007253,-0.029665,-0.029277,-8.87821709e-06,-1.31508348e-07,-9.88098390e-09,-1.83722171e-09,-8.76268278e-06,-1.30383576e-07,-9.80514431e-09,-1.82385121e-09,5.98597248e-03,1.45373739e-10,1.182e-17,9.270e-18
4.0000,30.00000,-20.00000,0.010779,8.274390,-0.002054,8.274397,-0.0018267,0.0000043,0.0007264,-0.027669,-0.027300,-8.28400778e-06,-1.26024551e-07,-9.61160405e-09,-1.79333190e-09,-8.17396674e-06,-1.24947113e-07,-9.53856387e-09,-1.78043435e-09,5.99851475e-03,1.47573526e-10,1.258e-17,1.598e-17
4.0200,30.28125,-20.18750,0.010916,8.368269,-0.002053,8.368276,-0.0018087,0.0000044,0.0007274,-0.025717,-0.025365,-7.70433337e-06,-1.22242456e-07,-9.40979615e-09,-1.74793411e-09,-7.59947731e-06,-1.21202990e-07,-9.33932942e-09,-1.73552430e-09,6.01013985e-03,1.49667175e-10,3.383e-17,3.803e-17
4.0400,30.56246,-20.37498,0.011053,8.462372,-0.002051,8.462379,-0.0017900,0.0000044,0.0007284,-0.023826,-0.023491,-7.14468314e-06,-1.20469200e-07,-9.14797512e-09,-1.70211417e-09,-7.04469917e-06,-1.19460306e-07,-9.08043400e-09,-1.69020143e-09,6.02084119e-03,1.51618866e-10,3.730e-17,5.299e-18
4.0600,30.84362,-20.56242,0.011191,8.556687,-0.002049,8.556695,-0.0017704,0.0000045,0.0007294,-0.022016,-0.021696,-6.61014439e-06,-1.19789470e-07,-8.87380146e-09,-1.65541113e-09,-6.51472175e-06,-1.18810604e-07,-8.80919831e-09,-1.64400516e-09,6.03061221e-03,1.53399698e-10,6.440e-17,8.240e-18
4.0800,31.12470,-20.74980,0.011329,8.651203,-0.002046,8.651211,-0.0017501,0.0000045,0.0007303,-0.020309,-0.020003,-6.10532610e-06,-1.18613786e-07,-8.65688131e-09,-1.60725952e-09,-6.01416272e-06,-1.17672041e-07,-8.59504189e-09,-1.59637188e-09,6.03944637e-03,1.54988375e-10,1.702e-17,1.125e-18
4.1000,31.40566,-20.93711,0.011468,8.745908,-0.002043,8.745916,-0.0017291,0.0000046,0.0007312,-0.018723,-0.018430,-5.63429448e-06,-1.15620347e-07,-8.37056927e-09,-1.55878683e-09,-5.54710312e-06,-1.14726680e-07,-8.31184673e-09,-1.54842393e-09,6.04733708e-03,1.56372039e-10,2.190e-17,2.697e-17
4.1200,31.68649,-21.12433,0.011607,8.840790,-0.002040,8.840798,-0.0017072,0.0000046,0.0007321,-0.017269,-0.016989,-5.20051966e-06,-1.10533703e-07,-8.09731866e-09,-1.50986792e-09,-5.11703366e-06,-1.09696865e-07,-8.04161027e-09,-1.50003609e-09,6.05427776e-03,1.57546280e-10,3.036e-17,3.158e-18
4.1400,31.96714,-21.31143,0.011747,8.935838,-0.002036,8.935846,-0.0016846,0.0000047,0.0007330,-0.015956,-0.015687,-4.80682035e-06,-1.04277381e-07,-7.86405720e-09,-1.45954206e-09,-4.72679911e-06,-1.03499196e-07,-7.81127885e-09,-1.45025190e-09,6.06026199e-03,1.58514253e-10,6.418e-17,8.213e-18
4.1600,32.24760,-21.49840,0.011887,9.031039,-0.002031,9.031048,-0.0016612,0.0000047,0.0007338,-0.014784,-0.014526,-4.45531229e-06,-9.84185595e-08,-7.55690851e-09,-1.40842593e-09,-4.37854625e-06,-9.76933143e-08,-7.50740726e-09,-1.39968574e-09,6.06528354e-03,1.59285911e-10,5.117e-17,5.082e-18
4.1800,32.52783,-21.68522,0.012028,9.126382,-0.002026,9.126390,-0.0016370,0.0000047,0.0007346,-0.013754,-0.013506,-4.14736665e-06,-9.42386991e-08,-7.28114901e-09,-1.35661940e-09,-4.07368197e-06,-9.35569853e-08,-7.23475278e-09,-1.34843597e-09,6.06933637e-03,1.59877651e-10,3.188e-17,4.563e-17
4.2000,32.80782,-21.87188,0.012169,9.221854,-0.002020,9.221863,-0.0016120,0.0000048,0.0007355,-0.012867,-0.012629,-3.88357806e-06,-9.19780780e-08,-7.02238291e-09,-1.30322313e-09,-3.81284065e-06,-9.13327638e-08,-6.97910647e-09,-1.29560567e-09,6.07241469e-03,1.60311329e-10,6.614e-17,6.939e-18
4.2200,33.08752,-22.05834,0.012310,9.317443,-0.002014,9.317452,-0.0015863,0.0000048,0.0007363,-0.012125,-0.011897,-3.66375472e-06,-9.07021670e-08,-6.69423018e-09,-1.24875680e-09,-3.59587348e-06,-9.00929328e-08,-6.65435660e-09,-1.24171146e-09,6.07451274e-03,1.60612158e-10,1.279e-17,1.759e-17
4.2400,33.36691,-22.24461,0.012452,9.413138,-0.002008,9.413146,-0.0015598,0.0000049,0.0007370,-0.011532,-0.011313,-3.48693088e-06,-8.88635573e-08,-6.41375399e-09,-1.19386146e-09,-3.42185994e-06,-8.82973069e-08,-6.37703647e-09,-1.18739016e-09,6.07562478e-03,1.60806635e-10,2.917e-17,2.232e-17
4.2600,33.64596,-22.43064,0.012594,9.508925,-0.002000,9.508934,-0.0015325,0.0000049,0.0007378,-0.011084,-0.010875,-3.35139135e-06,-8.52189169e-08,-6.12994268e-09,-1.13790597e-09,-3.28913140e-06,-8.47058675e-08,-6.09646455e-09,-1.13201201e-09,6.07574511e-03,1.60921104e-10,3.036e-18,2.679e-17
4.2800,33.92466,-22.61644,0.012737,9.604792,-0.001993,9.604801,-0.0015045,0.0000050,0.0007386,-0.010775,-0.010575,-3.25470960e-06,-7.95614740e-08,-5.79017814e-09,-1.08099271e-09,-3.19530817e-06,-7.91092632e-08,-5.76012932e-09,-1.07567934e-09,6.07486808e-03,1.60980141e-10,2.732e-17,4.564e-17
4.3000,34.20296,-22.80197,0.012880,9.700728,-0.001985,9.700737,-0.0014757,0.0000050,0.0007394,-0.010590,-0.010400,-3.19379020e-06,-7.28357900e-08,-5.50671507e-09,-1.02369688e-09,-3.13734125e-06,-7.24451187e-08,-5.47982894e-09,-1.01896479e-09,6.07298822e-03,1.61004745e-10,3.795e-17,1.408e-17
4.3200,34.48084,-22.98722,0.013023,9.796719,-0.001976,9.796728,-0.0014462,0.0000051,0.0007401,-0.010513,-0.010333,-3.16491074e-06,-6.65705670e-08,-5.19782441e-09,-9.65371701e-10,-3.11155345e-06,-6.62349628e-08,-5.17427083e-09,-9.61223425e-10,6.07010033e-03,1.61011477e-10,3.177e-17,1.002e-17
4.3400,34.75827,-23.17218,0.013167,9.892753,-0.001967,9.892763,-0.0014159,0.0000051,0.0007409,-0.010524,-0.010355,-3.16377399e-06,-6.19733253e-08,-4.84801750e-09,-9.05676435e-10,-3.11369090e-06,-6.16831169e-08,-4.82790138e-09,-9.02115852e-10,6.06619946e-03,1.61012688e-10,2.884e-17,3.713e-18
4.3600,35.03523,-23.35682,0.013310,9.988818,-0.001957,9.988828,-0.0013849,0.0000051,0.0007416,-0.010606,-0.010449,-3.18557030e-06,-5.92213109e-08,-4.55412186e-09,-8.45300444e-10,-3.13898474e-06,-5.89694318e-08,-4.53719116e-09,-8.42327493e-10,6.06128094e-03,1.61016724e-10,3.946e-17,2.952e-17
4.3800,35.31169,-23.54112,0.013454,10.084901,-0.001947,10.084911,-0.0013532,0.0000052,0.0007424,-0.010745,-0.010601,-3.22505267e-06,-5.73648130e-08,-4.21751624e-09,-7.84114720e-10,-3.18222533e-06,-5.71509804e-08,-4.20398277e-09,-7.81727898e-10,6.05534023e-03,1.61027763e-10,3.502e-17,1.367e-17
4.4000,35.58761,-23.72508,0.013599,10.180990,-0.001937,10.180999,-0.0013207,0.0000052,0.0007431,-0.010927,-0.010796,-3.27663077e-06,-5.48988085e-08,-3.86130779e-09,-7.21788286e-10,-3.23785544e-06,-5.47295978e-08,-3.85115592e-09,-7.19986939e-10,6.04837284e-03,1.61046149e-10,2.992e-17,2.865e-17
4.4200,35.86298,-23.90866,0.013743,10.277071,-0.001926,10.277081,-0.0012875,0.0000053,0.0007439,-0.011137,-0.011021,-3.33447131e-06,-5.06565515e-08,-3.55732881e-09,-6.59057480e-10,-3.30006981e-06,-5.05413694e-08,-3.55032862e-09,-6.57837656e-10,6.04037444e-03,1.61069555e-10,3.318e-17,4.593e-17
4.4400,36.13777,-24.09185,0.013888,10.373133,-0.001914,10.373143,-0.0012536,0.0000053,0.0007447,-0.011354,-0.011253,-3.39259891e-06,-4.44958426e-08,-3.20054801e-09,-5.96008137e-10,-3.36291550e-06,-4.44412261e-08,-3.19692713e-09,-5.95364961e-10,6.03134082e-03,1.61094090e-10,6.527e-17,3.898e-17
4.4600,36.41194,-24.27463,0.014032,10.469162,-0.001902,10.469172,-0.0012189,0.0000054,0.0007455,-0.011554,-0.011471,-3.44499589e-06,-3.73773756e-08,-2.84495737e-09,-5.31948508e-10,-3.42039127e-06,-3.73830044e-08,-2.84461143e-09,-5.31880634e-10,6.02126804e-03,1.61115130e-10,7.373e-18,2.692e-17
4.4800,36.68548,-24.45699,0.014177,10.565147,-0.001889,10.565157,-0.0011836,0.0000054,0.0007462,-0.011714,-0.011648,-3.48569185e-06,-3.07895335e-08,-2.52890071e-09,-4.67208854e-10,-3.46653697e-06,-3.08483280e-08,-2.53167776e-09,-4.67714069e-10,6.01015254e-03,1.61128847e-10,2.515e-17,3.278e-17
4.5000,36.95835,-24.63890,0.014322,10.661073,-0.001876,10.661083,-0.0011475,0.0000054,0.0007470,-0.011808,-0.011762,-3.50884921e-06,-2.58666822e-08,-2.15286390e-09,-4.02007911e-10,-3.49551904e-06,-2.59688937e-08,-2.15900211e-09,-4.03082313e-10,5.99799112e-03,1.61134361e-10,4.879e-17,3.373e-17
4.5200,37.23053,-24.82035,0.014467,10.756930,-0.001863,10.756940,-0.0011108,0.0000055,0.0007479,-0.011817,-0.011793,-3.50885206e-06,-2.27247185e-08,-1.79537926e-09,-3.35709112e-10,-3.50171931e-06,-2.28635471e-08,-1.80470375e-09,-3.37350924e-10,5.98478093e-03,1.61135233e-10,9.433e-17,6.993e-18
4.5400,37.50199,-25.00133,0.014612,10.852703,-0.001849,10.852713,-0.0010734,0.0000055,0.0007487,-0.011728,-0.011725,-3.48039444e-06,-2.04011392e-08,-1.46173769e-09,-2.68657670e-10,-3.47982320e-06,-2.05765514e-08,-1.47416677e-09,-2.70863313e-10,5.97051938e-03,1.61140005e-10,1.973e-17,2.559e-17
4.5600,37.77271,-25.18180,0.014757,10.948381,-0.001834,10.948391,-0.0010353,0.0000056,0.0007495,-0.011527,-0.011548,-3.41857248e-06,-1.74328308e-08,-1.07077414e-09,-2.01474427e-10,-3.42491183e-06,-1.76513189e-08,-1.08650021e-09,-2.04236989e-10,5.95520408e-03,1.61162515e-10,2.320e-17,4.684e-17
4.5800,38.04265,-25.36177,0.014903,11.043951,-0.001819,11.043961,-0.0009966,0.0000056,0.0007504,-0.011205,-0.011250,-3.31897507e-06,-1.27256686e-08,-7.15327245e-10,-1.33710391e-10,-3.33255275e-06,-1.29961283e-08,-7.34110901e-10,-1.37024909e-10,5.93883286e-03,1.61222203e-10,2.082e-17,3.179e-17
4.6000,38.31179,-25.54119,0.015048,11.139399,-0.001804,11.139410,-0.0009572,0.0000057,0.0007512,-0.010748,-0.010818,-3.17776020e-06,-6.19743793e-09,-3.67507049e-10,-6.54060721e-11,-3.19887666e-06,-6.52565994e-09,-3.89343845e-10,-6.92684046e-11,5.92140387e-03,1.61343676e-10,6.267e-17,6.116e-17
4.6200,38.58011,-25.72007,0.015193,11.234715,-0.001788,11.234725,-0.0009171,0.0000057,0.0007521,-0.010141,-0.010238,-2.99171795e-06,1.18024008e-09,3.01606441e-11,2.97129120e-12,-3.02064079e-06,7.95193587e-10,5.12098749e-12,-1.43352073e-12,5.90291564e-03,1.61555515e-10,3.036e-17,1.424e-17
4.6400,38.84758,-25.89839,0.015338,11.329884,-0.001772,11.329895,-0.0008764,0.0000057,0.0007531,-0.009372,-0.009496,-2.75831651e-06,7.96215581e-09,3.83764076e-10,7.19514024e-11,-2.79527571e-06,7.52754898e-09,3.55764737e-10,6.70068222e-11,5.88336721e-03,1.61889325e-10,2.450e-17,1.710e-17
4.6600,39.11417,-26.07611,0.015483,11.424894,-0.001755,11.424905,-0.0008351,0.0000058,0.0007540,-0.008431,-0.008583,-2.47573127e-06,1.30864129e-08,7.49267747e-10,1.41790063e-10,-2.52091514e-06,1.26116661e-08,7.18221283e-10,1.36306935e-10,5.86275817e-03,1.62379125e-10,3.036e-18,3.579e-17
4.6800,39.37986,-26.25324,0.015628,11.519734,-0.001738,11.519745,-0.0007932,0.0000058,0.0007549,-0.007314,-0.007493,-2.14286815e-06,1.64967656e-08,1.15382617e-09,2.11957103e-10,-2.19642003e-06,1.59880354e-08,1.11964195e-09,2.05938958e-10,5.84108853e-03,1.63059961e-10,3.838e-17,9.080e-19
4.7000,39.64462,-26.42975,0.015773,11.614390,-0.001721,11.614401,-0.0007507,0.0000059,0.0007559,-0.006022,-0.006231,-1.75938156e-06,1.91668378e-08,1.51053783e-09,2.82569355e-10,-1.82139719e-06,1.86235653e-08,1.47345619e-09,2.76019876e-10,5.81835875e-03,1.63965623e-10,1.843e-17,2.683e-18
4.7200,39.90843,-26.60562,0.015918,11.708850,-0.001703,11.708861,-0.0007075,0.0000059,0.0007569,-0.004563,-0.004800,-1.32568486e-06,2.25177850e-08,1.89347617e-09,3.53796311e-10,-1.39621042e-06,2.19332376e-08,1.85336198e-09,3.46718391e-10,5.79456963e-03,1.65126476e-10,1.540e-17,2.969e-17
4.7400,40.17125,-26.78083,0.016062,11.803101,-0.001684,11.803113,-0.0006638,0.0000060,0.0007580,-0.002943,-0.003209,-8.42954966e-07,2.75746331e-08,2.29830676e-09,4.25112256e-10,-9.21985756e-07,2.69400979e-08,2.25515311e-09,4.17510205e-10,5.76972235e-03,1.66567604e-10,4.554e-18,2.575e-17
4.7600,40.43307,-26.95538,0.016207,11.897132,-0.001665,11.897144,-0.0006195,0.0000060,0.0007591,-0.001170,-0.001464,-3.13120281e-07,3.43640686e-08,2.65611148e-09,4.96526918e-10,-4.00600315e-07,3.36741689e-08,2.61012611e-09,4.88404478e-10,5.74381855e-03,1.68306828e-10,4.077e-17,1.380e-17
4.7800,40.69386,-27.12924,0.016351,11.990930,-0.001646,11.990941,-0.0005747,0.0000060,0.0007602,0.000751,0.000429,2.61171564e-07,4.19071286e-08,3.05210179e-09,5.68502224e-10,1.65349104e-07,4.11630961e-08,3.00309955e-09,5.59860266e-10,5.71686045e-03,1.70352835e-10,3.361e-17,2.450e-17
4.8000,40.95360,-27.30240,0.016495,12.084482,-0.001626,12.084494,-0.0005293,0.0000061,0.0007613,0.002814,0.002465,8.76600867e-07,4.88037555e-08,3.45473269e-09,6.40888246e-10,7.72592161e-07,4.80127455e-08,3.40275953e-09,6.31727167e-10,5.68885088e-03,1.72704342e-10,4.619e-17,3.108e-17
4.8200,41.21226,-27.47484,0.016639,12.177777,-0.001606,12.177789,-0.0004834,0.0000061,0.0007625,0.005009,0.004632,1.52923900e-06,5.40628089e-08,3.81970168e-09,7.13613091e-10,1.41724716e-06,5.32336852e-08,3.76489562e-09,7.03933790e-10,5.65979338e-03,1.75350340e-10,2.147e-17,3.156e-17
4.8400,41.46981,-27.64654,0.016783,12.270803,-0.001586,12.270814,-0.0004370,0.0000062,0.0007637,0.007320,0.006917,2.21461866e-06,5.76841974e-08,4.23134083e-09,7.87046556e-10,2.09489047e-06,5.68223214e-08,4.17349663e-09,7.76848831e-10,5.62969207e-03,1.78270327e-10,2.364e-17,5.895e-18
4.8600,41.72623,-27.81749,0.016926,12.363546,-0.001565,12.363558,-0.0003900,0.0000062,0.0007649,0.009728,0.009300,2.92780307e-06,6.06502581e-08,4.63374720e-09,8.60999715e-10,2.80062514e-06,5.97543933e-08,4.57297866e-09,8.50284104e-10,5.59855164e-03,1.81434291e-10,1.366e-17,5.543e-18
4.8800,41.98150,-27.98767,0.017069,12.455996,-0.001544,12.456008,-0.0003426,0.0000062,0.0007662,0.012209,0.011757,3.66345908e-06,6.43388690e-08,5.00884836e-09,9.35058560e-10,3.52915340e-06,6.34020102e-08,4.94524147e-09,9.23827779e-10,5.56637728e-03,1.84803345e-10,5.421e-18,2.879e-17
4.9000,42.23559,-28.15706,0.017212,12.548141,-0.001523,12.548153,-0.0002946,0.0000063,0.0007675,0.014742,0.014267,4.41593304e-06,6.97074946e-08,5.43072592e-09,1.00944682e-09,4.27485215e-06,6.87211059e-08,5.36409831e-09,9.97702631e-10,5.53317467e-03,1.88331082e-10,2.277e-17,1.294e-17
4.9200,42.48848,-28.32565,0.017354,12.639967,-0.001501,12.639980,-0.0002462,0.0000063,0.0007688,0.017306,0.016809,5.17933263e-06,7.67305406e-08,5.82862628e-09,1.08423991e-09,5.03185432e-06,7.56896687e-08,5.75914042e-09,1.07198272e-09,5.49895013e-03,1.91964959e-10,8.240e-18,1.029e-17
4.9400,42.74014,-28.49343,0.017497,12.731465,-0.001478,12.731477,-0.0001974,0.0000064,0.0007702,0.019884,0.019367,5.94762218e-06,8.44233567e-08,6.21346918e-09,1.15917342e-09,5.79414369e-06,8.33295658e-08,6.14113359e-09,1.14640434e-09,5.46371064e-03,1.95647961e-10,2.841e-17,2.841e-17
4.9600,42.99056,-28.66037,0.017638,12.822622,-0.001456,12.822634,-0.0001481,0.0000064,0.0007716,0.022461,0.021925,6.71472477e-06,9.14309016e-08,6.64304414e-09,1.23457611e-09,6.55565653e-06,9.02913216e-08,6.56769595e-09,1.22129494e-09,5.42746394e-03,1.99321139e-10,4.575e-17,2.346e-17
4.9800,43.23970,-28.82647,0.017780,12.913426,-0.001433,12.913439,-0.0000984,0.0000064,0.0007731,0.025018,0.024466,7.47462620e-06,9.68299338e-08,7.04062209e-09,1.31073934e-09,7.31038534e-06,9.56530195e-08,6.96243921e-09,1.29694464e-09,5.39021856e-03,2.02926708e-10,4.575e-17,4.003e-17
5.0000,43.48755,-28.99170,0.017921,13.003866,-0.001410,13.003879,-0.0000482,0.0000065,0.0007746,0.027537,0.026968,8.22147770e-06,1.00671457e-07,7.44126332e-09,1.38729472e-09,8.05248135e-06,9.94619970e-08,7.36018962e-09,1.37298739e-09,5.35198374e-03,2.06410582e-10,1.691e-17,3.216e-17
5.0200,43.73408,-29.15605,0.018061,13.093931,-0.001386,13.093944,0.0000023,0.0000065,0.0007762,0.029995,0.029411,8.94968666e-06,1.03942511e-07,7.87867682e-09,1.46422970e-09,8.77634550e-06,1.02698869e-07,7.79461197e-09,1.44941184e-09,5.31276935e-03,2.09724010e-10,4.012e-17,1.252e-17
5.0400,43.97927,-29.31951,0.018201,13.183609,-0.001362,13.183622,0.0000533,0.0000065,0.0007778,0.032369,0.031772,9.65399699e-06,1.07975834e-07,8.27749511e-09,1.54171554e-09,9.47670898e-06,1.06691039e-07,8.19064049e-09,1.52638891e-09,5.27258585e-03,2.12825036e-10,1.084e-17,1.933e-17
5.0600,44.22309,-29.48206,0.018341,13.272889,-0.001338,13.272902,0.0001045,0.0000066,0.0007794,0.034640,0.034031,1.03295639e-05,1.13661175e-07,8.69151469e-09,1.61935411e-09,1.01487084e-05,1.12327181e-07,8.60177817e-09,1.60352228e-09,5.23144431e-03,2.15679892e-10,6.288e-18,1.462e-17
5.0800,44.46553,-29.64369,0.018480,13.361759,-0.001314,13.361772,0.0001562,0.0000066,0.0007811,0.036793,0.036174,1.09720220e-05,1.20922844e-07,9.12982253e-09,1.69710738e-09,1.07879547e-05,1.19535420e-07,9.03717231e-09,1.68077414e-09,5.18935646e-03,2.18263613e-10,2.082e-17,1.487e-17
5.1000,44.70656,-29.80437,0.018618,13.450209,-0.001289,13.450223,0.0002082,0.0000067,0.0007828,0.038819,0.038191,1.15775539e-05,1.28771587e-07,9.52910862e-09,1.77538269e-09,1.13906009e-05,1.27332923e-07,9.43372753e-09,1.75854996e-09,5.14633480e-03,2.20560181e-10,3.838e-17,3.361e-18
5.1200,44.94616,-29.96411,0.018757,13.538228,-0.001264,13.538241,0.0002605,0.0000067,0.0007846,0.040712,0.040075,1.21429560e-05,1.35895871e-07,9.95618127e-09,1.85406440e-09,1.19534101e-05,1.34413376e-07,9.85793385e-09,1.83673469e-09,5.10239262e-03,2.22562915e-10,1.084e-17,5.909e-18
5.1400,45.18431,-30.12287,0.018894,13.625805,-0.001239,13.625818,0.0003131,0.0000067,0.0007864,0.042466,0.041821,1.26656952e-05,1.41437164e-07,1.03959422e-08,1.93307768e-09,1.24738110e-05,1.39919209e-07,1.02948560e-08,1.91525465e-09,5.05754403e-03,2.24274749e-10,1.041e-17,2.847e-17
5.1600,45.42099,-30.28066,0.019031,13.712929,-0.001214,13.712942,0.0003660,0.0000068,0.0007883,0.044074,0.043421,1.31439521e-05,1.45492510e-07,1.08016811e-08,2.01269904e-09,1.29499429e-05,1.43943665e-07,1.06979116e-08,1.99438637e-09,5.01180386e-03,2.25707550e-10,7.373e-18,3.746e-17
