t_s,q2_deg,q3_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,base_dev_angle_deg,base_pos_x_m,base_pos_y_m,base_pos_z_m,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_R1,eta_R2,W_joint_J,E_damp_J,abs_dP,abs_dL
8.6000,60.00000,-40.00000,0.027906,19.199825,0.001088,19.199845,0.0048207,0.0000088,0.0010678,0.003542,0.003383,1.05977885e-06,1.45825081e-08,1.01286735e-06,1.45305014e-08,1.54646389e-09,4.52508047e-10,3.388e-21,8.470e-22
8.6200,60.00000,-40.00000,0.027906,19.199821,0.001088,19.199841,0.0048206,0.0000088,0.0010678,0.005755,0.005569,1.70818591e-06,9.68165572e-09,1.65320937e-06,9.67409496e-09,1.54646389e-09,4.55119013e-10,1.694e-21,4.235e-22
8.6400,60.00000,-40.00000,0.027906,19.199817,0.001088,19.199837,0.0048206,0.0000088,0.0010678,0.007893,0.007682,2.32818431e-06,-1.19886724e-09,2.26610791e-06,-1.13011560e-09,1.54646389e-09,4.57512478e-10,8.470e-21,9.529e-22
8.6600,60.00000,-40.00000,0.027906,19.199813,0.001088,19.199833,0.0048206,0.0000088,0.0010678,0.009900,0.009668,2.90990507e-06,-1.16952894e-08,2.84181430e-06,-1.15603632e-08,1.54646389e-09,4.59622569e-10,8.470e-22,4.235e-22
8.6800,60.00000,-40.00000,0.027905,19.199810,0.001088,19.199830,0.0048206,0.0000088,0.0010678,0.011723,0.011476,3.44410510e-06,-1.57139943e-08,3.37118697e-06,-1.55592388e-08,1.54646389e-09,4.61402081e-10,6.776e-21,8.470e-22
8.7000,60.00000,-40.00000,0.027905,19.199807,0.001088,19.199826,0.0048206,0.0000088,0.0010677,0.013328,0.013068,3.92227488e-06,-1.10243342e-08,3.84579809e-06,-1.09051393e-08,1.54646389e-09,4.62831271e-10,8.470e-21,2.118e-22
8.7200,60.00000,-40.00000,0.027905,19.199804,0.001088,19.199824,0.0048206,0.0000088,0.0010677,0.014697,0.014430,4.33675995e-06,-5.42674735e-10,4.25805383e-06,-4.91210607e-10,1.54646389e-09,4.63911786e-10,1.694e-21,2.118e-22
8.7400,60.00000,-40.00000,0.027905,19.199802,0.001088,19.199821,0.0048206,0.0000088,0.0010677,0.015829,0.015559,4.68090293e-06,9.43023874e-09,4.60133488e-06,9.42324058e-09,1.54646389e-09,4.64660931e-10,2.541e-21,3.176e-22
8.7600,60.00000,-40.00000,0.027905,19.199800,0.001088,19.199820,0.0048206,0.0000088,0.0010677,0.016726,0.016458,4.94919133e-06,1.29558142e-08,4.87014289e-06,1.29345556e-08,1.54646389e-09,4.65118022e-10,1.694e-21,4.235e-22
8.7800,60.00000,-40.00000,0.027905,19.199799,0.001088,19.199819,0.0048206,0.0000088,0.0010677,0.017381,0.017119,5.13738418e-06,7.96041182e-09,5.06022616e-06,7.97686368e-09,1.54646389e-09,4.65347469e-10,2.541e-21,1.059e-22
8.8000,60.00000,-40.00000,0.027905,19.199798,0.001088,19.199818,0.0048206,0.0000088,0.0010677,0.017773,0.017522,5.24259194e-06,-2.57074633e-09,5.16865965e-06,-2.48838908e-09,1.54646389e-09,4.65427199e-10,4.235e-22,5.294e-23
8.8200,60.00000,-40.00000,0.027906,19.199798,0.001088,19.199818,0.0048206,0.0000088,0.0010677,0.017876,0.017640,5.26330095e-06,-1.23947815e-08,5.19387061e-06,-1.22592839e-08,1.54646389e-09,4.65438094e-10,3.176e-22,4.301e-23
8.8400,60.00000,-40.00000,0.027906,19.199798,0.001088,19.199818,0.0048206,0.0000088,0.0010677,0.017671,0.017454,5.19935429e-06,-1.57210168e-08,5.13562120e-06,-1.55788432e-08,1.54646389e-09,4.65465941e-10,2.118e-21,1.853e-22
8.8600,60.00000,-40.00000,0.027906,19.199799,0.001088,19.199819,0.0048206,0.0000088,0.0010677,0.017154,0.016961,5.05191421e-06,-1.06249269e-08,4.99497302e-06,-1.05290237e-08,1.54646389e-09,4.65601138e-10,8.470e-22,1.059e-22
8.8800,60.00000,-40.00000,0.027906,19.199801,0.001088,19.199821,0.0048206,0.0000088,0.0010677,0.016344,0.016178,4.82342925e-06,-1.53536515e-10,4.77425616e-06,-1.32438721e-10,1.54646389e-09,4.65925833e-10,1.694e-21,1.059e-22
8.9000,60.00000,-40.00000,0.027906,19.199803,0.001088,19.199822,0.0048206,0.0000088,0.0010677,0.015275,0.015138,4.51761385e-06,9.51155356e-09,4.47705036e-06,9.46996095e-09,1.54646389e-09,4.66503896e-10,1.694e-21,1.588e-22
8.9200,60.00000,-40.00000,0.027906,19.199805,0.001088,19.199825,0.0048206,0.0000088,0.0010677,0.013983,0.013877,4.13942816e-06,1.27264713e-08,4.10816639e-06,1.26670377e-08,1.54646389e-09,4.67384027e-10,5.082e-21,0.000e+00
8.9400,60.00000,-40.00000,0.027907,19.199808,0.001088,19.199828,0.0048206,0.0000088,0.0010677,0.012494,0.012422,3.69503386e-06,7.71080905e-09,3.67360396e-06,7.68393927e-09,1.54646389e-09,4.68601186e-10,3.388e-21,4.235e-22
8.9600,60.00000,-40.00000,0.027907,19.199811,0.001088,19.199831,0.0048206,0.0000088,0.0010678,0.010823,0.010785,3.19170489e-06,-2.43329716e-09,3.18046503e-06,-2.40181652e-09,1.54646389e-09,4.70167012e-10,8.272e-25,4.235e-22
8.9800,60.00000,-40.00000,0.027907,19.199815,0.001089,19.199834,0.0048206,0.0000088,0.0010678,0.008977,0.008974,2.63768778e-06,-1.15916908e-08,2.63681777e-06,-1.15159477e-08,1.54646389e-09,4.72064635e-10,3.388e-21,4.235e-22
9.0000,60.00000,-40.00000,0.027907,19.199818,0.001089,19.199838,0.0048206,0.0000088,0.0010678,0.006968,0.007000,2.04202690e-06,-1.42718258e-08,2.05152556e-06,-1.41971950e-08,1.54646389e-09,4.74257180e-10,5.082e-21,4.235e-22
9.0200,60.00000,-40.00000,0.027908,19.199822,0.001089,19.199842,0.0048207,0.0000088,0.0010678,0.004822,0.004889,1.41438143e-06,-8.84091800e-09,1.43406778e-06,-8.81690842e-09,1.54646389e-09,4.76694730e-10,8.470e-22,6.353e-22
9.0400,60.00000,-40.00000,0.027908,19.199827,0.001089,19.199846,0.0048207,0.0000088,0.0010678,0.002586,0.002687,7.64858686e-07,1.53926607e-09,7.94376263e-07,1.48848724e-09,1.54646389e-09,4.79310574e-10,1.355e-20,8.470e-22
9.0600,60.00000,-40.00000,0.027908,19.199831,0.001089,19.199851,0.0048207,0.0000088,0.0010679,0.000315,0.000447,1.03872223e-07,1.08144889e-08,1.42695971e-07,1.07044046e-08,1.54646389e-09,4.82021341e-10,5.082e-21,4.235e-22
9.0800,60.00000,-40.00000,0.027908,19.199835,0.001089,19.199855,0.0048207,0.0000088,0.0010679,-0.001937,-0.001776,-5.57985744e-07,1.36321321e-08,-5.10540435e-07,1.35086528e-08,1.54646389e-09,4.84739197e-10,8.470e-21,6.353e-22
9.1000,60.00000,-40.00000,0.027908,19.199839,0.001089,19.199859,0.0048207,0.0000088,0.0010679,-0.004129,-0.003942,-1.21007968e-06,8.49280048e-09,-1.15484576e-06,8.40515998e-09,1.54646389e-09,4.87381103e-10,2.541e-21,1.059e-21
9.1200,60.00000,-40.00000,0.027909,19.199843,0.001089,19.199863,0.0048207,0.0000088,0.0010679,-0.006236,-0.006026,-1.84189240e-06,-1.39707575e-09,-1.77983743e-06,-1.42510467e-09,1.54646389e-09,4.89867015e-10,2.482e-24,4.235e-22
9.1400,60.00000,-40.00000,0.027909,19.199847,0.001089,19.199867,0.0048207,0.0000088,0.0010680,-0.008245,-0.008015,-2.44321592e-06,-1.00564335e-08,-2.37542555e-06,-1.00399377e-08,1.54646389e-09,4.92121482e-10,3.388e-21,8.470e-22
9.1600,60.00000,-40.00000,0.027909,19.199851,0.001089,19.199871,0.0048207,0.0000088,0.0010680,-0.010138,-0.009893,-3.00435524e-06,-1.22831521e-08,-2.93201389e-06,-1.22662798e-08,1.54646389e-09,4.94085763e-10,5.082e-21,4.235e-22
9.1800,60.00000,-40.00000,0.027909,19.199854,0.001089,19.199874,0.0048207,0.0000088,0.0010680,-0.011892,-0.011636,-3.51631809e-06,-6.71949511e-09,-3.44068742e-06,-6.74846399e-09,1.54646389e-09,4.95725234e-10,1.694e-21,4.235e-22
9.2000,60.00000,-40.00000,0.027909,19.199857,0.001089,19.199877,0.0048207,0.0000088,0.0010680,-0.013467,-0.013203,-3.97096738e-06,3.37524686e-09,-3.89336343e-06,3.28019099e-09,1.54646389e-09,4.97024557e-10,1.654e-24,6.353e-22
9.2200,60.00000,-40.00000,0.027909,19.199859,0.001089,19.199879,0.0048207,0.0000088,0.0010680,-0.014818,-0.014553,-4.36112896e-06,1.20835632e-08,-4.28289884e-06,1.19405957e-08,1.54646389e-09,4.97985074e-10,2.541e-21,4.235e-22
9.2400,60.00000,-40.00000,0.027909,19.199861,0.001089,19.199881,0.0048207,0.0000088,0.0010680,-0.015909,-0.015645,-4.68066633e-06,1.43416742e-08,-4.60316516e-06,1.41969854e-08,1.54646389e-09,4.98631382e-10,1.694e-21,2.118e-22
9.2600,60.00000,-40.00000,0.027909,19.199863,0.001089,19.199883,0.0048207,0.0000088,0.0010680,-0.016717,-0.016461,-4.92454457e-06,8.92043598e-09,-4.84911291e-06,8.82130470e-09,1.54646389e-09,4.99012761e-10,2.118e-22,1.059e-22
9.2800,60.00000,-40.00000,0.027909,19.199864,0.001089,19.199884,0.0048207,0.0000088,0.0010681,-0.017240,-0.016996,-5.08890214e-06,-8.80577433e-10,-5.01684361e-06,-9.13147305e-10,1.54646389e-09,4.99193202e-10,4.235e-22,1.059e-22
9.3000,60.00000,-40.00000,0.027909,19.199865,0.001089,19.199885,0.0048207,0.0000088,0.0010681,-0.017491,-0.017262,-5.17113382e-06,-9.21660201e-09,-5.10369292e-06,-9.19947466e-09,1.54646389e-09,4.99244493e-10,2.118e-22,2.647e-23
9.3200,60.00000,-40.00000,0.027909,19.199865,0.001089,19.199885,0.0048207,0.0000088,0.0010681,-0.017480,-0.017271,-5.16996991e-06,-1.11676572e-08,-5.10831020e-06,-1.11446517e-08,1.54646389e-09,4.99248524e-10,1.059e-22,2.647e-23
9.3400,60.00000,-40.00000,0.027908,19.199864,0.001089,19.199884,0.0048207,0.0000088,0.0010681,-0.017213,-0.017027,-5.08552742e-06,-5.63499914e-09,-5.03071062e-06,-5.65012909e-09,1.54646389e-09,4.99294733e-10,8.470e-22,1.059e-22
9.3600,60.00000,-40.00000,0.027908,19.199863,0.001089,19.199883,0.0048207,0.0000088,0.0010680,-0.016682,-0.016523,-4.91931325e-06,4.04063509e-09,-4.87228011e-06,3.96977197e-09,1.54646389e-09,4.99467454e-10,8.470e-22,2.118e-22
9.3800,60.00000,-40.00000,0.027908,19.199861,0.001089,19.199881,0.0048207,0.0000088,0.0010680,-0.015879,-0.015748,-4.67417549e-06,1.20860077e-08,-4.63572931e-06,1.19789100e-08,1.54646389e-09,4.99837795e-10,3.388e-21,2.118e-22
9.4000,60.00000,-40.00000,0.027908,19.199859,0.001089,19.199879,0.0048207,0.0000088,0.0010680,-0.014800,-0.014701,-4.35421730e-06,1.37222380e-08,-4.32501061e-06,1.36240401e-08,1.54646389e-09,5.00465871e-10,5.929e-21,4.235e-22
9.4200,60.00000,-40.00000,0.027908,19.199857,0.001089,19.199877,0.0048207,0.0000088,0.0010680,-0.013461,-0.013395,-3.96469770e-06,7.97812567e-09,-3.94522200e-06,7.93295854e-09,1.54646389e-09,5.01399591e-10,5.082e-21,4.235e-22
9.4400,60.00000,-40.00000,0.027907,19.199854,0.001089,19.199874,0.0048207,0.0000088,0.0010680,-0.011894,-0.011862,-3.51193920e-06,-1.76604205e-09,-3.50251752e-06,-1.74096252e-09,1.54646389e-09,5.02665139e-10,1.271e-21,4.235e-22
9.4600,60.00000,-40.00000,0.027907,19.199851,0.001089,19.199871,0.0048207,0.0000088,0.0010680,-0.010143,-0.010146,-3.00324762e-06,-9.80643404e-09,-3.00402945e-06,-9.73064516e-09,1.54646389e-09,5.04263073e-10,5.082e-21,1.165e-21
9.4800,60.00000,-40.00000,0.027907,19.199847,0.001089,19.199867,0.0048207,0.0000088,0.0010680,-0.008252,-0.008289,-2.44683108e-06,-1.14991296e-08,-2.45778967e-06,-1.14169841e-08,1.54646389e-09,5.06174768e-10,8.470e-21,1.271e-21
9.5000,60.00000,-40.00000,0.027907,19.199844,0.001088,19.199863,0.0048207,0.0000088,0.0010679,-0.006254,-0.006325,-1.85169745e-06,-5.99096895e-09,-1.87262965e-06,-5.94517263e-09,1.54646389e-09,5.08365559e-10,3.388e-21,4.235e-22
9.5200,60.00000,-40.00000,0.027906,19.199840,0.001088,19.199859,0.0048207,0.0000088,0.0010679,-0.004171,-0.004274,-1.22751352e-06,3.30842567e-09,-1.25804275e-06,3.30200070e-09,1.54646389e-09,5.10780367e-10,5.082e-21,8.470e-22
9.5400,60.00000,-40.00000,0.027906,19.199835,0.001088,19.199855,0.0048207,0.0000088,0.0010679,-0.002017,-0.002151,-5.84425564e-07,1.07742440e-08,-6.24008313e-07,1.07355553e-08,1.54646389e-09,5.13345412e-10,6.776e-21,8.470e-22
9.5600,60.00000,-40.00000,0.027906,19.199831,0.001088,19.199851,0.0048207,0.0000088,0.0010679,0.000187,0.000025,6.71421386e-08,1.19052038e-08,1.92062628e-08,1.18776446e-08,1.54646389e-09,5.15979681e-10,5.082e-21,1.165e-21
9.5800,60.00000,-40.00000,0.027906,19.199827,0.001088,19.199847,0.0048207,0.0000088,0.0010679,0.002408,0.002220,7.16685119e-07,5.97311873e-09,6.61240172e-07,5.99725428e-09,1.54646389e-09,5.18602177e-10,1.016e-20,8.470e-22
9.6000,60.00000,-40.00000,0.027906,19.199823,0.001088,19.199843,0.0048207,0.0000088,0.0010678,0.004599,0.004389,1.35379235e-06,-3.57551959e-09,1.29181044e-06,-3.48639941e-09,1.54646389e-09,5.21130763e-10,3.388e-21,1.271e-21
9.6200,60.00000,-40.00000,0.027906,19.199819,0.001088,19.199839,0.0048206,0.0000088,0.0010678,0.006707,0.006478,1.96829044e-06,-1.11846761e-08,1.90085441e-06,-1.10527067e-08,1.54646389e-09,5.23485580e-10,8.470e-22,8.470e-22
9.6400,60.00000,-40.00000,0.027905,19.199815,0.001088,19.199835,0.0048206,0.0000088,0.0010678,0.008684,0.008441,2.55036998e-06,-1.24826416e-08,2.47865496e-06,-1.23525270e-08,1.54646389e-09,5.25600214e-10,2.541e-21,5.294e-22
9.6600,60.00000,-40.00000,0.027905,19.199812,0.001088,19.199832,0.0048206,0.0000088,0.0010678,0.010496,0.010242,3.09071416e-06,-6.85118419e-09,3.01596784e-06,-6.76411059e-09,1.54646389e-09,5.27427275e-10,6.776e-21,8.470e-22
9.6800,60.00000,-40.00000,0.027905,19.199809,0.001088,19.199829,0.0048206,0.0000088,0.0010678,0.012125,0.011866,3.58064431e-06,2.24089568e-09,3.50416601e-06,2.27101688e-09,1.54646389e-09,5.28935181e-10,5.082e-21,4.235e-22
9.7000,60.00000,-40.00000,0.027905,19.199806,0.001088,19.199826,0.0048206,0.0000088,0.0010677,0.013564,0.013303,4.01228207e-06,9.31862904e-09,3.93540040e-06,9.31253931e-09,1.54646389e-09,5.30108955e-10,1.694e-21,4.235e-22
9.7200,60.00000,-40.00000,0.027905,19.199804,0.001088,19.199823,0.0048206,0.0000088,0.0010677,0.014802,0.014545,4.37871171e-06,1.01492199e-08,4.30276103e-06,1.01490806e-08,1.54646389e-09,5.30957521e-10,7.623e-21,2.118e-22
9.7400,60.00000,-40.00000,0.027905,19.199802,0.001088,19.199822,0.0048206,0.0000088,0.0010677,0.015823,0.015574,4.67411796e-06,4.23137895e-09,4.60041444e-06,4.27494762e-09,1.54646389e-09,5.31514378e-10,2.541e-21,6.353e-22
9.7600,60.00000,-40.00000,0.027905,19.199800,0.001088,19.199820,0.0048206,0.0000088,0.0010677,0.016599,0.016361,4.89388114e-06,-4.93731177e-09,4.82369921e-06,-4.83967833e-09,1.54646389e-09,5.31829189e-10,1.694e-21,2.118e-22
9.7800,60.00000,-40.00000,0.027906,19.199799,0.001088,19.199819,0.0048206,0.0000088,0.0010677,0.017100,0.016878,5.03462630e-06,-1.19553702e-08,4.96917643e-06,-1.18272674e-08,1.54646389e-09,5.31963269e-10,2.118e-21,2.118e-22
9.8000,60.00000,-40.00000,0.027906,19.199799,0.001088,19.199819,0.0048206,0.0000088,0.0010677,0.017304,0.017102,5.09423991e-06,-1.27197117e-08,5.03464818e-06,-1.26050298e-08,1.54646389e-09,5.31991557e-10,1.059e-22,1.985e-23
9.8200,60.00000,-40.00000,0.027906,19.199799,0.001088,19.199819,0.0048206,0.0000088,0.0010677,0.017209,0.017030,5.07187511e-06,-6.83655726e-09,5.01916464e-06,-6.77386181e-09,1.54646389e-09,5.31998813e-10,4.235e-22,1.588e-22
9.8400,60.00000,-40.00000,0.027906,19.199800,0.001088,19.199820,0.0048206,0.0000088,0.0010677,0.016826,0.016674,4.96796150e-06,2.17555134e-09,4.92303554e-06,2.17533117e-09,1.54646389e-09,5.32068353e-10,4.235e-22,1.853e-22
9.8600,60.00000,-40.00000,0.027906,19.199801,0.001088,19.199821,0.0048206,0.0000088,0.0010677,0.016180,0.016057,4.78422011e-06,8.99311776e-09,4.74784681e-06,8.95250306e-09,1.54646389e-09,5.32275972e-10,3.388e-21,1.588e-22
9.8800,60.00000,-40.00000,0.027906,19.199802,0.001088,19.199822,0.0048206,0.0000088,0.0010677,0.015295,0.015203,4.52366951e-06,9.64326791e-09,4.49646828e-06,9.60424077e-09,1.54646389e-09,5.32690946e-10,4.235e-21,4.235e-22
9.9000,60.00000,-40.00000,0.027907,19.199805,0.001088,19.199824,0.0048206,0.0000088,0.0010677,0.014186,0.014127,4.19060166e-06,3.83730913e-09,4.17303186e-06,3.83597490e-09,1.54646389e-09,5.33372202e-10,3.388e-21,8.470e-22
9.9200,60.00000,-40.00000,0.027907,19.199807,0.001089,19.199827,0.0048206,0.0000088,0.0010677,0.012860,0.012834,3.79051265e-06,-4.88883815e-09,3.78286516e-06,-4.84382210e-09,1.54646389e-09,5.34358643e-10,6.776e-21,8.470e-22
9.9400,60.00000,-40.00000,0.027907,19.199810,0.001089,19.199830,0.0048206,0.0000088,0.0010678,0.011322,0.011329,3.32998882e-06,-1.12925688e-08,3.33238109e-06,-1.12250398e-08,1.54646389e-09,5.35666102e-10,5.082e-21,4.235e-22
9.9600,60.00000,-40.00000,0.027907,19.199813,0.001089,19.199833,0.0048206,0.0000088,0.0010678,0.009583,0.009625,2.81656439e-06,-1.15331800e-08,2.82893913e-06,-1.14851310e-08,1.54646389e-09,5.37292238e-10,6.776e-21,4.235e-22
9.9800,60.00000,-40.00000,0.027908,19.199817,0.001089,19.199837,0.0048206,0.0000088,0.0010678,0.007671,0.007746,2.25857368e-06,-5.42888472e-09,2.28070088e-06,-5.43539132e-09,1.54646389e-09,5.39217423e-10,3.388e-21,6.353e-22
10.0000,60.00000,-40.00000,0.027908,19.199821,0.001089,19.199841,0.0048206,0.0000088,0.0010678,0.005630,0.005737,1.66501501e-06,3.46350612e-09,1.69649689e-06,3.39514322e-09,1.54646389e-09,5.41400498e-10,5.082e-21,2.118e-22
10.0200,60.00000,-40.00000,0.027908,19.199825,0.001089,19.199845,0.0048207,0.0000088,0.0010678,0.003509,0.003645,1.04542900e-06,9.97558265e-09,1.08570723e-06,9.87015070e-09,1.54646389e-09,5.43780990e-10,1.694e-21,4.235e-22
10.0400,60.00000,-40.00000,0.027908,19.199829,0.001089,19.199849,0.0048207,0.0000088,0.0010679,0.001353,0.001518,4.09778678e-07,1.03887039e-08,4.58143845e-07,1.02884177e-08,1.54646389e-09,5.46288368e-10,6.776e-21,8.470e-22
10.0600,60.00000,-40.00000,0.027908,19.199833,0.001089,19.199853,0.0048207,0.0000088,0.0010679,-0.000801,-0.000612,-2.31686957e-07,4.61541548e-09,-1.76083656e-07,4.55512014e-09,1.54646389e-09,5.48846660e-10,6.776e-21,7.412e-22
10.0800,60.00000,-40.00000,0.027909,19.199837,0.001089,19.199857,0.0048207,0.0000088,0.0010679,-0.002930,-0.002721,-8.68598036e-07,-3.77934638e-09,-8.06730517e-07,-3.79233799e-09,1.54646389e-09,5.51373846e-10,5.082e-21,6.353e-22
10.1000,60.00000,-40.00000,0.027909,19.199841,0.001089,19.199861,0.0048207,0.0000088,0.0010679,-0.005018,-0.004791,-1.49065487e-06,-9.71272763e-09,-1.42360522e-06,-9.70225694e-09,1.54646389e-09,5.53787129e-10,6.776e-21,1.059e-22
10.1200,60.00000,-40.00000,0.027909,19.199845,0.001089,19.199865,0.0048207,0.0000088,0.0010679,-0.007042,-0.006801,-2.08782746e-06,-9.59749365e-09,-2.01676653e-06,-9.60363158e-09,1.54646389e-09,5.56013859e-10,1.694e-21,8.470e-22
10.1400,60.00000,-40.00000,0.027909,19.199848,0.001089,19.199868,0.0048207,0.0000088,0.0010680,-0.008969,-0.008719,-2.65054013e-06,-3.44890830e-09,-2.57670633e-06,-3.50348816e-09,1.54646389e-09,5.57996352e-10,5.082e-21,2.118e-22
10.1600,60.00000,-40.00000,0.027909,19.199852,0.001089,19.199872,0.0048207,0.0000088,0.0010680,-0.010758,-0.010503,-3.16982457e-06,5.15108441e-09,-3.09450169e-06,5.04388876e-09,1.54646389e-09,5.59690201e-10,1.271e-21,8.470e-22
10.1800,60.00000,-40.00000,0.027909,19.199855,0.001089,19.199875,0.0048207,0.0000088,0.0010680,-0.012363,-0.012107,-3.63743924e-06,1.11944569e-08,-3.56193405e-06,1.10610254e-08,1.54646389e-09,5.61066935e-10,1.694e-21,8.470e-22
10.2000,60.00000,-40.00000,0.027909,19.199857,0.001089,19.199877,0.0048207,0.0000088,0.0010680,-0.013747,-0.013495,-4.04596776e-06,1.12125903e-08,-3.97158780e-06,1.10946292e-08,1.54646389e-09,5.62120829e-10,3.388e-21,6.353e-22
10.2200,60.00000,-40.00000,0.027909,19.199860,0.001089,19.199879,0.0048207,0.0000088,0.0010680,-0.014889,-0.014645,-4.38891425e-06,5.30990612e-09,-4.31694598e-06,5.24025800e-09,1.54646389e-09,5.62869021e-10,2.541e-21,2.647e-22
10.2400,60.00000,-40.00000,0.027909,19.199861,0.001089,19.199881,0.0048207,0.0000088,0.0010680,-0.015783,-0.015551,-4.66080778e-06,-2.92702711e-09,-4.59249489e-06,-2.94313879e-09,1.54646389e-09,5.63345330e-10,2.541e-21,6.353e-22
10.2600,60.00000,-40.00000,0.027909,19.199863,0.001089,19.199883,0.0048207,0.0000088,0.0010680,-0.016429,-0.016214,-4.85731313e-06,-8.57456381e-09,-4.79383511e-06,-8.56179281e-09,1.54646389e-09,5.63598443e-10,6.353e-22,1.059e-22
10.2800,60.00000,-40.00000,0.027908,19.199863,0.001089,19.199883,0.0048207,0.0000088,0.0010681,-0.016830,-0.016635,-4.97533178e-06,-8.28904686e-09,-4.91778308e-06,-8.28648979e-09,1.54646389e-09,5.63693904e-10,1.059e-21,1.588e-22
10.3000,60.00000,-40.00000,0.027908,19.199864,0.001089,19.199884,0.0048207,0.0000088,0.0010681,-0.016979,-0.016807,-5.01307210e-06,-2.26807386e-09,-4.96244251e-06,-2.30544306e-09,1.54646389e-09,5.63709506e-10,5.542e-23,1.075e-23
10.3200,60.00000,-40.00000,0.027908,19.199863,0.001089,19.199883,0.0048207,0.0000088,0.0010680,-0.016861,-0.016715,-4.97007473e-06,5.89376794e-09,-4.92723180e-06,5.81416609e-09,1.54646389e-09,5.63725187e-10,1.271e-21,5.294e-23
10.3400,60.00000,-40.00000,0.027908,19.199863,0.001089,19.199882,0.0048207,0.0000088,0.0010680,-0.016463,-0.016346,-4.84719408e-06,1.13531314e-08,-4.81286821e-06,1.12579687e-08,1.54646389e-09,5.63818224e-10,4.235e-22,7.941e-23
10.3600,60.00000,-40.00000,0.027908,19.199861,0.001089,19.199881,0.0048207,0.0000088,0.0010680,-0.015781,-0.015696,-4.64655051e-06,1.08862929e-08,-4.62132302e-06,1.08155351e-08,1.54646389e-09,5.64063187e-10,2.541e-21,3.176e-22
10.3800,60.00000,-40.00000,0.027907,19.199860,0.001089,19.199879,0.0048207,0.0000088,0.0010680,-0.014829,-0.014775,-4.37147342e-06,4.77938937e-09,-4.35576741e-06,4.76278283e-09,1.54646389e-09,5.64526790e-10,2.541e-21,2.118e-22
10.4000,60.00000,-40.00000,0.027907,19.199857,0.001089,19.199877,0.0048207,0.0000088,0.0010680,-0.013632,-0.013612,-4.02644823e-06,-3.36771154e-09,-4.02052205e-06,-3.32798651e-09,1.54646389e-09,5.65258971e-10,5.082e-21,4.235e-22
10.4200,60.00000,-40.00000,0.027907,19.199855,0.001089,19.199875,0.0048207,0.0000088,0.0010680,-0.012226,-0.012240,-3.61706687e-06,-8.79120870e-09,-3.62100991e-06,-8.72149107e-09,1.54646389e-09,5.66290310e-10,1.489e-23,4.235e-22
10.4400,60.00000,-40.00000,0.027907,19.199852,0.001089,19.199872,0.0048207,0.0000088,0.0010680,-0.010645,-0.010692,-3.14996796e-06,-8.38299536e-09,-3.16369883e-06,-8.32227039e-09,1.54646389e-09,5.67634708e-10,1.694e-21,4.235e-22
10.4600,60.00000,-40.00000,0.027907,19.199849,0.001088,19.199868,0.0048207,0.0000088,0.0010680,-0.008912,-0.008991,-2.63274900e-06,-2.51085527e-09,-2.65601642e-06,-2.48759767e-09,1.54646389e-09,5.69287712e-10,6.776e-21,1.271e-21
10.4800,60.00000,-40.00000,0.027906,19.199845,0.001088,19.199865,0.0048207,0.0000088,0.0010679,-0.007045,-0.007154,-2.07383999e-06,5.22751277e-09,-2.10622689e-06,5.21199530e-09,1.54646389e-09,5.71222164e-10,1.694e-21,5.294e-22
10.5000,60.00000,-40.00000,0.027906,19.199841,0.001088,19.199861,0.0048207,0.0000088,0.0010679,-0.005057,-0.005196,-1.48234248e-06,1.01546118e-08,-1.52327343e-06,1.01265186e-08,1.54646389e-09,5.73390822e-10,2.541e-21,4.235e-22
10.5200,60.00000,-40.00000,0.027906,19.199837,0.001088,19.199857,0.0048207,0.0000088,0.0010679,-0.002972,-0.003137,-8.67851127e-07,9.28374454e-09,-9.16603088e-07,9.28073750e-09,1.54646389e-09,5.75734160e-10,1.694e-21,9.529e-22
10.5400,60.00000,-40.00000,0.027906,19.199833,0.001088,19.199853,0.0048207,0.0000088,0.0010679,-0.000825,-0.001014,-2.40278982e-07,3.06997078e-09,-2.95994776e-07,3.11839220e-09,1.54646389e-09,5.78183563e-10,5.082e-21,8.470e-22
10.5600,60.00000,-40.00000,0.027906,19.199829,0.001088,19.199849,0.0048207,0.0000088,0.0010679,0.001339,0.001130,3.90299049e-07,-4.88395735e-09,3.28595179e-07,-4.78504214e-09,1.54646389e-09,5.80661310e-10,8.470e-22,6.353e-22
10.5800,60.00000,-40.00000,0.027906,19.199825,0.001088,19.199845,0.0048207,0.0000088,0.0010678,0.003469,0.003243,1.01378439e-06,-9.97699846e-09,9.47169708e-07,-9.85552168e-09,1.54646389e-09,5.83086294e-10,6.776e-21,8.470e-22
10.6000,60.00000,-40.00000,0.027905,19.199821,0.001088,19.199841,0.0048207,0.0000088,0.0010678,0.005521,0.005283,1.62018673e-06,-9.33127887e-09,1.54982173e-06,-9.22594239e-09,1.54646389e-09,5.85383374e-10,8.470e-21,6.353e-22
10.6200,60.00000,-40.00000,0.027905,19.199818,0.001088,19.199837,0.0048206,0.0000088,0.0010678,0.007465,0.007218,2.19976583e-06,-3.47535277e-09,2.12687468e-06,-3.41318656e-09,1.54646389e-09,5.87487112e-10,5.082e-21,4.235e-22
