configuration,mesh_set,arm_part,link,env_part,env_role,tier,aabb_gap_mm,mesh_gap_mm,effective_gap_mm,classification,counts_as_real,q_deg
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Harness_Passage,ARM_MOUNT_INTERFACE,AABB_CLEAR,39.405,,39.405,EXCLUDED_BOLTED_MOUNT_INTERFACE,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Harness_Service_Loop_Left,BUS_STRUCTURE,AABB_CLEAR,304.873,,304.873,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Harness_Service_Loop_Right,BUS_STRUCTURE,AABB_CLEAR,304.8784,,304.8784,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Hinge_Ear_1_Left,BUS_STRUCTURE,AABB_CLEAR,281.8658,,281.8658,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Hinge_Ear_1_Right,BUS_STRUCTURE,AABB_CLEAR,281.8726,,281.8726,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Hinge_Ear_2_Left,BUS_STRUCTURE,AABB_CLEAR,264.3062,,264.3062,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Hinge_Ear_2_Right,BUS_STRUCTURE,AABB_CLEAR,264.3134,,264.3134,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Hinge_Pin_Left,BUS_STRUCTURE,AABB_CLEAR,262.2731,,262.2731,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Hinge_Pin_Right,BUS_STRUCTURE,AABB_CLEAR,262.2826,,262.2826,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Launch_Lock_Interface_Reference,REFERENCE_ONLY,AABB_CLEAR,212.5956,,212.5956,EXCLUDED_REFERENCE_ONLY_BODY,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Load_Bridge_Left,ARM_MOUNT_INTERFACE,AABB_CLEAR,39.9965,,39.9965,EXCLUDED_BOLTED_MOUNT_INTERFACE,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Load_Bridge_Right,ARM_MOUNT_INTERFACE,AABB_CLEAR,40.002,,40.002,EXCLUDED_BOLTED_MOUNT_INTERFACE,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Load_Spreading_Frame,ARM_MOUNT_INTERFACE,AABB_CLEAR,35.405,,35.405,EXCLUDED_BOLTED_MOUNT_INTERFACE,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Longerons_4X,BUS_STRUCTURE,AABB_CLEAR,27.405,,27.405,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Maintenance_Access_Cover,BUS_STRUCTURE,AABB_CLEAR,61.1753,,61.1753,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Mid_Saddle,SADDLE_PLACEHOLDER,AABB_CLEAR,122.083,,122.083,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Mid_Transverse_Frame_,BUS_STRUCTURE,AABB_CLEAR,146.405,,146.405,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Rear_End_Frame,BUS_STRUCTURE,AABB_CLEAR,385.405,,385.405,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Release_Clearance_Envelope,REFERENCE_ONLY,AABB_CLEAR,246.8543,,246.8543,EXCLUDED_REFERENCE_ONLY_BODY,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Root_Base_Left,BUS_STRUCTURE,AABB_CLEAR,258.686,,258.686,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Root_Base_Right,BUS_STRUCTURE,AABB_CLEAR,258.6924,,258.6924,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Root_Node_Spine_Left,BUS_STRUCTURE,AABB_CLEAR,269.891,,269.891,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Root_Node_Spine_Right,BUS_STRUCTURE,AABB_CLEAR,269.8968,,269.8968,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Spacecraft_Flange,ARM_MOUNT_INTERFACE,AABB_CLEAR,24.405,,24.405,EXCLUDED_BOLTED_MOUNT_INTERFACE,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Torsion_Spring_1_Left,BUS_STRUCTURE,AABB_CLEAR,294.8432,,294.8432,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Torsion_Spring_1_Right,BUS_STRUCTURE,AABB_CLEAR,294.8512,,294.8512,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
