module,instance_id,representation_role,quantity,source_step,source_sha256,native_part,native_sha256,size_x_mm,size_y_mm,size_z_mm,actual_hardware_selected,manufacturing_release
battery_mount,adapter_battery,PHYSICAL_GEOMETRY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\battery_mount_v2\adapter_battery.step,1d89f1538276b1308057d724c7dd3e0b1fd62939e02fd139c95427f738e3a30d,,,98.0,178.0,2.0,False,False
battery_mount,lower_equipment_deck,PHYSICAL_GEOMETRY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\battery_mount_v2\lower_equipment_deck.step,d191c249e42c91d164eff1a15755fd2603f626ac92f8202492797c5d346f6629,,,344.0,196.3,3.0,False,False
battery_mount,WP09_BAT_-152_-78_screw,SIMPLIFIED_PROXY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\battery_mount_v2\WP09_BAT_-152_-78_screw.step,cafbf07f0a8713fac73be982308817da9b416c77c96e5eb20b9c5fc30d512ec3,,,6.04644555607436,6.046445556073991,10.000000000000526,False,False
battery_mount,WP09_BAT_-152_-78_washer,SIMPLIFIED_PROXY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\battery_mount_v2\WP09_BAT_-152_-78_washer.step,0d49a03cd6354c4076ddf5d4cd5f737216777161c0d176d1586ac126f774bf4c,,,7.0,7.0,0.5,False,False
battery_mount,WP09_BAT_-152_-78_nut,SIMPLIFIED_PROXY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\battery_mount_v2\WP09_BAT_-152_-78_nut.step,4320baee81d382587b4c67645df65235b0c7774899e18b9c6f6673fd86bc4e3c,,,5.5,6.349999999999994,2.4000000000000057,False,False
battery_mount,WP09_BAT_-152_78_screw,SIMPLIFIED_PROXY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\battery_mount_v2\WP09_BAT_-152_78_screw.step,c375cd10f69a28007a1e063463b0cc421c8ea01f757a2e9597434d5a7b4476bf,,,6.04644555607436,6.046445556073991,10.000000000000526,False,False
battery_mount,WP09_BAT_-152_78_washer,SIMPLIFIED_PROXY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\battery_mount_v2\WP09_BAT_-152_78_washer.step,f47675d09c1295bbd029da508f4aab0c4833e7555dff4d02740737749d82577e,,,7.0,7.0,0.5,False,False
battery_mount,WP09_BAT_-152_78_nut,SIMPLIFIED_PROXY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\battery_mount_v2\WP09_BAT_-152_78_nut.step,5594f168039891ba564a0f46747f7361cd1b1b83456e4fec4c23c8d8b9c81afc,,,5.5,6.349999999999994,2.4000000000000057,False,False
battery_mount,WP09_BAT_-76_-78_screw,SIMPLIFIED_PROXY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\battery_mount_v2\WP09_BAT_-76_-78_screw.step,b512b87b510f25fb31825b5499a3841700c883271a0902ba6af7936ee86c7962,,,6.046445556074374,6.046445556073991,10.000000000000526,False,False
battery_mount,WP09_BAT_-76_-78_washer,SIMPLIFIED_PROXY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\battery_mount_v2\WP09_BAT_-76_-78_washer.step,371e15aa57d577ddec9805c54b1d440f71b5e166bc839b703b6f353c8c003f41,,,7.0,7.0,0.5,False,False
battery_mount,WP09_BAT_-76_-78_nut,SIMPLIFIED_PROXY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\battery_mount_v2\WP09_BAT_-76_-78_nut.step,3c3006dfc3738b9f38adf7db4b338a2efd413e0993856f40bc555afde7b5174f,,,5.5,6.349999999999994,2.4000000000000057,False,False
