node,role,model_family,repository_order_variant,quantity,driver_location,CAN_ID,feedback_ID,design_bus_V,as_built_revision,V4_controlled_manual,rated_bus_current_A,flight_qualified
J1,arm_joint,DM4340P,V4 / 24 V requested,1,INTEGRATED_IN_JOINT,1,17,24,,,,False
J2,arm_joint,DM4340P,V4 / 24 V requested,1,INTEGRATED_IN_JOINT,2,18,24,,,,False
J3,arm_joint,DM4340P,V4 / 24 V requested,1,INTEGRATED_IN_JOINT,3,19,24,,,,False
J4,arm_joint,DM4310,V4 / 24 V requested,1,INTEGRATED_IN_JOINT,4,20,24,,,,False
J5,arm_joint,DM4310,V4 / 24 V requested,1,INTEGRATED_IN_JOINT,5,21,24,,,,False
J6,arm_joint,DM4310,V4 / 24 V requested,1,INTEGRATED_IN_JOINT,6,22,24,,,,False
GRIPPER,gripper,DM4310,V4 / 24 V requested,1,INTEGRATED_IN_JOINT,7,23,24,,,,False
