path,bytes,mtime_ns,sha256,exists
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\50_c1_layout\LAYOUT_BAY_MASS_V1.svg,12683,1787816513177179600,A7B7DB76DC996BD5B8EBACBCAFCABA005C0587197FC12808351881889B5CC48E,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\50_c1_layout\LAYOUT_DRAWINGS_README.md,6816,1787816482237484100,A58AC91F76E45F3F6318324C3EF4DF7C53D5E893641F4C444A67FED38B309F37,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\50_c1_layout\LAYOUT_FRONT_VIEW_V1.svg,27799,1787816513176180900,865BF2FD84F382A678A70E542EA2DD8211C2D1F4707ACD4BB3D839DC66698664,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\50_c1_layout\LAYOUT_SCHEME_V1.md,11247,1787813728964987600,A85A370A430CE5E8FF7CF2303DA4D7766000FA7E37C41C2E09048A9C596095D3,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\50_c1_layout\LAYOUT_SIDE_VIEW_V1.svg,30991,1787816513175179900,ED8F0AF95EFF07CA8F8661D4AD3E5DB98B493D5C609DBD93E228128E1B45D29F,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\50_c1_layout\MASS_BUDGET_V1.csv,8711,1787813261609397700,365C9EBF9493F2B5C46578BD3C646170F17ED115CD9A4E8D6683AD72AD782294,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\50_c1_layout\render_layout_svg.py,40339,1787816363487441700,5609357B5E57C6BF1BC576FE12917E59B54DAE700359EEF7537FF5CA465F4967,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\50_c1_layout\T_SB_CLOSURE_V1.md,3901,1787813418054459900,DBE2DE471A946A2F3AE08769FAA8D0A4D6A045E63C2DA2E52F52D500C19EACDC,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\55_c3_design_basis\CANDIDATE_ARCHITECTURES_V1.md,8117,1787823059295191800,8884784302F54C53CB2C9AF4B8475611662458F200748C76AF988B2845353CF0,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\55_c3_design_basis\CANDIDATE_ARCHITECTURES_V1.yaml,26254,1787823100103242600,77C932A87169CBF05F5C356586C5E3BA296F1F0F9395136D958A81FCC2A31A2A,True
