grid_index,case_id,grasp_point_id,t_c_s,v_app_mps,task_constraint_mode,scenario_hash,base_attitude_change_deg,post_capture_rate_dps,Jt_norm_Ns,E_flex_J,H_RW_Nms,m_prop_g,manip_sqrt_det_JJT,M_PCS,is_g1_pick
24,P2_tc00_v5mm_pose_6d,P2,0.0,0.005,pose_6d,073ecd8ee73ba5ba,1.6293558036945828,1.5257861771410746,1.0052263664086234,0.0001439148601474,3.8144005983518254,38.1333934601183,0.0065595901489389,0.2371069114294627,0
25,P2_tc00_v5mm_approach_5d,P2,0.0,0.005,approach_5d,f66b99e249e926fc,1.6293558289639434,1.5257861770335437,1.0052263663950665,0.0001439148601528,3.8144005983499953,38.1333934601,0.0065595901486849,0.2371069114832281,0
26,P2_tc00_v10mm_pose_6d,P2,0.0,0.01,pose_6d,14f7703dcc7213aa,1.6293558036945828,1.5670575362053447,0.9869440879593446,0.0001556075504643,3.9513114065651065,39.502120625481,0.0065595901489389,0.2164712318973276,0
27,P2_tc00_v10mm_approach_5d,P2,0.0,0.01,approach_5d,5c50490f3b7abc89,1.6293558289639434,1.5670575360947083,0.9869440879500456,0.0001556075504701,3.951311406561444,39.50212062544438,0.0065595901486849,0.2164712319526457,0
30,P2_tc30_v5mm_pose_6d,P2,30.0,0.005,pose_6d,2fcb569cf1cbc95b,1.6266765953698803,1.599059764213666,0.9947060636723586,1.1007890262429026e-05,3.8070504216328014,38.05991214277867,0.0065595901487748,0.200470117893167,0
31,P2_tc30_v5mm_approach_5d,P2,30.0,0.005,approach_5d,69851e6b3540418c,1.6293558289639434,1.5990586077264173,0.994705173491439,1.1007883994346216e-05,3.8070503408891456,38.05991133556677,0.006559590148685,0.2004706961367913,0
32,P2_tc30_v10mm_pose_6d,P2,30.0,0.01,pose_6d,603a538e2a22d4c6,1.6266765953698803,1.635609923181531,0.977792798326128,1.2976383115501525e-05,3.936716875154768,39.35621591665807,0.0065595901487748,0.1821950384092344,0
33,P2_tc30_v10mm_approach_5d,P2,30.0,0.01,approach_5d,c2551606302e2b54,1.6293558289639434,1.6356087030770294,0.9777919084059468,1.2976375973587438e-05,3.9367167127819984,39.35621429338213,0.006559590148685,0.1821956484614852,0
36,P2_tc60_v5mm_pose_6d,P2,60.0,0.005,pose_6d,c2d8cab958a8a445,1.6266388369252682,1.612283430162706,1.000837277262378,0.0001331488022263,3.793386939912607,37.923315340466814,0.006559590148699,0.1938582849186469,0
37,P2_tc60_v5mm_approach_5d,P2,60.0,0.005,approach_5d,8badc09955958f58,1.6293558289639434,1.612283771546864,1.0008373198428162,0.0001331489593715,3.793386876096072,37.92331470247901,0.0065595901486849,0.193858114226568,0
38,P2_tc60_v10mm_pose_6d,P2,60.0,0.01,pose_6d,967e8e506805b043,1.6266388369252682,1.647146953285069,0.9863180893124712,0.0001385797916427,3.909332364624622,39.08244700124577,0.006559590148699,0.1764265233574654,0
39,P2_tc60_v10mm_approach_5d,P2,60.0,0.01,approach_5d,eb644306dea91479,1.6293558289639434,1.6471472934350673,0.986318131106868,0.0001385799665134,3.909332234754916,39.08244570291003,0.0065595901486849,0.1764263532824663,0
42,P2_tc90_v5mm_pose_6d,P2,90.0,0.005,pose_6d,88e154f444b29327,1.6292620367973143,1.4889384675759565,1.021109012571003,1.3228582068992912e-06,3.801462639243272,38.00404986535519,0.0065595901516708,0.2555307662120218,1
43,P2_tc90_v5mm_approach_5d,P2,90.0,0.005,approach_5d,3f2fcb2969d77df3,1.6293558289639434,1.4889368514734966,1.0211081027709703,1.3228437935383411e-06,3.801462743781829,38.0040509104499,0.0065595901486849,0.2555315742632517,0
44,P2_tc90_v10mm_pose_6d,P2,90.0,0.01,pose_6d,5cfcabf7f290270d,1.6292620367973143,1.5316097046097066,1.0047982389157148,1.393142439263022e-06,3.925332337037408,39.24240220983908,0.0065595901516708,0.2341951476951467,1
45,P2_tc90_v10mm_approach_5d,P2,90.0,0.01,approach_5d,8f0c5f15d7b9471a,1.6293558289639434,1.531608092110118,1.0047972942569303,1.3931262080508116e-06,3.925332545940725,39.24240429829104,0.0065595901486849,0.2341959539449409,0
