target,tumble_dps,v_app_mps,grasp_leverarm_m,post_rate_full_dps,post_rate_scalar_dps,scalar_error_pct,w_after_x_rps,w_after_y_rps,w_after_z_rps,contact_impulse_N_s,grasp_couple_N_m_s,impact_energy_loss_J,KE_pre_J,eps_H_origin,budget_2dps
target_satellite_v0,2,0.005,0.25173,0.924804,0.837483,-9.44213,0.0161319,0.000168447,0.000510391,0.0604253,0.00605462,0.000253273,0.000496086,0,WITHIN_BUDGET
target_satellite_v0,2,0.01,0.25173,0.924805,0.837483,-9.44219,0.0161319,0.000169486,0.000510391,0.120368,0.00605687,0.000704044,0.00148984,4.3475e-17,WITHIN_BUDGET
target_satellite_v0,2,0.02,0.25173,0.924806,0.837483,-9.44231,0.0161319,0.000171565,0.000510391,0.240493,0.00606142,0.00250713,0.00546484,0,WITHIN_BUDGET
target_satellite_v0,2,0.03,0.25173,0.924807,0.837483,-9.44244,0.0161319,0.000173644,0.000510391,0.360672,0.00606602,0.00551228,0.0120898,0,WITHIN_BUDGET
target_satellite_v0,3,0.005,0.25173,1.38721,1.25622,-9.44211,0.0241979,0.00025215,0.000765586,0.0608256,0.0090808,0.000382043,0.000702131,1.64081e-16,WITHIN_BUDGET
target_satellite_v0,3,0.01,0.25173,1.38721,1.25622,-9.44215,0.0241979,0.00025319,0.000765586,0.120569,0.00908305,0.000832813,0.00169588,1.73968e-16,WITHIN_BUDGET
target_satellite_v0,3,0.02,0.25173,1.38721,1.25622,-9.44223,0.0241979,0.000255269,0.000765586,0.240594,0.00908758,0.0026359,0.00567088,1.63891e-16,WITHIN_BUDGET
target_satellite_v0,3,0.03,0.25173,1.38721,1.25622,-9.44231,0.0241979,0.000257348,0.000765586,0.36074,0.00909213,0.00564105,0.0122959,1.663e-16,WITHIN_BUDGET
target_satellite_v0,5,0.005,0.25173,2.31201,2.09371,-9.44209,0.0403298,0.000419557,0.00127598,0.0620893,0.0151332,0.000794109,0.00136148,0,OVER_BUDGET
target_satellite_v0,5,0.01,0.25173,2.31201,2.09371,-9.44211,0.0403298,0.000420597,0.00127598,0.121211,0.0151354,0.00124488,0.00235523,3.48042e-17,OVER_BUDGET
target_satellite_v0,5,0.02,0.25173,2.31201,2.09371,-9.44216,0.0403298,0.000422676,0.00127598,0.240917,0.0151399,0.00304796,0.00633023,3.47881e-17,OVER_BUDGET
target_satellite_v0,5,0.03,0.25173,2.31201,2.09371,-9.44221,0.0403298,0.000424755,0.00127598,0.360955,0.0151444,0.0060531,0.0129552,3.47719e-17,OVER_BUDGET
