support,part_name,supported_arm_part,arm_counterface_z_mm,old_tower_top_z_mm,new_pad_face_z_mm,nominal_gap_mm,pad_size_mm,old_head_x_mm,new_head_x_mm,new_head_y_mm,pad_overhang_on_old_head_mm,contact_band_width_y_mm,preload_N,kn_N_per_mm,kt_N_per_mm,pad_source
G07,G07_PRIMARY_SUPPORT_V2,B51_REF_gripper_detail_LINKLOCAL,261.5016,261.08,261.5016,0.0,50x50,20.0,54.0,54.0,17.0,5.803,50.0,10.0,5.0,F3_P5B_PAD_COMPETITION_SPECIFICATION.md
G08,G08_PRIMARY_SUPPORT_V2,B51_REF_link3_LINKLOCAL,208.4929,209.42,208.4929,0.0,30x30,20.0,34.0,34.0,7.0,13.367,25.0,5.0,2.0,F3_P5B_PAD_COMPETITION_SPECIFICATION.md
MID,MID_BACKUP_SUPPORT_V2,B51_REF_link5_LINKLOCAL,214.9189,214.92,212.9189,2.0,30x30,20.0,34.0,34.41,7.0,30.41,0.0,,,"F3R2 G3-D backup role, no nominal contact"
