t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_L4,eta_L5,eta_R1,eta_R2,eta_R3,eta_R4,eta_R5,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.1200,19.261058,0.318315,19.257500,0.253855,1.594411,0.447012,1.834839,-1.605626,1.192261,-4.37846372e-04,3.07451984e-05,-5.38267425e-06,-2.30264305e-07,-1.15322197e-07,3.30107676e-04,-1.87077428e-05,3.12752102e-06,1.37014657e-07,5.91652046e-08,6.32066717e-01,9.33276068e-02,1.96306301e-02,2.99982281e+00,2.30696512e-07,2.776e-16,4.441e-16
0.1300,19.265955,0.340679,19.261863,0.273319,1.594469,0.446685,1.834863,-1.654034,1.236364,-4.62370729e-04,2.32310062e-05,-1.44707839e-06,1.14332718e-06,4.66778121e-08,3.49168757e-04,-1.42122277e-05,8.92039770e-07,-6.28144363e-07,-2.01965946e-08,6.32067991e-01,9.33254847e-02,1.96439362e-02,2.99981064e+00,2.43440422e-07,8.674e-16,1.332e-15
0.1400,19.270879,0.363046,19.266215,0.292784,1.594527,0.446358,1.834889,-1.667553,1.259018,-4.85008589e-04,1.22224767e-05,4.03920797e-06,-1.02607166e-06,3.05316690e-08,3.66894425e-04,-7.53360208e-06,-2.27738436e-06,5.65587092e-07,-1.82272913e-08,6.32069026e-01,9.33233033e-02,1.96585558e-02,2.99979750e+00,2.61161962e-07,1.084e-15,1.332e-15
0.1500,19.275830,0.385416,19.270557,0.312253,1.594580,0.446031,1.834916,-1.694651,1.287800,-5.05671276e-04,-5.84137737e-07,5.06987113e-06,1.83075562e-08,-9.69606310e-08,3.83215834e-04,2.99134803e-07,-2.91032750e-06,1.00869722e-10,5.48303250e-08,6.32069136e-01,9.33208942e-02,1.96781485e-02,2.99978071e+00,2.75920423e-07,1.110e-16,8.882e-16
0.1600,19.280808,0.407789,19.274889,0.331724,1.594628,0.445702,1.834947,-1.732593,1.321848,-5.24278422e-04,-1.32247136e-05,5.68601483e-07,9.91455561e-07,1.46234810e-07,3.98069367e-04,8.08446163e-06,-3.43628632e-07,-5.45500072e-07,-7.74897876e-08,6.32067944e-01,9.33181626e-02,1.97047740e-02,2.99975876e+00,2.92152466e-07,5.516e-16,8.882e-16
0.1700,19.285812,0.430164,19.279210,0.351197,1.594646,0.445359,1.834996,-1.763804,1.351397,-5.40756511e-04,-2.37675615e-05,-4.48949032e-06,-1.10185377e-06,-1.64824704e-07,4.11398025e-04,1.46333097e-05,2.58578636e-06,6.08760535e-07,8.83035919e-08,6.32058269e-01,9.33134399e-02,1.97746656e-02,2.99970562e+00,3.06320692e-07,1.665e-16,3.997e-15
0.1800,19.290843,0.452542,19.283520,0.370674,1.594643,0.445008,1.835058,-1.792807,1.378828,-5.55038515e-04,-3.06081613e-05,-4.57546861e-06,2.50997314e-07,1.55929728e-07,4.23152104e-04,1.89509902e-05,2.67651574e-06,-1.27850617e-07,-7.99268348e-08,6.32043047e-01,9.33074125e-02,1.98729732e-02,2.99963204e+00,3.12552006e-07,2.949e-16,4.441e-16
0.1900,19.295901,0.474922,19.287820,0.390153,1.594655,0.444665,1.835110,-1.812561,1.400315,-5.67069971e-04,-3.27159967e-05,3.49864074e-07,8.09987893e-07,-1.16538203e-07,4.33285764e-04,2.03862198e-05,-1.39483797e-07,-4.46459382e-07,6.04378276e-08,6.32032253e-01,9.33024031e-02,1.99492254e-02,2.99957427e+00,3.18820552e-07,1.067e-15,1.776e-15
0.2000,19.300986,0.497305,19.292109,0.409635,1.594675,0.444326,1.835158,-1.833038,1.421840,-5.76806142e-04,-2.97882377e-05,4.85415757e-06,-1.12958946e-06,6.03195127e-08,4.41759185e-04,1.87304913e-05,-2.75635858e-06,6.25051030e-07,-2.78730795e-08,6.32023563e-01,9.32978880e-02,2.00147692e-02,2.99952423e+00,3.24820047e-07,2.463e-16,8.882e-16
0.2100,19.306097,0.519690,19.296387,0.429120,1.594699,0.443989,1.835203,-1.891898,1.464497,-5.84210429e-04,-2.22922742e-05,4.02454426e-06,4.58826723e-07,7.46338893e-09,4.48539758e-04,1.42488397e-05,-2.31949972e-06,-2.42951559e-07,-5.67734567e-09,6.32016110e-01,9.32936684e-02,2.00739179e-02,2.99947884e+00,3.30109062e-07,5.673e-16,2.665e-15
