t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_L4,eta_L5,eta_R1,eta_R2,eta_R3,eta_R4,eta_R5,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.1200,19.256217,0.296014,19.253155,0.234402,1.594304,0.447632,1.834720,-1.515409,1.124553,-4.11518449e-04,3.41037404e-05,-3.85162982e-06,-1.46458989e-06,7.75217863e-07,3.10265215e-04,-2.06347531e-05,2.22769038e-06,8.20122635e-07,-4.24789873e-07,6.32121422e-01,9.33389365e-02,1.95923893e-02,2.99978707e+00,3.17083277e-07,2.932e-16,2.665e-15
0.1300,19.261090,0.318375,19.257532,0.253861,1.594340,0.447291,1.834758,-1.610430,1.196649,-4.37850653e-04,3.11938116e-05,-6.05814732e-06,-3.60397079e-07,-5.34767591e-07,3.30575535e-04,-1.89724544e-05,3.52695875e-06,2.10547594e-07,2.95713783e-07,6.32116004e-01,9.33352765e-02,1.96389259e-02,2.99975116e+00,3.29905977e-07,1.058e-16,4.441e-16
0.1400,19.265990,0.340738,19.261897,0.273324,1.594406,0.446969,1.834778,-1.657561,1.239818,-4.62390188e-04,2.35555326e-05,-1.61219622e-06,1.83770856e-06,2.09287723e-07,3.49624244e-04,-1.43877565e-05,9.77327683e-07,-1.02616419e-06,-1.15211539e-07,6.32119434e-01,9.33336503e-02,1.96413499e-02,2.99974682e+00,3.47122809e-07,8.153e-16,7.772e-16
0.1500,19.270917,0.363105,19.266253,0.292789,1.594459,0.446639,1.834806,-1.663875,1.258197,-4.85043566e-04,1.23735979e-05,4.55900156e-06,-1.66329561e-06,1.44957766e-07,3.67335491e-04,-7.59363428e-06,-2.59599314e-06,9.31818732e-07,-7.68515171e-08,6.32119182e-01,9.33311718e-02,1.96622992e-02,2.99972919e+00,3.70647117e-07,2.897e-16,1.332e-15
0.1600,19.275871,0.385474,19.270597,0.312256,1.594515,0.446313,1.834832,-1.693834,1.288480,-5.05721487e-04,-6.28764373e-07,5.69963710e-06,4.03862793e-08,-4.58137024e-07,3.83640833e-04,3.63372164e-07,-3.28054642e-06,-1.36021506e-08,2.51174276e-07,6.32120094e-01,9.33289461e-02,1.96777949e-02,2.99971536e+00,3.89125930e-07,2.220e-16,2.220e-15
0.1700,19.280852,0.407845,19.274932,0.331726,1.594565,0.445985,1.834862,-1.732073,1.322733,-5.24343643e-04,-1.34574912e-05,6.19610819e-07,1.59073601e-06,6.80592293e-07,3.98476655e-04,8.26267350e-06,-3.60719212e-07,-8.88823741e-07,-3.71460101e-07,6.32119291e-01,9.33263042e-02,1.97023560e-02,2.99969492e+00,4.09460672e-07,9.558e-16,8.882e-16
0.1800,19.285859,0.430220,19.279256,0.351199,1.594582,0.445642,1.834912,-1.764471,1.352813,-5.40837083e-04,-2.41524836e-05,-5.06672785e-06,-1.78333745e-06,-7.70269619e-07,4.11785617e-04,1.48975814e-05,2.93649113e-06,1.00013243e-06,4.23667256e-07,6.32109578e-01,9.33215691e-02,1.97724063e-02,2.99964168e+00,4.28480932e-07,3.574e-16,6.661e-16
0.1900,19.290893,0.452597,19.283569,0.370675,1.594575,0.445289,1.834977,-1.792077,1.379399,-5.55133258e-04,-3.10853822e-05,-5.14367483e-06,4.14942070e-07,7.21184964e-07,4.23519006e-04,1.92609173e-05,3.00827795e-06,-2.22708749e-07,-3.94983030e-07,6.32092974e-01,9.33152169e-02,1.98776661e-02,2.99956312e+00,4.37797561e-07,1.388e-15,8.882e-16
0.2000,19.295954,0.474976,19.287871,0.390153,1.594587,0.444946,1.835029,-1.814129,1.402026,-5.67178711e-04,-3.32123310e-05,4.10860768e-07,1.29639093e-06,-5.41433617e-07,4.33630398e-04,2.06941792e-05,-1.88681866e-07,-7.25028550e-07,2.99313750e-07,6.32082300e-01,9.33102350e-02,1.99532108e-02,2.99950589e+00,4.47586561e-07,7.494e-16,5.551e-16
0.2100,19.301041,0.497357,19.292163,0.409635,1.594610,0.444609,1.835075,-1.826793,1.419020,-5.76928458e-04,-3.02277727e-05,5.47085624e-06,-1.82558417e-06,2.73423832e-07,4.42080201e-04,1.89894251e-05,-3.12863541e-06,1.02458080e-06,-1.50338802e-07,6.32074567e-01,9.33059393e-02,2.00138672e-02,2.99945936e+00,4.57934173e-07,1.665e-16,1.332e-15
