t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_L4,eta_L5,eta_R1,eta_R2,eta_R3,eta_R4,eta_R5,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.5600,19.495762,1.282352,19.435748,1.093081,1.596321,0.433011,1.836110,0.835160,-0.471084,2.42944739e-04,2.37790508e-06,4.30863738e-06,-1.26594089e-06,3.34692292e-07,-1.36450503e-04,-8.01246032e-07,-2.48308530e-06,7.12617342e-07,-1.83371685e-07,6.32033840e-01,9.32128033e-02,2.09034376e-02,2.99873606e+00,1.04707392e-06,1.790e-15,5.551e-16
0.5700,19.501797,1.304828,19.439661,1.112650,1.596409,0.432687,1.836114,0.887360,-0.520018,2.77084017e-04,1.40920739e-05,-1.29233719e-07,7.68797927e-07,-2.12448645e-07,-1.62104424e-04,-8.02873872e-06,6.54367196e-08,-4.21458391e-07,1.19011175e-07,6.32042573e-01,9.32126134e-02,2.08750992e-02,2.99875452e+00,1.07077389e-06,1.662e-15,8.882e-16
0.5800,19.507858,1.327307,19.443563,1.132222,1.596509,0.432369,1.836112,0.954907,-0.577226,3.10152901e-04,2.36321834e-05,-4.36365640e-06,3.99626435e-07,5.88284707e-08,-1.87048048e-04,-1.39722657e-05,2.52978615e-06,-2.25378739e-07,-3.27693199e-08,6.32054464e-01,9.32131706e-02,2.08304601e-02,2.99878463e+00,1.09048072e-06,1.665e-16,1.776e-15
0.5900,19.513945,1.349789,19.447455,1.151795,1.596593,0.432040,1.836120,1.050359,-0.650425,3.42022084e-04,2.95491916e-05,-3.77395024e-06,-1.18506704e-06,1.02503941e-07,-2.11182960e-04,-1.77283751e-05,2.22066224e-06,6.68635539e-07,-5.35492940e-08,6.32061341e-01,9.32125807e-02,2.08109243e-02,2.99879699e+00,1.10448602e-06,1.162e-15,1.776e-15
0.6000,19.520057,1.372274,19.451337,1.171371,1.596698,0.431722,1.836114,1.156796,-0.730333,3.72566772e-04,3.09532593e-05,9.43251628e-07,9.21015571e-07,-2.37231798e-07,-2.34414182e-04,-1.87315521e-05,-4.93982347e-07,-5.07556745e-07,1.29999240e-07,6.32074445e-01,9.32134539e-02,2.07594449e-02,2.99883216e+00,1.11904459e-06,4.857e-16,8.882e-16
0.6100,19.526196,1.394761,19.455208,1.190948,1.596822,0.431411,1.836097,1.283477,-0.821777,4.01664870e-04,2.76463762e-05,4.59224651e-06,1.52675469e-07,3.27042008e-07,-2.56651978e-04,-1.68401812e-05,-2.62462895e-06,-8.76859125e-08,-1.77701410e-07,6.32092593e-01,9.32155190e-02,2.06819966e-02,2.99888593e+00,1.13136420e-06,3.001e-16,8.882e-16
0.6200,19.532361,1.417252,19.459068,1.210528,1.596937,0.431096,1.836086,1.399277,-0.907119,4.29201785e-04,2.01520766e-05,3.20094392e-06,-1.06249338e-06,-3.52512894e-07,-2.77809554e-04,-1.23548922e-05,-1.85175010e-06,6.01025934e-07,1.94511527e-07,6.32108119e-01,9.32169813e-02,2.06177948e-02,2.99893033e+00,1.14381171e-06,6.731e-16,1.776e-15
0.6300,19.538552,1.439746,19.462919,1.230109,1.597042,0.430776,1.836080,1.501304,-0.984290,4.55071629e-04,9.63297204e-06,-1.65601482e-06,1.02755803e-06,3.16212145e-07,-2.97802951e-04,-5.97060939e-06,9.49413392e-07,-5.67990246e-07,-1.73055688e-07,6.32121109e-01,9.32178462e-02,2.05667044e-02,2.99896535e+00,1.16161856e-06,3.331e-16,4.441e-16
0.6400,19.544768,1.462242,19.466758,1.249692,1.597132,0.430449,1.836084,1.615216,-1.067706,4.79173725e-04,-2.29138709e-06,-4.63811722e-06,-8.43487500e-08,-2.21837263e-07,-3.16553833e-04,1.32970430e-06,2.69863544e-06,4.52006606e-08,1.24051567e-07,6.32129847e-01,9.32177123e-02,2.05374531e-02,2.99898474e+00,1.17784011e-06,4.129e-16,8.882e-16
0.6500,19.551011,1.484742,19.470588,1.269278,1.597206,0.430115,1.836097,1.740614,-1.157082,5.01416406e-04,-1.37920843e-05,-2.50972928e-06,-9.05199199e-07,9.35120298e-08,-3.33987572e-04,8.42771969e-06,1.49827031e-06,5.14310024e-07,-5.16443078e-08,6.32133985e-01,9.32164989e-02,2.05317743e-02,2.99898725e+00,1.19204658e-06,2.272e-16,4.441e-16
0.6600,19.557279,1.507244,19.474406,1.288865,1.597287,0.429784,1.836106,1.850540,-1.236791,5.21713372e-04,-2.31131511e-05,2.34960501e-06,1.08676045e-06,4.97287163e-08,-3.50036030e-04,1.42396553e-05,-1.30882412e-06,-6.02236187e-07,-2.46477869e-08,6.32140244e-01,9.32157803e-02,2.05153456e-02,2.99899744e+00,1.20608136e-06,1.192e-15,1.332e-15
0.6700,19.563572,1.529748,19.478215,1.308454,1.597384,0.429462,1.836106,1.943436,-1.305320,5.39983887e-04,-2.88396919e-05,4.60446898e-06,-3.03361008e-07,-1.76444500e-07,-3.64637893e-04,1.78817108e-05,-2.64087080e-06,1.67839760e-07,9.66441647e-08,6.32151056e-01,9.32161239e-02,2.04758096e-02,2.99902412e+00,1.21363483e-06,8.448e-16,5.551e-16
0.6800,19.569892,1.552256,19.482012,1.328046,1.597462,0.429129,1.836116,1.996047,-1.349128,5.56157724e-04,-3.01104272e-05,1.82192394e-06,-7.22118803e-07,2.69575013e-07,-3.77736043e-04,1.88060948e-05,-1.05971475e-06,4.12698152e-07,-1.45941840e-07,6.32156622e-01,9.32152504e-02,2.04628267e-02,2.99903188e+00,1.21877252e-06,1.978e-16,1.332e-15
0.6900,19.576237,1.574766,19.485799,1.347639,1.597542,0.428798,1.836125,2.007997,-1.367914,5.70173122e-04,-2.67483036e-05,-2.90484796e-06,1.09946165e-06,-3.08389744e-07,-3.89279278e-04,1.68825100e-05,1.67668696e-06,-6.10419594e-07,1.70139025e-07,6.32162641e-01,9.32144804e-02,2.04476294e-02,2.99904119e+00,1.22615000e-06,1.839e-16,5.551e-16
0.7000,19.582607,1.597279,19.489576,1.367235,1.597617,0.428464,1.836138,2.025102,-1.387576,5.81976430e-04,-1.92851583e-05,-4.39418306e-06,-4.96299525e-07,2.93050104e-07,-3.99222824e-04,1.24162198e-05,2.56836821e-06,2.76456323e-07,-1.60069358e-07,6.32167317e-01,9.32134027e-02,2.04391643e-02,2.99904573e+00,1.23249611e-06,5.187e-16,4.441e-16
0.7100,19.589004,1.619795,19.493342,1.386832,1.597691,0.428128,1.836151,2.031835,-1.399894,5.91522895e-04,-8.87735992e-06,-1.05554070e-06,-5.21900736e-07,-2.22952180e-07,-4.07528126e-04,6.09992007e-06,6.62206125e-07,3.01291505e-07,1.24470346e-07,6.32171376e-01,9.32121968e-02,2.04335141e-02,2.99904834e+00,1.24191300e-06,1.716e-15,8.882e-16
0.7200,19.595425,1.642313,19.497097,1.406432,1.597799,0.427809,1.836143,2.027504,-1.404395,5.98774969e-04,2.87240981e-06,3.41295643e-06,1.06774001e-06,1.17817801e-07,-4.14164139e-04,-1.09434531e-06,-1.93039137e-06,-5.94113658e-07,-6.49470098e-08,6.32185017e-01,9.32132422e-02,2.03788435e-02,2.99908604e+00,1.25414744e-06,6.991e-16,1.776e-15
0.7300,19.601873,1.664834,19.500842,1.426033,1.597918,0.427493,1.836128,2.013815,-1.402065,6.03702530e-04,1.41618701e-05,4.11985536e-06,-6.57803094e-07,7.26669428e-09,-4.19107435e-04,-8.06480301e-06,-2.37210251e-06,3.67161906e-07,-1.41247500e-09,6.32201673e-01,9.32150152e-02,2.03083910e-02,2.99913515e+00,1.26303640e-06,4.632e-16,1.332e-15
0.7400,19.608346,1.687359,19.504576,1.445636,1.598036,0.427176,1.836115,1.977283,-1.385565,6.06287761e-04,2.32677306e-05,3.34724914e-07,-3.13593756e-07,-1.24204743e-07,-4.22339357e-04,-1.37470361e-05,-2.04244459e-07,1.85054154e-07,6.79198133e-08,6.32217807e-01,9.32166779e-02,2.02404204e-02,2.99918259e+00,1.27068014e-06,2.220e-16,6.661e-16
0.7500,19.614845,1.709886,19.508300,1.465241,1.598153,0.426858,1.836101,1.942149,-1.368760,6.06522283e-04,2.88072469e-05,-3.76081217e-06,9.96123444e-07,2.17184319e-07,-4.23847966e-04,-1.72776279e-05,2.17797141e-06,-5.55128249e-07,-1.17151969e-07,6.32233685e-01,9.32182870e-02,2.01737000e-02,2.99922918e+00,1.27599537e-06,7.598e-16,1.776e-15
0.7600,19.621369,1.732416,19.512014,1.484847,1.598266,0.426537,1.836090,1.935740,-1.367638,6.04406527e-04,2.99478594e-05,-3.69223515e-06,-7.82747145e-07,-2.65392512e-07,-4.23628463e-04,-1.81255526e-05,2.17148938e-06,4.38049104e-07,1.46369527e-07,6.32248334e-01,9.32196127e-02,2.01132207e-02,2.99927134e+00,1.27769331e-06,2.186e-16,2.220e-15
0.7700,19.627919,1.754949,19.515717,1.504456,1.598377,0.426215,1.836081,1.945659,-1.375405,5.99951484e-04,2.65331420e-05,4.20215966e-07,-1.05766825e-07,2.66716386e-07,-4.21682058e-04,-1.61713313e-05,-1.90185261e-07,6.89970778e-08,-1.45502463e-07,6.32262305e-01,9.32207840e-02,2.00561677e-02,2.99931107e+00,1.28178166e-06,1.200e-15,1.332e-15
0.7800,19.634495,1.777485,19.519410,1.524066,1.598505,0.425903,1.836060,1.955135,-1.382396,5.93174689e-04,1.91020558e-05,4.04219828e-06,8.89527716e-07,-2.17609929e-07,-4.18018469e-04,-1.17251903e-05,-2.30326373e-06,-4.96754120e-07,1.21266635e-07,6.32281426e-01,9.32231576e-02,1.99731096e-02,2.99936947e+00,1.28800604e-06,2.446e-16,8.882e-16
0.7900,19.641096,1.800024,19.523092,1.543678,1.598629,0.425589,1.836043,1.963665,-1.387895,5.84103628e-04,8.80560097e-06,3.22474177e-06,-8.68927306e-07,1.33551288e-07,-4.12653692e-04,-5.47664046e-06,-1.86375773e-06,4.87227172e-07,-7.33863799e-08,6.32299205e-01,9.32252127e-02,1.98970770e-02,2.99942282e+00,1.29596408e-06,1.665e-16,2.665e-15
0.8000,19.647722,1.822566,19.526764,1.563291,1.598727,0.425262,1.836041,1.946089,-1.377528,5.72777236e-04,-2.77066272e-06,-1.09059600e-06,9.33804713e-08,-2.59534877e-08,-4.05608991e-04,1.61297733e-06,6.20858770e-07,-4.23268584e-08,1.67650437e-08,6.32309958e-01,9.32256166e-02,1.98569190e-02,2.99945038e+00,1.30787195e-06,1.041e-16,8.882e-16
0.8100,19.654374,1.845111,19.530425,1.582907,1.598819,0.424935,1.836043,1.924973,-1.363792,5.59243074e-04,-1.38519696e-05,-4.15398341e-06,7.54915206e-07,-7.99715858e-08,-3.96912456e-04,8.45745147e-06,2.41594510e-06,-4.22080663e-07,4.36934894e-08,6.32319226e-01,9.32256517e-02,1.98248188e-02,2.99947203e+00,1.31842551e-06,8.136e-16,1.332e-15
0.8200,19.661051,1.867658,19.534076,1.602524,1.598890,0.424598,1.836057,1.913616,-1.354166,5.43557130e-04,-2.27462926e-05,-2.63451217e-06,-9.15023263e-07,1.70427178e-07,-3.86598832e-04,1.40122097e-05,1.56956936e-06,5.14386349e-07,-9.13272430e-08,6.32322725e-01,9.32243292e-02,1.98221735e-02,2.99947247e+00,1.32665035e-06,1.004e-15,4.441e-16
0.8300,19.667754,1.890208,19.537716,1.622143,1.598964,0.424263,1.836069,1.881053,-1.331099,5.25783594e-04,-2.81025855e-05,1.75897451e-06,2.76342822e-07,-2.24437295e-07,-3.74709344e-04,1.74337898e-05,-9.65130842e-07,-1.44960403e-07,1.23760330e-07,6.32327301e-01,9.32232493e-02,1.98143125e-02,2.99947660e+00,1.33481017e-06,1.063e-15,2.220e-16
0.8400,19.674482,1.912761,19.541345,1.641765,1.599054,0.423938,1.836072,1.826173,-1.293344,5.05992668e-04,-2.91168752e-05,4.19820630e-06,5.98685451e-07,2.38820051e-07,-3.61292730e-04,1.82072123e-05,-2.40275189e-06,-3.35595260e-07,-1.29989809e-07,6.32336374e-01,9.32232168e-02,1.97838026e-02,2.99949697e+00,1.34019235e-06,2.030e-16,1.776e-15
0.8500,19.681235,1.935316,19.544964,1.661388,1.599136,0.423608,1.836079,1.737136,-1.234117,4.84262801e-04,-2.56516997e-05,2.04144441e-06,-9.22222297e-07,-2.07207971e-07,-3.46403503e-04,1.62243339e-05,-1.18604900e-06,5.19465019e-07,1.15468751e-07,6.32343230e-01,9.32226674e-02,1.97645267e-02,2.99950927e+00,1.34705708e-06,1.110e-16,2.665e-15
0.8600,19.688013,1.957874,19.548572,1.681013,1.599211,0.423275,1.836090,1.614015,-1.153462,4.60682469e-04,-1.82534468e-05,-2.30596733e-06,4.37048750e-07,1.42079241e-07,-3.30100444e-04,1.17995599e-05,1.32787380e-06,-2.35282722e-07,-7.78744591e-08,6.32348174e-01,9.32216673e-02,1.97550487e-02,2.99951450e+00,1.35879881e-06,3.712e-16,2.220e-15
0.8700,19.694816,1.980434,19.552170,1.700640,1.599287,0.422942,1.836101,1.487035,-1.068756,4.35345721e-04,-8.06823142e-06,-4.07393237e-06,4.28853133e-07,-5.10826585e-08,-3.12448937e-04,5.61857459e-06,2.38027731e-06,-2.41075409e-07,3.04642308e-08,6.32353369e-01,9.32207265e-02,1.97443205e-02,2.99952063e+00,1.37162134e-06,1.804e-16,3.109e-15
0.8800,19.701645,2.002997,19.555757,1.720269,1.599365,0.422611,1.836111,1.370628,-0.988717,4.08353675e-04,3.33654861e-06,-1.36063461e-06,-8.92343318e-07,-4.32847599e-08,-2.93519481e-04,-1.36716493e-06,8.38272426e-07,5.03910017e-07,2.36014998e-08,6.32359319e-01,9.32199679e-02,1.97296762e-02,2.99952960e+00,1.38753701e-06,1.022e-15,8.882e-16
0.8900,19.708498,2.025563,19.559333,1.739900,1.599459,0.422286,1.836111,1.246870,-0.903501,3.79813268e-04,1.42129643e-05,2.82247490e-06,5.70245650e-07,1.29132869e-07,-2.73387936e-04,-8.08719436e-06,-1.58639054e-06,-3.10738523e-07,-6.87179881e-08,6.32369401e-01,9.32201867e-02,1.96939014e-02,2.99955381e+00,1.40507677e-06,8.674e-16,1.332e-15
0.9000,19.715377,2.048131,19.562900,1.759532,1.599576,0.421974,1.836097,1.119491,-0.815288,3.49835546e-04,2.28997271e-05,3.89186569e-06,2.52527953e-07,-1.86281832e-07,-2.52136058e-04,-1.35165928e-05,-2.23751402e-06,-1.43105856e-07,1.02652429e-07,6.32386151e-01,9.32219715e-02,1.96242978e-02,2.99960237e+00,1.41864383e-06,6.644e-16,2.665e-15
0.9100,19.722281,2.070702,19.566455,1.779167,1.599683,0.421655,1.836089,0.990143,-0.725204,3.18539407e-04,2.80778195e-05,7.14132789e-07,-8.29037772e-07,2.10406560e-07,-2.29848587e-04,-1.68308463e-05,-4.23772457e-07,4.69517667e-07,-1.14233785e-07,6.32399776e-01,9.32230315e-02,1.95704576e-02,2.99963966e+00,1.43171089e-06,7.355e-16,2.665e-15
0.9200,19.729211,2.093276,19.570000,1.798803,1.599781,0.421333,1.836086,0.857330,-0.632810,2.86050231e-04,2.89702620e-05,-3.19470950e-06,6.72859236e-07,-1.93380596e-07,-2.06613526e-04,-1.75314224e-05,1.84792973e-06,-3.68931478e-07,1.07644918e-07,6.32411253e-01,9.32235826e-02,1.95276829e-02,2.99966894e+00,1.44496526e-06,4.927e-16,1.110e-15
0.9300,19.736165,2.115853,19.573535,1.818440,1.599877,0.421010,1.836085,0.757469,-0.558893,2.52497474e-04,2.54577546e-05,-3.55920140e-06,7.77406180e-08,1.44724193e-07,-1.82522947e-04,-1.55213845e-05,2.09261202e-06,-4.52680149e-08,-7.91780192e-08,6.32422076e-01,9.32239698e-02,1.94885099e-02,2.99969558e+00,1.45718125e-06,5.117e-16,4.441e-16
0.9400,19.743144,2.138432,19.577059,1.838080,1.599960,0.420682,1.836091,0.679604,-0.497645,2.18014797e-04,1.80946527e-05,-2.01457753e-08,-7.36727371e-07,-6.92214927e-08,-1.57672191e-04,-1.11183663e-05,6.54860425e-08,4.18955748e-07,4.02805671e-08,6.32429565e-01,9.32235711e-02,1.94663554e-02,2.99970992e+00,1.47392942e-06,1.743e-15,1.332e-15
0.9500,19.750149,2.161014,19.580572,1.857721,1.600054,0.420361,1.836091,0.601366,-0.436204,1.82739039e-04,8.02135297e-06,3.51605638e-06,7.42421329e-07,-1.35287056e-08,-1.32159788e-04,-5.00459141e-06,-1.99548747e-06,-4.08910345e-07,7.27293278e-09,6.32440153e-01,9.32238832e-02,1.94289047e-02,2.99973518e+00,1.49402544e-06,7.980e-16,1.332e-15
0.9600,19.757178,2.183599,19.584075,1.877365,1.600143,0.420039,1.836093,0.519757,-0.372398,1.46808886e-04,-3.21267637e-06,3.18865587e-06,-8.92235680e-08,9.34631417e-08,-1.06087582e-04,1.87850831e-06,-1.84018004e-06,4.81808928e-08,-4.90861087e-08,6.32449818e-01,9.32239673e-02,1.93964299e-02,2.99975679e+00,1.51403820e-06,5.933e-16,2.665e-15
0.9700,19.764233,2.206186,19.587568,1.897009,1.600210,0.419707,1.836109,0.420571,-0.298073,1.10367866e-04,-1.38855009e-05,-6.02209959e-07,-6.20919208e-07,-1.51227225e-07,-7.95581308e-05,8.47651713e-06,3.37794860e-07,3.55208015e-07,8.34177791e-08,6.32453318e-01,9.32225901e-02,1.93955192e-02,2.99975552e+00,1.53559777e-06,1.147e-15,5.551e-16
0.9800,19.771312,2.228776,19.591050,1.916656,1.600261,0.419369,1.836135,0.310560,-0.216817,7.35622925e-05,-2.23672875e-05,-3.67947398e-06,7.78630026e-07,1.82440167e-07,-5.26752343e-05,1.37830398e-05,2.13894509e-06,-4.29951474e-07,-9.86992553e-08,6.32452508e-01,9.32201819e-02,1.94168833e-02,2.99973807e+00,1.55483523e-06,1.665e-16,1.332e-15
0.9900,19.778416,2.251367,19.594521,1.936305,1.600305,0.419029,1.836165,0.207648,-0.138829,3.65381160e-05,-2.73702903e-05,-2.69136103e-06,-2.41892232e-07,-1.77078484e-07,-2.55450870e-05,1.69923468e-05,1.60113828e-06,1.34114446e-07,9.86096515e-08,6.32449820e-01,9.32173174e-02,1.94481280e-02,2.99971339e+00,1.57043708e-06,1.079e-15,2.220e-15
1.0000,19.785545,2.273961,19.597981,1.955957,1.600344,0.418688,1.836197,0.099807,-0.057329,-5.57539026e-07,-2.81432293e-05,1.23902296e-06,-4.87813798e-07,1.42796113e-07,1.72552364e-06,1.76225391e-05,-6.62695417e-07,2.81504268e-07,-7.79077288e-08,6.32446179e-01,9.32142212e-02,1.94844092e-02,2.99968504e+00,1.58652923e-06,7.286e-17,8.882e-16
