station_mm,Y_min,Y_max,Z_min,Z_max,width_Y,width_Z,responsible_Y_min,responsible_Y_max,responsible_Z_min,responsible_Z_max,component_set_at_station
-45.0,-57.790,83.860,-72.612,-5.637,141.649,66.975,link5,gripper_left,link5,gripper_left,gripper_left|link5|link6
-43.0,-67.781,-8.105,-71.510,-7.988,59.676,63.523,link5,gripper_link,link5,gripper_link,gripper_link|link5
-42.0,-47.793,-8.568,-72.182,-12.068,39.226,60.114,link5,link6,link5,link6,link5|link6
-41.0,-19.127,-8.304,-61.511,-12.632,10.823,48.879,link6,link6,link6,link6,link6
-40.0,-75.077,-19.915,-71.031,54.098,55.162,125.128,link4,link5,link5,link4,link4|link5
-39.0,-10.048,-10.048,-64.514,-64.514,0.000,0.000,gripper_link,gripper_link,gripper_link,gripper_link,gripper_link
-38.0,-67.761,-8.690,-70.056,-14.559,59.070,55.497,link5,link6,link5,link6,link5|link6
-37.0,-19.074,35.269,-129.684,-15.276,54.343,114.408,link6,gripper_link,gripper_link,link6,gripper_link|link6
-36.0,65.251,82.805,-130.691,-34.234,17.554,96.457,gripper_link,gripper_right,gripper_link,gripper_right,gripper_left|gripper_link|gripper_right
-35.0,-19.309,68.587,-69.547,-17.633,87.896,51.915,link6,gripper_right,gripper_right,link6,gripper_link|gripper_right|link6
-34.0,-67.719,51.489,-80.892,-18.483,119.208,62.409,link5,gripper_left,gripper_left,link6,gripper_left|link5|link6
-32.0,-19.217,51.256,-87.795,-21.208,70.473,66.586,link6,gripper_left,gripper_left,link6,gripper_left|gripper_link|link6
-31.0,-18.899,57.111,-91.285,-22.170,76.010,69.115,link6,gripper_left,gripper_left,link6,gripper_left|link6
-30.0,-75.057,57.107,-91.306,22.974,132.165,114.280,link4,gripper_left,gripper_left,link4,gripper_left|link4|link5|link6
-29.0,-75.058,-8.875,-54.252,23.758,66.183,78.010,link4,link6,gripper_link,link4,gripper_link|link4|link5|link6
-28.0,-75.058,81.709,-64.914,51.784,156.767,116.698,link4,gripper_right,gripper_right,link4,gripper_right|link4|link5|link6
-27.0,-75.074,81.774,-63.918,48.989,156.848,112.907,link4,gripper_right,gripper_right,link4,gripper_link|gripper_right|link4|link5|link6
-26.0,-75.058,59.046,-17.355,50.854,134.105,68.209,link4,gripper_link,gripper_link,link4,gripper_link|link4|link5
-25.0,-75.058,57.040,-91.539,23.806,132.097,115.345,link4,gripper_left,gripper_left,link4,gripper_left|gripper_link|link4|link5
-24.0,-75.073,6.460,-20.732,47.784,81.533,68.516,link4,gripper_link,link5,link4,gripper_link|link4|link5
-23.0,-75.072,-8.312,-25.104,49.348,66.760,74.452,link4,link4,link5,link4,link4|link5
-22.0,-75.070,-8.310,-27.317,43.809,66.760,71.126,link4,link4,link5,link4,gripper_link|link4|link5
-21.0,-75.042,57.042,-90.226,-0.755,132.084,89.471,link4,gripper_left,gripper_left,link4,gripper_left|gripper_link|link4|link5
-20.0,-75.399,57.052,-90.004,96.722,132.450,186.726,link2,gripper_left,gripper_left,link2,gripper_left|gripper_link|link2|link4|link5
-19.0,-75.400,58.169,-89.238,97.773,133.569,187.012,link2,gripper_link,gripper_left,link2,gripper_left|gripper_link|link2|link4|link5
-18.0,-75.400,58.129,-42.345,97.770,133.528,140.115,link2,gripper_link,gripper_link,link2,gripper_link|link2|link4|link5
-17.0,-57.591,65.261,-124.427,-18.151,122.852,106.276,link5,gripper_link,gripper_link,link5,gripper_link|link5
-16.0,-70.314,-12.485,-49.388,-21.343,57.829,28.045,link5,link5,link5,link5,link5
-15.0,-70.048,-15.049,-49.014,-25.582,54.999,23.432,link5,link5,link5,link5,link5
-14.0,-75.394,-8.044,-43.879,89.438,67.350,133.317,link2,link2,link5,link2,link2|link5
-13.0,-75.394,-8.044,-48.715,89.077,67.350,137.792,link2,link2,link5,link2,link2|link5
-12.0,-75.394,-8.044,-49.563,88.996,67.350,138.559,link2,link2,link5,link2,link2|link5
-11.0,-72.009,-11.259,-46.120,-37.887,60.749,8.233,link4,link4,link4,link5,link4|link5
-10.0,-67.887,-15.261,-49.935,-49.187,52.626,0.748,link4,link4,link4,link4,link4
-9.0,-63.242,-19.805,-53.151,-52.534,43.437,0.617,link4,link4,link4,link4,link4
-8.0,-58.169,-24.798,-57.539,-55.229,33.371,2.311,link4,link4,link4,link4,link4
-7.0,-47.151,-35.721,-58.932,-58.461,11.430,0.472,link4,link4,link4,link4,link4
-5.0,-75.032,-8.272,-16.256,-16.214,66.760,0.042,link4,link4,link4,link4,link4
-4.0,-75.033,-8.272,-42.971,-15.604,66.760,27.367,link4,link4,link4,link4,link4
-3.0,-72.010,-72.010,-43.834,-43.834,0.000,0.000,link4,link4,link4,link4,link4
-2.0,-67.888,-15.263,-47.649,-46.901,52.626,0.748,link4,link4,link4,link4,link4
-1.0,-63.244,-19.806,-50.865,-50.247,43.437,0.617,link4,link4,link4,link4,link4
8.0,-75.405,-8.055,105.488,105.530,67.350,0.043,link2,link2,link2,link2,link2
20.0,-50.986,-32.372,25.363,27.424,18.614,2.061,link4,link4,link4,link4,link4
25.0,-65.416,-17.922,-53.177,9.472,47.494,62.649,link4,link4,link4,link4,link4
