path,bytes,MiB,git_state,over_100_MiB
20_engineering/F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806/04_configurations/G2/step/F3R1_V3_R_FAIL.step,125946582,120.112,tracked,True
20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/06_pack_and_go/V5R_NEUTRAL_OPERATIONAL_PACKAGE/cad/SEI_MECH_B601_V5R_NEUTRAL_OPERATIONAL_BASELINE.step,125946155,120.112,tracked,True
20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/SEI_MECH_B601_V5R_NEUTRAL_OPERATIONAL_BASELINE.step,125946155,120.112,tracked,True
20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/F3R2_SPACE_EMBODIED_ROBOT_OPERATIONAL_BASELINE.step,125946155,120.112,tracked,True
20_engineering/F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806/04_configurations/G2/step/F3R1_V3_DEPLOYED_NOMINAL.step,125946155,120.112,tracked,True
20_engineering/cad/B5_1_B601_interface_closure_candidate/00_BASELINE_DONORS/B5_0_ACCEPTED_CANDIDATE_FULL_COPY/03_CAD/native_runs/B50_NATIVE_20260727T2214Z/30_exports/B50_B601_ENGINEERING_ARM_Q0.step,124616124,118.843,tracked,True
20_engineering/cad/B5_0_B601_space_manipulator_candidate/03_CAD/native_runs/B50_NATIVE_20260727T2214Z/30_exports/B50_B601_ENGINEERING_ARM_Q0.step,124616124,118.843,tracked,True
20_engineering/cad/B5_1_B601_interface_closure_candidate/00_BASELINE_DONORS/B5_0_ACCEPTED_CANDIDATE_FULL_COPY/03_CAD/native_runs/B50_NATIVE_20260727T2214Z/30_exports/.B50_B601_ENGINEERING_ARM_Q0.step.glb,115713440,110.353,tracked,True
20_engineering/cad/B5_0_B601_space_manipulator_candidate/03_CAD/native_runs/B50_NATIVE_20260727T2214Z/30_exports/.B50_B601_ENGINEERING_ARM_Q0.step.glb,115713440,110.353,tracked,True
01_project/governance/sei_pl1_cleanup_20260828/_ref_matches.tsv,95091993,90.687,tracked,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp08_retention_delta_20260907_1228/viewer/WP08_SERVICE_RETENTION_DELTA_V3.glb,87594020,83.536,tracked,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp10_mechatronic_closure_20260908/implementation/history/20260909_before_radiator_view_binding/WP10_IMPLEMENTATION_DELTA.zip,86344952,82.345,tracked,False
50_literature/pdf/01_survey/alizadeh2024comprehensive.pdf,84515215,80.6,ignored,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp07_system_20260907_0610/viewer/WP07_SERVICE_BREP_REVIEW_V4_COMPACT.glb,82706304,78.875,tracked,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp09_interfaces_20260907_1525/system_completion/mechanical/WP09D_NATIVE_873.zip,77129177,73.556,tracked,False
