path,bytes,kind,tracked
.git/lfs/objects/ed/c7/edc70fb57c15a47745abf2b75720ecfc7504a1a650f81c3cc38aad23b6b7d6c0,249866356,ROOT_GIT_METADATA,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp10_mechatronic_closure_20260908/implementation/history/20260909_V17_before_chb_input/WP10_IMPLEMENTATION_DELTA.zip,249866356,PROJECT_OR_RUNTIME_ASSET,True
.git/lfs/objects/a4/17/a417aa8864313cddca5a6ce6679ae7696637463a388f1e426da779bc1f620b85,216887736,ROOT_GIT_METADATA,False
20_engineering/cad/B5_1_B601_interface_closure_candidate/03_CAD/integration/.B51_SPACECRAFT_B601_STOW_INTEGRATION.step.glb,216887736,PROJECT_OR_RUNTIME_ASSET,True
20_engineering/service_robot_wp03_spacecraft_body_r1/__cadgen__/models/servicer_parking.step/topology.glb,204719716,CAD_DERIVED_WITH_POSSIBLE_EVIDENCE_BINDINGS,False
20_engineering/service_robot_wp03_spacecraft_body_r1/__cadgen__/models/ground_ait.step/topology.glb,204423780,CAD_DERIVED_WITH_POSSIBLE_EVIDENCE_BINDINGS,False
20_engineering/service_robot_wp03_spacecraft_body_r1/__cadgen__/models/servicer_released.step/topology.glb,202407636,CAD_DERIVED_WITH_POSSIBLE_EVIDENCE_BINDINGS,False
20_engineering/service_robot_wp03_spacecraft_body_r1/__cadgen__/models/servicer_service.step/topology.glb,197511148,CAD_DERIVED_WITH_POSSIBLE_EVIDENCE_BINDINGS,False
.git/lfs/objects/e5/5e/e55e72b798e3e7d6ee14072d8ec2b875b683830d31d6c80d460187e12e5bc5de,191542951,ROOT_GIT_METADATA,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp10_mechatronic_closure_20260908/implementation/history/20260909_V7_before_high_accuracy_probe/WP10_IMPLEMENTATION_DELTA.zip,191542951,PROJECT_OR_RUNTIME_ASSET,True
.git/lfs/objects/34/45/344589b4aad41b2a0167fad707ed4b044ae7d0e6061818d551d13ded4755367b,188489024,ROOT_GIT_METADATA,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp07_system_20260907_0610/viewer/WP07_SERVICE_BREP_REVIEW_V3.glb,188489024,PROJECT_OR_RUNTIME_ASSET,True
20_engineering/service_robot_wp01_20260905/__cadgen__/models/service_robot_initial_deploy.step/topology.glb,183267808,CAD_DERIVED_WITH_POSSIBLE_EVIDENCE_BINDINGS,False
20_engineering/service_robot_wp01_20260905/__cadgen__/models/service_robot_stowed.step/topology.glb,183267604,CAD_DERIVED_WITH_POSSIBLE_EVIDENCE_BINDINGS,False
20_engineering/service_robot_wp01_20260905/__cadgen__/models/service_robot_work.step/topology.glb,181294596,CAD_DERIVED_WITH_POSSIBLE_EVIDENCE_BINDINGS,False
.git/lfs/objects/d5/30/d53089df84d92e66f7953c435f2274e96ba7543f671a703c67953ff3438c281f,176140380,ROOT_GIT_METADATA,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp10_mechatronic_closure_20260908/implementation/history/20260909_before_CHB_bottom_cold_fingers/WP10_IMPLEMENTATION_DELTA.zip,176140380,PROJECT_OR_RUNTIME_ASSET,True
.git/lfs/objects/71/01/710144e0b5e079bf008993df74ca776040e74cd8cf90e84f91923307e9f5a268,166745216,ROOT_GIT_METADATA,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp09_interfaces_20260907_1525/system_completion/mechanical/portable/WP09_PORTABLE_NATIVE.zip,166745216,PROJECT_OR_RUNTIME_ASSET,True
80_third_party/vendor/basilisk/.git/objects/pack/pack-8957cb4709b73b0ffb789663066818b2445bc19c.pack,147765071,NESTED_GIT_METADATA,False
80_third_party/external/spacecraft_layout_refs/spot/SPOT/.git/objects/pack/pack-4087c4848cb32dcdef102dbc4ca17c328cd4f8ae.pack,127753994,NESTED_GIT_METADATA,False
.git/lfs/objects/44/f3/44f3a5270363b46a1751e42b1b40131c081abba282c738e7362883289da34e38,126113421,ROOT_GIT_METADATA,False
20_engineering/F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806/03_native_cad/F3R1_V2_MATED_STOWED.step,126113421,PROJECT_OR_RUNTIME_ASSET,True
.git/lfs/objects/17/f1/17f1af28532bea196c45ed8ee67466a435926b69fd066c75b9a4f2ede2233e15,125985516,ROOT_GIT_METADATA,False
20_engineering/F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806/03_native_cad/F3R1_SPACE_EMBODIED_ROBOT_INTEGRATION_STOWED.step,125985516,PROJECT_OR_RUNTIME_ASSET,True
.git/lfs/objects/a8/4e/a84ee17212ee3cbc2f87a718f8055bae45aa18a18fc2efbbab5852284d6c9657,125947567,ROOT_GIT_METADATA,False
20_engineering/F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806/04_configurations/G2/step/F3R1_V3_STOWED_ENGINEERING_CANDIDATE.step,125947567,PROJECT_OR_RUNTIME_ASSET,True
.git/lfs/objects/00/94/00946b286f2450f3253dfabe53249646df6ea04c293b45ea2496e63563395733,125946912,ROOT_GIT_METADATA,False
20_engineering/F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806/04_configurations/G2/step/F3R1_V3_L_FAIL.step,125946912,PROJECT_OR_RUNTIME_ASSET,True
.git/lfs/objects/7f/d8/7fd86c024e5b33b4efdc606fc3bf63b1858e0130833c10292060eb3058c3b432,125946582,ROOT_GIT_METADATA,False
20_engineering/F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806/04_configurations/G2/step/F3R1_V3_R_FAIL.step,125946582,PROJECT_OR_RUNTIME_ASSET,True
.git/lfs/objects/a7/54/a7549d0e913584fa4af894a710f5ce9df363722fd7f4f863b1c3b3ff2b4653c2,125946155,ROOT_GIT_METADATA,False
20_engineering/F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806/04_configurations/G2/step/F3R1_V3_DEPLOYED_NOMINAL.step,125946155,PROJECT_OR_RUNTIME_ASSET,True
20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/F3R2_SPACE_EMBODIED_ROBOT_OPERATIONAL_BASELINE.step,125946155,PROJECT_OR_RUNTIME_ASSET,True
20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/SEI_MECH_B601_V5R_NEUTRAL_OPERATIONAL_BASELINE.step,125946155,PROJECT_OR_RUNTIME_ASSET,True
20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/06_pack_and_go/V5R_NEUTRAL_OPERATIONAL_PACKAGE/cad/SEI_MECH_B601_V5R_NEUTRAL_OPERATIONAL_BASELINE.step,125946155,PROJECT_OR_RUNTIME_ASSET,True
.git/lfs/objects/70/b3/70b3f05a674cb38d39e5de3b51817dff5bde0d9a79639331009670e63aaccfa0,124616124,ROOT_GIT_METADATA,False
20_engineering/cad/B5_0_B601_space_manipulator_candidate/03_CAD/native_runs/B50_NATIVE_20260727T2214Z/30_exports/B50_B601_ENGINEERING_ARM_Q0.step,124616124,PROJECT_OR_RUNTIME_ASSET,True
20_engineering/cad/B5_1_B601_interface_closure_candidate/00_BASELINE_DONORS/B5_0_ACCEPTED_CANDIDATE_FULL_COPY/03_CAD/native_runs/B50_NATIVE_20260727T2214Z/30_exports/B50_B601_ENGINEERING_ARM_Q0.step,124616124,PROJECT_OR_RUNTIME_ASSET,True
.git/objects/pack/pack-f9166ef602afd260e7ce01a0d982770d89f65694.pack,122520563,ROOT_GIT_METADATA,False
.git/lfs/objects/e6/bb/e6bba65d1f143d9ac0446d8c5dcbadd06e01560fb1eafb440f7cb050df6c80ef,115713440,ROOT_GIT_METADATA,False
20_engineering/cad/B5_0_B601_space_manipulator_candidate/03_CAD/native_runs/B50_NATIVE_20260727T2214Z/30_exports/.B50_B601_ENGINEERING_ARM_Q0.step.glb,115713440,PROJECT_OR_RUNTIME_ASSET,True
20_engineering/cad/B5_1_B601_interface_closure_candidate/00_BASELINE_DONORS/B5_0_ACCEPTED_CANDIDATE_FULL_COPY/03_CAD/native_runs/B50_NATIVE_20260727T2214Z/30_exports/.B50_B601_ENGINEERING_ARM_Q0.step.glb,115713440,PROJECT_OR_RUNTIME_ASSET,True
01_project/governance/sei_pl1_cleanup_20260828/_ref_matches.tsv,95091993,PROJECT_OR_RUNTIME_ASSET,True
.git/lfs/objects/d6/e3/d6e323aa197c7ac0a6c4e2d7fd4f590a4deba8a27b553f41c4047e000de7e52b,87594020,ROOT_GIT_METADATA,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp08_retention_delta_20260907_1228/viewer/WP08_SERVICE_RETENTION_DELTA_V3.glb,87594020,PROJECT_OR_RUNTIME_ASSET,True
.git/lfs/objects/43/22/43226cbd81064a8e5ff048da48ab7ec91c78324dc03dfcb9f3878bfaebc9f05d,86344952,ROOT_GIT_METADATA,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp10_mechatronic_closure_20260908/implementation/history/20260909_before_radiator_view_binding/WP10_IMPLEMENTATION_DELTA.zip,86344952,PROJECT_OR_RUNTIME_ASSET,True
50_literature/pdf/01_survey/alizadeh2024comprehensive.pdf,84515215,PROJECT_OR_RUNTIME_ASSET,False
.git/lfs/objects/c6/dc/c6dc40c19f0205592cb51417a6125c3bd5c982a2e0d0c8d8664a8d6e84e037c1,82706304,ROOT_GIT_METADATA,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp07_system_20260907_0610/viewer/WP07_SERVICE_BREP_REVIEW_V4_COMPACT.glb,82706304,PROJECT_OR_RUNTIME_ASSET,True
.git/lfs/objects/ae/87/ae87344531b8916d68f665bf027513eafadd39885240099b0682c67ded2f9a50,77129177,ROOT_GIT_METADATA,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp09_interfaces_20260907_1525/system_completion/mechanical/WP09D_NATIVE_873.zip,77129177,PROJECT_OR_RUNTIME_ASSET,True
80_third_party/vendor/chrono/data/vehicle/feda/meshes/feda_chassis.obj,75334188,PROJECT_OR_RUNTIME_ASSET,False
80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/.reBot_B601_DM_v1.1_20260425.step.glb,68306564,PROJECT_OR_RUNTIME_ASSET,False
80_third_party/external/spacecraft_layout_refs/albertasat/ex2_hyperion_solar_panel_hardware/.git/objects/pack/pack-a75af5754b16c84e7e0ed629e00dccc791b7d56d.pack,63563490,NESTED_GIT_METADATA,False
.git/lfs/objects/8a/33/8a3338bdb992a9f101b3e7ae6e6a772ce5f981d9202ca02cdbe04cca14374f54,61545724,ROOT_GIT_METADATA,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp07_system_20260907_0610/viewer/WP07_SERVICE_REVIEW.glb,61545724,PROJECT_OR_RUNTIME_ASSET,True
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp07_system_20260907_0610/viewer/history/V1_FAILED_DISPLAY_BOUNDS/WP07_SERVICE_REVIEW.glb,61545724,PROJECT_OR_RUNTIME_ASSET,True
80_third_party/vendor/EXUDYN/.git/objects/pack/pack-81bfa5f998b945c25165a91bcc20c4cac68a603d.pack,60955656,NESTED_GIT_METADATA,False
.git/lfs/objects/af/1d/af1de3951a0a70f110f4142bd604543702fa510afb5c42348ee50f81cca8f827,60551400,ROOT_GIT_METADATA,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp04_robot_assembly_20260906_175153/viewer/complete_service_robot.glb,60551400,PROJECT_OR_RUNTIME_ASSET,True
.git/lfs/objects/2f/1d/2f1dd6500e8a29601ca4eb46c78059ccdbaf5f8c188b6b4f16f2e648581be6c5,57327018,ROOT_GIT_METADATA,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp10_mechatronic_closure_20260908/implementation/history/20260909_before_fixed_heat_path/WP10_IMPLEMENTATION_DELTA.zip,57327018,PROJECT_OR_RUNTIME_ASSET,True
80_third_party/vendor/chrono/data/vehicle/terrain/sph/S-lane_RMS/sph_particles.txt,56996758,PROJECT_OR_RUNTIME_ASSET,False
80_third_party/vendor/chrono/data/fsi-tdpf/cparray/cparray.h5,55866864,PROJECT_OR_RUNTIME_ASSET,False
.git/lfs/objects/be/b7/beb77cb271b1af1715d8da85783a184eec35a8b88ba3e272eafea3bbf408e076,54888460,ROOT_GIT_METADATA,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp10_mechatronic_closure_20260908/implementation/history/20260909_before_startup_revision/WP10_IMPLEMENTATION_DELTA.zip,54888460,PROJECT_OR_RUNTIME_ASSET,True
.git/objects/02/5a8ea601542c32d153225d6f53feed646b3add,54565048,ROOT_GIT_METADATA,False
.git/lfs/objects/7e/e0/7ee034f3d48642298f6b9a8a7da3d6e2c2273b69bc659eb656fbea930a7f09d3,54373144,ROOT_GIT_METADATA,False
20_engineering/F3R2_V5R_FREECAD_OPERATIONAL_CLOSURE_20260820/03_fcstd/FC02B_FULL_SYSTEM_REPAIRED.FCStd,54373144,PROJECT_OR_RUNTIME_ASSET,True
.git/lfs/objects/40/a0/40a0c7d6326dbb043aa1081559496bc10d68030f51d5c385594887e9cad64b54,53869378,ROOT_GIT_METADATA,False
20_engineering/F3R2_V5R_FREECAD_OPERATIONAL_CLOSURE_20260820/03_fcstd/FC02_FULL_SYSTEM_IMPORT.FCStd,53869378,PROJECT_OR_RUNTIME_ASSET,True
.git/lfs/objects/7d/42/7d423a2f19e34a04238af82629875fdb320d841ee89f78051b454e737b9af53a,53841402,ROOT_GIT_METADATA,False
20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/F3R2_SPACE_EMBODIED_ROBOT_OPERATIONAL_BASELINE.FCStd,53841402,PROJECT_OR_RUNTIME_ASSET,True
20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/SEI_MECH_B601_V5R_NEUTRAL_OPERATIONAL_BASELINE.FCStd,53841402,PROJECT_OR_RUNTIME_ASSET,True
20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/06_pack_and_go/V5R_NEUTRAL_OPERATIONAL_PACKAGE/cad/SEI_MECH_B601_V5R_NEUTRAL_OPERATIONAL_BASELINE.FCStd,53841402,PROJECT_OR_RUNTIME_ASSET,True
20_engineering/cad/B5_1R1_B601_interface_native_rework_candidate/08_REVIEWS/_R9_SWAPI_DOC_TMP/apihelpviewer.cab,50215193,PROJECT_OR_RUNTIME_ASSET,True
.git/objects/c8/bad36db700e7c5f57406d04cf22f12fa424f28,48666507,ROOT_GIT_METADATA,False
20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/STOWED_BUS.stl,46878484,PROJECT_OR_RUNTIME_ASSET,True
20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/DEPLOYED_BUS.stl,46878184,PROJECT_OR_RUNTIME_ASSET,True
.git/lfs/objects/6f/04/6f04be472dab289f6db6dbf8c79d2a82d4c712b16460e4dee860773525449a13,46779919,ROOT_GIT_METADATA,False
20_engineering/cad/B5_0_B601_space_manipulator_candidate/02_DESIGN/vendor_reference_linklocal/B50_REF_link6_LINKLOCAL.step,46779919,PROJECT_OR_RUNTIME_ASSET,True
20_engineering/cad/B5_1_B601_interface_closure_candidate/00_BASELINE_DONORS/B5_0_ACCEPTED_CANDIDATE_FULL_COPY/02_DESIGN/vendor_reference_linklocal/B50_REF_link6_LINKLOCAL.step,46779919,PROJECT_OR_RUNTIME_ASSET,True
20_engineering/service_robot_wp01_20260905/inputs/link6.step,46779919,PROJECT_OR_RUNTIME_ASSET,True
20_engineering/WP05_SW_20260907/sources/B601_link6_LINKLOCAL.step,46779919,PROJECT_OR_RUNTIME_ASSET,True
20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_STOWED/F3R1_V3_STOWED_ENGINEERING_CANDIDATE.stl,46237084,PROJECT_OR_RUNTIME_ASSET,True
20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/F3R1_V3_DEPLOYED_NOMINAL.stl,46236784,PROJECT_OR_RUNTIME_ASSET,True
20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/SEI_MECH_B601_V5R_VISUAL_MESH.stl,46236784,PROJECT_OR_RUNTIME_ASSET,True
20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/06_pack_and_go/V5R_NEUTRAL_OPERATIONAL_PACKAGE/mesh/SEI_MECH_B601_V5R_VISUAL_MESH.stl,46236784,PROJECT_OR_RUNTIME_ASSET,True
20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_STOWED/B51_B601_ARTICULATED_ENGINEERING_ARM_STOWED_O13V.stl,46026884,PROJECT_OR_RUNTIME_ASSET,True
