instance,parent,mount_interface,physical_joint_status,source_revision
RB_pillar_bottom_washer_0,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_nut_0,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_plug_1_top,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_plug_1_bottom,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_lower_spacer_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_tierod_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_top_washer_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_bottom_washer_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_nut_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_2,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_plug_2_top,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_plug_2_bottom,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_lower_spacer_2,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_tierod_2,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_top_washer_2,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_bottom_washer_2,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_nut_2,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
