grid_index,case_id,scenario_hash,grasp_point_id,t_c_s,v_app_mps,task_constraint_mode,capture_mode,e15_state,M_PCS_e15,binding_metrics,binding_items,e15_reason_codes,e15_state_qualified,threshold_registry_schema_version,threshold_registry_status,threshold_evidence_json,H_RW_Nms,limit__H_RW_Nms,margin__H_RW_Nms,J_thr_Ns,limit__J_thr_Ns,margin__J_thr_Ns,E_flex_J,limit__E_flex_J,margin__E_flex_J,post_capture_rate_dps,limit__post_capture_rate_dps,margin__post_capture_rate_dps,base_attitude_change_deg,limit__base_attitude_change_deg,margin__base_attitude_change_deg
10,P1_tc30_v20mm_pose_6d,e4133458df4004e3,P1,30,0.02,pose_6d,rigid_6dof,UNSAFE,,,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;HARD_FLAG_MISSING_OR_INVALID_condition_number_max;HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;IK_FAIL;IK_INFEASIBLE;INVALID_OR_MISSING_E_flex_J;INVALID_OR_MISSING_H_RW_Nms;INVALID_OR_MISSING_J_thr_Ns;INVALID_OR_MISSING_base_attitude_change_deg;INVALID_OR_MISSING_post_capture_rate_dps,UNSAFE_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",,5.4749999999999996,,,32.205882352941174,,,0.001,,,2,,,20,
11,P1_tc30_v20mm_approach_5d,7173570a83d5697b,P1,30,0.02,approach_5d,rigid_6dof,UNSAFE,,,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;HARD_FLAG_MISSING_OR_INVALID_condition_number_max;HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;IK_FAIL;IK_INFEASIBLE;INVALID_OR_MISSING_E_flex_J;INVALID_OR_MISSING_H_RW_Nms;INVALID_OR_MISSING_J_thr_Ns;INVALID_OR_MISSING_base_attitude_change_deg;INVALID_OR_MISSING_post_capture_rate_dps,UNSAFE_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",,5.4749999999999996,,,32.205882352941174,,,0.001,,,2,,,20,
12,P1_tc60_v5mm_pose_6d,dc56d96e5fa9c288,P1,60,0.0050000000000000001,pose_6d,rigid_6dof,UNSAFE,,,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;HARD_FLAG_MISSING_OR_INVALID_condition_number_max;HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;IK_FAIL;IK_INFEASIBLE;INVALID_OR_MISSING_E_flex_J;INVALID_OR_MISSING_H_RW_Nms;INVALID_OR_MISSING_J_thr_Ns;INVALID_OR_MISSING_base_attitude_change_deg;INVALID_OR_MISSING_post_capture_rate_dps,UNSAFE_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",,5.4749999999999996,,,32.205882352941174,,,0.001,,,2,,,20,
13,P1_tc60_v5mm_approach_5d,6246d8d82ba991b6,P1,60,0.0050000000000000001,approach_5d,rigid_6dof,UNSAFE,,,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;HARD_FLAG_MISSING_OR_INVALID_condition_number_max;HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;IK_FAIL;IK_INFEASIBLE;INVALID_OR_MISSING_E_flex_J;INVALID_OR_MISSING_H_RW_Nms;INVALID_OR_MISSING_J_thr_Ns;INVALID_OR_MISSING_base_attitude_change_deg;INVALID_OR_MISSING_post_capture_rate_dps,UNSAFE_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",,5.4749999999999996,,,32.205882352941174,,,0.001,,,2,,,20,
14,P1_tc60_v10mm_pose_6d,2cdfe5c35a2ef52f,P1,60,0.01,pose_6d,rigid_6dof,UNSAFE,,,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;HARD_FLAG_MISSING_OR_INVALID_condition_number_max;HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;IK_FAIL;IK_INFEASIBLE;INVALID_OR_MISSING_E_flex_J;INVALID_OR_MISSING_H_RW_Nms;INVALID_OR_MISSING_J_thr_Ns;INVALID_OR_MISSING_base_attitude_change_deg;INVALID_OR_MISSING_post_capture_rate_dps,UNSAFE_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",,5.4749999999999996,,,32.205882352941174,,,0.001,,,2,,,20,
15,P1_tc60_v10mm_approach_5d,31acc51e61dd2a02,P1,60,0.01,approach_5d,rigid_6dof,UNSAFE,,,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;HARD_FLAG_MISSING_OR_INVALID_condition_number_max;HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;IK_FAIL;IK_INFEASIBLE;INVALID_OR_MISSING_E_flex_J;INVALID_OR_MISSING_H_RW_Nms;INVALID_OR_MISSING_J_thr_Ns;INVALID_OR_MISSING_base_attitude_change_deg;INVALID_OR_MISSING_post_capture_rate_dps,UNSAFE_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",,5.4749999999999996,,,32.205882352941174,,,0.001,,,2,,,20,
16,P1_tc60_v20mm_pose_6d,decd4987f2bcb7ec,P1,60,0.02,pose_6d,rigid_6dof,UNSAFE,,,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;HARD_FLAG_MISSING_OR_INVALID_condition_number_max;HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;IK_FAIL;IK_INFEASIBLE;INVALID_OR_MISSING_E_flex_J;INVALID_OR_MISSING_H_RW_Nms;INVALID_OR_MISSING_J_thr_Ns;INVALID_OR_MISSING_base_attitude_change_deg;INVALID_OR_MISSING_post_capture_rate_dps,UNSAFE_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",,5.4749999999999996,,,32.205882352941174,,,0.001,,,2,,,20,
17,P1_tc60_v20mm_approach_5d,d45506085329a70c,P1,60,0.02,approach_5d,rigid_6dof,UNSAFE,,,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;HARD_FLAG_MISSING_OR_INVALID_condition_number_max;HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;IK_FAIL;IK_INFEASIBLE;INVALID_OR_MISSING_E_flex_J;INVALID_OR_MISSING_H_RW_Nms;INVALID_OR_MISSING_J_thr_Ns;INVALID_OR_MISSING_base_attitude_change_deg;INVALID_OR_MISSING_post_capture_rate_dps,UNSAFE_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",,5.4749999999999996,,,32.205882352941174,,,0.001,,,2,,,20,
18,P1_tc90_v5mm_pose_6d,34711bbe8fc80033,P1,90,0.0050000000000000001,pose_6d,rigid_6dof,UNSAFE,,,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;HARD_FLAG_MISSING_OR_INVALID_condition_number_max;HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;IK_FAIL;IK_INFEASIBLE;INVALID_OR_MISSING_E_flex_J;INVALID_OR_MISSING_H_RW_Nms;INVALID_OR_MISSING_J_thr_Ns;INVALID_OR_MISSING_base_attitude_change_deg;INVALID_OR_MISSING_post_capture_rate_dps,UNSAFE_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",,5.4749999999999996,,,32.205882352941174,,,0.001,,,2,,,20,
19,P1_tc90_v5mm_approach_5d,55485dc496cf8f14,P1,90,0.0050000000000000001,approach_5d,rigid_6dof,UNSAFE,,,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;HARD_FLAG_MISSING_OR_INVALID_condition_number_max;HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;IK_FAIL;IK_INFEASIBLE;INVALID_OR_MISSING_E_flex_J;INVALID_OR_MISSING_H_RW_Nms;INVALID_OR_MISSING_J_thr_Ns;INVALID_OR_MISSING_base_attitude_change_deg;INVALID_OR_MISSING_post_capture_rate_dps,UNSAFE_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",,5.4749999999999996,,,32.205882352941174,,,0.001,,,2,,,20,
20,P1_tc90_v10mm_pose_6d,198dc80acbf46783,P1,90,0.01,pose_6d,rigid_6dof,UNSAFE,,,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;HARD_FLAG_MISSING_OR_INVALID_condition_number_max;HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;IK_FAIL;IK_INFEASIBLE;INVALID_OR_MISSING_E_flex_J;INVALID_OR_MISSING_H_RW_Nms;INVALID_OR_MISSING_J_thr_Ns;INVALID_OR_MISSING_base_attitude_change_deg;INVALID_OR_MISSING_post_capture_rate_dps,UNSAFE_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",,5.4749999999999996,,,32.205882352941174,,,0.001,,,2,,,20,
21,P1_tc90_v10mm_approach_5d,e24acb5ad757036b,P1,90,0.01,approach_5d,rigid_6dof,UNSAFE,,,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;HARD_FLAG_MISSING_OR_INVALID_condition_number_max;HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;IK_FAIL;IK_INFEASIBLE;INVALID_OR_MISSING_E_flex_J;INVALID_OR_MISSING_H_RW_Nms;INVALID_OR_MISSING_J_thr_Ns;INVALID_OR_MISSING_base_attitude_change_deg;INVALID_OR_MISSING_post_capture_rate_dps,UNSAFE_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",,5.4749999999999996,,,32.205882352941174,,,0.001,,,2,,,20,
22,P1_tc90_v20mm_pose_6d,1a544c0c06c2ee29,P1,90,0.02,pose_6d,rigid_6dof,UNSAFE,,,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;HARD_FLAG_MISSING_OR_INVALID_condition_number_max;HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;IK_FAIL;IK_INFEASIBLE;INVALID_OR_MISSING_E_flex_J;INVALID_OR_MISSING_H_RW_Nms;INVALID_OR_MISSING_J_thr_Ns;INVALID_OR_MISSING_base_attitude_change_deg;INVALID_OR_MISSING_post_capture_rate_dps,UNSAFE_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",,5.4749999999999996,,,32.205882352941174,,,0.001,,,2,,,20,
