path,size_bytes,sha256,mtime,role
"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_TERMINAL_CURRENT_FRONTIER_V3.json","9780","5c73438c86a6f217e9b5eac30f875759f265acf3c33944203151a6906db3a86a","2026-08-26 20:47:53 +0900","route_c_frontier_v3"
"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_V9F_TERMINAL_RED_TEAM.json","5076","1e280daa5fae439f61f41c27eed0d263ed9004e956d1fe03bf0ed2646775e213","2026-08-26 20:34:55 +0900","route_c_terminal_red_team"
"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_RC4_RC6_CHECKPOINT_REPORT_V1.md","7567","ad28a9045aca740a2bbfc76af97af811e033fee1fe4960a60275dc7653dafbac","2026-08-26 10:33:29 +0900","route_c_rc4_rc6_report_draft_unfinished"
"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/terminal_decision_pack/TERMINAL_DECISION_PACK_GATE_V1.json","25452","0c9dc0353630a402745b3ce5235dc75a2fc51a65b189e2580a7fa5484a5f3325","2026-08-24 03:43:51 +0900","m7_decision_pack_gate"
"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/12_release/MECHANICAL_ENGINEERING_RELEASE_GATE_V1.json","48538","2d9c8580701bd087a2db52f57ae9ed23a919debc7476727467214411f952859e","2026-08-22 17:36:13 +0900","m7_gate_a_lineage"
"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/03_envelope/B601_HARNESS_RATED_ENVELOPE_V1.yaml","2236","a63a93de5b6b3bee37819379757abe5b9f7fc457641f852e06676b686bc416c6","2026-08-23 12:21:56 +0900","harness_rated_envelope_0_of_75"
"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/04_mission/B601_HARNESS_MISSION_COVERAGE_GATE.json","7324","f3b444222e87509b66f712e623a4903748c7309c6396708ec02a0c1a54cdaa5c","2026-08-23 12:21:56 +0900","harness_mission_gate_fail"
"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/07_release/B601_HARNESS_TERMINAL_GATE_V1.json","2486","d65bd945b3f0c93041bfd10cfabcd9e423596b3fc19400c45fa58cb08de96af4","2026-08-23 12:22:00 +0900","harness_terminal_gate"
"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/07_release/MECHANICAL_TO_EMBODIED_HANDOFF_GATE_V2.json","54345","13722965d5c558d3439a7cb1e77abbf3c2094b88e9d62f80d664d0c4c90d4e21","2026-08-23 12:22:00 +0900","handoff_gate_v2_11_of_12"
"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/08_route_c/ROUTE_C_OWNER_DECISION_RECORD_ODR42_V1.json","3654","d5e33b99532b9bc28150062250a64ea2b675fa13fb58646fd6c02a55629c64f7","2026-08-25 16:54:10 +0900","owner_decision_odr42"
"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/checkpoint_b/ROUTE_C_CHECKPOINT_B_GATE_V1.json","14887","c9e7526d790e1fb7f5522a113edf41f5913207c15a68e12468fd9eba157349d1","2026-08-24 01:35:51 +0900","checkpoint_b_gate_hold"
"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/generated_v2/UNIFIED_R2_URDF_EXECUTION_RECEIPT_V2.json","2891","957ca67d7bcc2cb591df2442f24532ca3dae24f358fc69bf390ac1a20f6f021e","2026-08-25 16:16:07 +0900","urdf_emission_receipt_tmc_f01"
"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/generated_v2/unified_r2_c01_no_route_c_sim_candidate_v2.urdf","17191","d84aa23ce98a2a9c697b1f32e433c01c3f0ae3bd0b5c56ef9a218dd88911cbda","2026-08-25 16:16:07 +0900","emitted_unified_urdf_candidate"
"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/loop_b/DESIGN_CONTACT_MODEL_GATE_V1.json","858","20f3aa89a07d4de42004eda6730104332b0a83497b1674e4c19bfc34620666cf","2026-08-25 16:23:47 +0900","t4_contact_model_gate"
"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/loop_b/SIM13_BACKEND_WORK_ORDERS_V1.json","4305","4d169444c0462b8e29b38ff620880351ebb85dabe12848e9d3d4c379f70b3643","2026-08-25 16:57:47 +0900","sim13_backend_work_orders"
"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/loop_b/sim13_post_terminal_handoff_addendum_v1/SIM13_POST_TERMINAL_HANDOFF_ADDENDUM_GATE_V1.json","11419","144e09124ce293e8a6598346331df21886861d1a74b770cb9ccf251644ba6e5c","2026-08-26 23:04:14 +0900","sim13_addendum_gate_20_of_20"
"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR-58_RECORD.json","3339","67374ea72cd6b39912cf1291e67cd9fd2780bae5e0b50619847c50681a5878ee","2026-08-26 16:56:13 +0900","owner_decision_odr58_consumed"
"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR-59_DECISION_REQUEST.json","5636","fe5274c5e588e2bc4e9c32bcc87feb2e19ce85c876049200305d7c0fc02cc4ef","2026-08-26 18:53:04 +0900","owner_decision_request_odr59_pending"
"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR-60_DECISION_REQUEST.json","25828","09686a33e1fd7984db041a9e7d4609ef30785c93392b4cca431701b68b52fa62","2026-08-27 00:26:59 +0900","owner_decision_request_odr60"
"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_EXECUTION_CLOSURE_V1/OWNER_SELECTION_RECORD_V1.json","3318","a88e2301b36d330d9b15afc73c03d19838e05cd20bbc47406c39b1bf465ff2bf","2026-08-27 02:01:55 +0900","owner_selection_record_odr60_option_a"
"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_EXECUTION_CLOSURE_V1/README.md","3707","604b5382dc1541ff72c9c43f96d069d12136470f3f722ec9a9df419777f7c7e9","2026-08-27 02:01:50 +0900","odr60_execution_closure_readme"
"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_EXECUTION_CLOSURE_V1/results/ODR60_OPTION_A_EXECUTION_CLOSURE_GATE_V1.json","4633","869a248050fd39347d5d502f6174e284943901ba9f3c40a2d4337b4b6ff5a01a","2026-08-27 02:01:55 +0900","odr60_execution_closure_gate"
"30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/results/SIM13_20_OF_20_GATE_V1.json","1913","4a813f2ee3b0585d63fa591415ab3b256f112d056ba89c879e02d7bcd068b6e4","2026-08-25 19:56:52 +0900","sim13_backend_20_of_20_gate"
"20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/INTERFERENCE_CLASSIFICATION.csv","1514","1f343b02f4b3ee3b3e4c43366294c953c97b2f0d9339098386c09d5d9808accd","2026-08-21 01:31:57 +0900","interference_classification_81_vs_36"
"20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/04_validation/GRIPPER_R1_GEOMETRY_VALIDATION.json","117402","7bc0df784b36159624a8a89b67207c54c5c9c780b103cb38658de2d6ba845f47","2026-08-21 01:15:52 +0900","gripper_r1_geometry_validation"
"20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf","11321","1bc2b7483cd8025d08ba6eadfd9e1f3b0477121714e7cf4ddc1794d9e471c164","2026-08-07 23:55:26 +0900","accepted_b601_urdf_hardware_truth"
"01_project/competition/Route_C_V9F终局机械设计与后续仿真入口裁决_20260826.md","14999","2ceb3ebef01c0db12235059c9612114f947d89e4c33bbc5d5a72fb3de6a0c051","2026-08-26 20:47:45 +0900","engineering_ruling_doc_v9f"
"01_project/competition/Route_C终局Owner系统边界决策包_20260826.md","22969","9e9a4156c80f558513828597b00d03a9c23fc9f98b0a0322309728da317adabb","2026-08-27 00:27:40 +0900","engineering_ruling_doc_odr60"
"01_project/competition/机械终局LoopEngineering进展裁决_20260824.md","88819","88d12243a5b67a4b4f1e118a04fc0b68d5b9a9e9f76bdaea1ebe490f4de62b45","2026-08-25 13:08:58 +0900","engineering_ruling_doc_progress"
"01_project/competition/机械LoopEngineering_RouteC与Sim13重绑定裁决_20260823.md","6891","6c11b0eda639c335690f7f7eb1304831b6bc51a9b2e0504f758ba6dd9ac7e46a","2026-08-23 12:49:07 +0900","engineering_ruling_doc_rebind"
"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/03_MASTER_GEOMETRY.FCStd","579603","013da84fe9a5c388252db18516628411c484bb818959fa1a5cf8d950485636e7","2026-08-25 17:06:06 +0900","not_hashed_binary_hash_from_baseline_manifest"
"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/04_MASTER_GEOMETRY.step","1373004","8c85585e9c051aebb849e48f56354b48bf4204f61103b550bd92fc77ba99ea9e","2026-08-25 17:06:06 +0900","not_hashed_binary_hash_from_baseline_manifest"
"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/B601_ROUTE_C_GUIDED_DRESS_PACK_V9F.step","","51718d1fdc2b503f36f8b0649474fa361da4b497c5409c02beb583d5ba6cd29e","","not_hashed_binary_hash_from_frontier_v3"
