instance_id,baseline_relation,responsibility_owner,source_container_label,container_is_dynamic_body,dynamic_link_id,rigid_group_id,rigid_group_mapping_status,dynamic_parent_joint,source_URDF_link_record_complete,whole_body_ownership_complete,source_frame,source_step_path,source_sha256,source_hash_verified,representation_role,is_ground_only,native_current_whole_plan_installed,mass_evidence_class,mass_kg,mass_scope,mass_source_pointer,COM_local_m,inertia_COM_local_kg_m2,inertia_expressed_in,inertia_reference_point,legacy_budget_mass_kg,legacy_budget_evidence_class,budget_is_additive_to_mass,owner_reference_mass_kg,owner_reference_additive_to_children,as_built_mass_kg,uncertainty_status
R01_W_upper_-1_-130_screw,UNCHANGED_SOURCE_FROM_873,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:R01_W_upper_-1_-130_screw,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\mass\r01_geometry_delta\source_frame\R01_W_upper_-1_-130_screw.step,931c7dc5d63dce2a8ae80756227c4d09c4aa76523000d15d9edcdac8fe565098,True,SIMPLIFIED_PROXY,False,False,CAD_ESTIMATE,0.0010496337556152593,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/399/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
R01_W_upper_-1_-130_washer_head,UNCHANGED_SOURCE_FROM_873,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:R01_W_upper_-1_-130_washer_head,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\mass\r01_geometry_delta\source_frame\R01_W_upper_-1_-130_washer_head.step,2af02351243007ef3613c5619129d4aa0eda7e985f0c05871b407aa517e749c1,True,SIMPLIFIED_PROXY,False,False,CAD_ESTIMATE,7.941003750479102e-05,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/400/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
R01_W_upper_-1_-130_washer_nut,UNCHANGED_SOURCE_FROM_873,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:R01_W_upper_-1_-130_washer_nut,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\mass\r01_geometry_delta\source_frame\R01_W_upper_-1_-130_washer_nut.step,3a687629172794db997c5c3033d6715c147b38645ab418b1e07b3474cdc24faf,True,SIMPLIFIED_PROXY,False,False,CAD_ESTIMATE,7.941003750479102e-05,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/401/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
R01_W_upper_-1_-130_nut,UNCHANGED_SOURCE_FROM_873,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:R01_W_upper_-1_-130_nut,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\mass\r01_geometry_delta\source_frame\R01_W_upper_-1_-130_nut.step,c6314442cc9c46fdc0512bc96a26e5fcc9ea6ff764ebc06a0b300bb5b7b9cdac,True,SIMPLIFIED_PROXY,False,False,CAD_ESTIMATE,0.00036038442528506356,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/398/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
R01_W_upper_-1_-70_screw,UNCHANGED_SOURCE_FROM_873,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:R01_W_upper_-1_-70_screw,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\mass\r01_geometry_delta\source_frame\R01_W_upper_-1_-70_screw.step,3e8c1b24c00819a85bea67d8536c16c8f716a57a508d4d0f993b28b4f643ad28,True,SIMPLIFIED_PROXY,False,False,CAD_ESTIMATE,0.001049633755615259,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/403/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
R01_W_upper_-1_-70_washer_head,UNCHANGED_SOURCE_FROM_873,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:R01_W_upper_-1_-70_washer_head,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\mass\r01_geometry_delta\source_frame\R01_W_upper_-1_-70_washer_head.step,4359f87b83587e1b7e9fb23fb452514caa9d0bfd6a8b00f31606490a958bdeaa,True,SIMPLIFIED_PROXY,False,False,CAD_ESTIMATE,7.941003750479094e-05,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/404/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
R01_W_upper_-1_-70_washer_nut,UNCHANGED_SOURCE_FROM_873,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:R01_W_upper_-1_-70_washer_nut,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\mass\r01_geometry_delta\source_frame\R01_W_upper_-1_-70_washer_nut.step,e9d3bcd06e99d57cdb96fa7279e1c75c022c96b7cf838c35cbfb3121fadf58f3,True,SIMPLIFIED_PROXY,False,False,CAD_ESTIMATE,7.941003750479094e-05,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/405/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
R01_W_upper_-1_-70_nut,UNCHANGED_SOURCE_FROM_873,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:R01_W_upper_-1_-70_nut,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\mass\r01_geometry_delta\source_frame\R01_W_upper_-1_-70_nut.step,a43722a2c68b2763f55803937dfa028fbd93f7fcb95a6856026b20daf022a0e3,True,SIMPLIFIED_PROXY,False,False,CAD_ESTIMATE,0.0003603844252850634,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/402/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
R01_D_upper_-1_50_screw,UNCHANGED_SOURCE_FROM_873,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:R01_D_upper_-1_50_screw,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\mass\r01_geometry_delta\source_frame\R01_D_upper_-1_50_screw.step,fe5de637c4988df9675887db84541083eba73828191599f5b5c02bd2d2545716,True,SIMPLIFIED_PROXY,False,False,CAD_ESTIMATE,0.0011606105161033216,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/347/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
R01_D_upper_-1_50_washer_head,UNCHANGED_SOURCE_FROM_873,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:R01_D_upper_-1_50_washer_head,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\mass\r01_geometry_delta\source_frame\R01_D_upper_-1_50_washer_head.step,f195d74391fe01f8f93df1285125c60bfb5254a83dcf461133516625906a0303,True,SIMPLIFIED_PROXY,False,False,CAD_ESTIMATE,7.941003750479094e-05,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/348/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
R01_D_upper_-1_50_washer_nut,UNCHANGED_SOURCE_FROM_873,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:R01_D_upper_-1_50_washer_nut,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\mass\r01_geometry_delta\source_frame\R01_D_upper_-1_50_washer_nut.step,ac726d0f0395e92b01cbec428c96c20a699e9c9a9567bfe85947ad52321f8853,True,SIMPLIFIED_PROXY,False,False,CAD_ESTIMATE,7.941003750479094e-05,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/349/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
R01_D_upper_-1_50_nut,UNCHANGED_SOURCE_FROM_873,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:R01_D_upper_-1_50_nut,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\mass\r01_geometry_delta\source_frame\R01_D_upper_-1_50_nut.step,51fa91175d07c295eaeb5f2f060ee5972eb15ee3eb4ca5a942fa3cc37bb8633c,True,SIMPLIFIED_PROXY,False,False,CAD_ESTIMATE,0.000360384425285063,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/346/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
R01_D_upper_-1_140_screw,UNCHANGED_SOURCE_FROM_873,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:R01_D_upper_-1_140_screw,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\mass\r01_geometry_delta\source_frame\R01_D_upper_-1_140_screw.step,0dd4d13dd0c5c1619f8c4660af8a1da1a7e38e9710d2b1e75e269cfc5e7ffb05,True,SIMPLIFIED_PROXY,False,False,CAD_ESTIMATE,0.0011606105161033218,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/343/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
R01_D_upper_-1_140_washer_head,UNCHANGED_SOURCE_FROM_873,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:R01_D_upper_-1_140_washer_head,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\mass\r01_geometry_delta\source_frame\R01_D_upper_-1_140_washer_head.step,a738c1ec2d99f567ae3047fe4810229dcf8783578b0c1693ede8788dbd693b1c,True,SIMPLIFIED_PROXY,False,False,CAD_ESTIMATE,7.94100375047909e-05,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/344/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
