id,canonical_id,representation_role,operation,qualification,source_step,native_path,nominal_volume_mm3,material,mass_kg,manufacturing_release
MIPS_FOOT_3_SCREW,C006,SIMPLIFIED_PROXY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\MIPS_FOOT_3_SCREW.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C006.SLDPRT,142.25584508142774,,,False
MIPS_FOOT_3_TOP_WASHER,C007,SIMPLIFIED_PROXY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\MIPS_FOOT_3_TOP_WASHER.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C007.SLDPRT,15.221016406642551,,,False
MIPS_FOOT_3_BOTTOM_WASHER,C007,SIMPLIFIED_PROXY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\MIPS_FOOT_3_BOTTOM_WASHER.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C007.SLDPRT,15.221016406642551,,,False
MIPS_FOOT_3_NUT,C008,SIMPLIFIED_PROXY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\MIPS_FOOT_3_NUT.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C008.SLDPRT,45.153883725859565,,,False
P60_HOST_0_POST,C009,PHYSICAL_GEOMETRY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\P60_HOST_0_POST.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C009.SLDPRT,2532.9562008465755,,,False
P60_HOST_0_ROD,C010,SIMPLIFIED_PROXY,ADD,M3 nominal smooth custom tie-rod; thread class/material/locking not released,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\P60_HOST_0_ROD.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C010.SLDPRT,558.4180941755859,,,False
P60_HOST_0_TW,C007,SIMPLIFIED_PROXY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\P60_HOST_0_TW.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C007.SLDPRT,15.221016406642553,,,False
P60_HOST_0_TN,C008,SIMPLIFIED_PROXY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\P60_HOST_0_TN.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C008.SLDPRT,45.15388372585954,,,False
P60_HOST_0_BW,C007,SIMPLIFIED_PROXY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\P60_HOST_0_BW.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C007.SLDPRT,15.221016406642555,,,False
P60_HOST_0_BN,C008,SIMPLIFIED_PROXY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\P60_HOST_0_BN.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C008.SLDPRT,45.153883725859515,,,False
P60_HOST_1_POST,C009,PHYSICAL_GEOMETRY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\P60_HOST_1_POST.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C009.SLDPRT,2532.9562008465746,,,False
P60_HOST_1_ROD,C010,SIMPLIFIED_PROXY,ADD,M3 nominal smooth custom tie-rod; thread class/material/locking not released,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\P60_HOST_1_ROD.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C010.SLDPRT,558.4180941755858,,,False
P60_HOST_1_TW,C007,SIMPLIFIED_PROXY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\P60_HOST_1_TW.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C007.SLDPRT,15.221016406642546,,,False
P60_HOST_1_TN,C008,SIMPLIFIED_PROXY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\P60_HOST_1_TN.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C008.SLDPRT,45.15388372585954,,,False
P60_HOST_1_BW,C007,SIMPLIFIED_PROXY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\P60_HOST_1_BW.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C007.SLDPRT,15.221016406642546,,,False
P60_HOST_1_BN,C008,SIMPLIFIED_PROXY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\P60_HOST_1_BN.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C008.SLDPRT,45.153883725859515,,,False
P60_HOST_2_POST,C009,PHYSICAL_GEOMETRY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\P60_HOST_2_POST.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C009.SLDPRT,2532.9562008465755,,,False
P60_HOST_2_ROD,C010,SIMPLIFIED_PROXY,ADD,M3 nominal smooth custom tie-rod; thread class/material/locking not released,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\P60_HOST_2_ROD.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C010.SLDPRT,558.418094175586,,,False
P60_HOST_2_TW,C007,SIMPLIFIED_PROXY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\P60_HOST_2_TW.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C007.SLDPRT,15.221016406642555,,,False
P60_HOST_2_TN,C008,SIMPLIFIED_PROXY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\P60_HOST_2_TN.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C008.SLDPRT,45.15388372585953,,,False
P60_HOST_2_BW,C007,SIMPLIFIED_PROXY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\P60_HOST_2_BW.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C007.SLDPRT,15.221016406642555,,,False
