case_id,target,tumble_dps,approach_mps,arm_speed,pose_err_deg,inertia_scale,reaction_aware,v0_result,v0_reason,v0_post_rate_dps,v2_result,v2_reason,v2_post_rate_dps,migration
C0032,target_satellite_v0,0.5,0.005,1.0,3.0,0.8,1,FAIL,POSE_UNCERTAINTY_FAIL,0.217,FAIL,POSE_UNCERTAINTY_FAIL,0.206,FAIL->FAIL
C0033,target_satellite_v0,0.5,0.005,1.0,3.0,1.0,0,FAIL,POSE_UNCERTAINTY_FAIL,0.271,FAIL,POSE_UNCERTAINTY_FAIL,0.231,FAIL->FAIL
C0034,target_satellite_v0,0.5,0.005,1.0,3.0,1.0,1,FAIL,POSE_UNCERTAINTY_FAIL,0.271,FAIL,POSE_UNCERTAINTY_FAIL,0.231,FAIL->FAIL
C0035,target_satellite_v0,0.5,0.005,1.0,3.0,1.2,0,FAIL,POSE_UNCERTAINTY_FAIL,0.325,FAIL,POSE_UNCERTAINTY_FAIL,0.252,FAIL->FAIL
C0036,target_satellite_v0,0.5,0.005,1.0,3.0,1.2,1,FAIL,POSE_UNCERTAINTY_FAIL,0.325,FAIL,POSE_UNCERTAINTY_FAIL,0.252,FAIL->FAIL
C0037,target_satellite_v0,0.5,0.005,1.5,1.0,0.8,0,FAIL,BASE_REACTION_FAIL,0.217,FAIL,BASE_REACTION_FAIL,0.206,FAIL->FAIL
C0038,target_satellite_v0,0.5,0.005,1.5,1.0,0.8,1,SAFE,SAFE,0.217,SAFE,SAFE,0.206,SAFE->SAFE
C0039,target_satellite_v0,0.5,0.005,1.5,1.0,1.0,0,FAIL,BASE_REACTION_FAIL,0.271,FAIL,BASE_REACTION_FAIL,0.231,FAIL->FAIL
C0040,target_satellite_v0,0.5,0.005,1.5,1.0,1.0,1,SAFE,SAFE,0.271,SAFE,SAFE,0.231,SAFE->SAFE
C0041,target_satellite_v0,0.5,0.005,1.5,1.0,1.2,0,FAIL,BASE_REACTION_FAIL,0.325,FAIL,BASE_REACTION_FAIL,0.252,FAIL->FAIL
C0042,target_satellite_v0,0.5,0.005,1.5,1.0,1.2,1,SAFE,SAFE,0.325,SAFE,SAFE,0.252,SAFE->SAFE
C0043,target_satellite_v0,0.5,0.005,1.5,2.0,0.8,0,FAIL,BASE_REACTION_FAIL,0.217,FAIL,BASE_REACTION_FAIL,0.206,FAIL->FAIL
C0044,target_satellite_v0,0.5,0.005,1.5,2.0,0.8,1,SAFE,SAFE,0.217,SAFE,SAFE,0.206,SAFE->SAFE
C0045,target_satellite_v0,0.5,0.005,1.5,2.0,1.0,0,FAIL,BASE_REACTION_FAIL,0.271,FAIL,BASE_REACTION_FAIL,0.231,FAIL->FAIL
C0046,target_satellite_v0,0.5,0.005,1.5,2.0,1.0,1,SAFE,SAFE,0.271,SAFE,SAFE,0.231,SAFE->SAFE
C0047,target_satellite_v0,0.5,0.005,1.5,2.0,1.2,0,FAIL,BASE_REACTION_FAIL,0.325,FAIL,BASE_REACTION_FAIL,0.252,FAIL->FAIL
C0048,target_satellite_v0,0.5,0.005,1.5,2.0,1.2,1,SAFE,SAFE,0.325,SAFE,SAFE,0.252,SAFE->SAFE
C0049,target_satellite_v0,0.5,0.005,1.5,3.0,0.8,0,FAIL,POSE_UNCERTAINTY_FAIL,0.217,FAIL,POSE_UNCERTAINTY_FAIL,0.206,FAIL->FAIL
C0050,target_satellite_v0,0.5,0.005,1.5,3.0,0.8,1,FAIL,POSE_UNCERTAINTY_FAIL,0.217,FAIL,POSE_UNCERTAINTY_FAIL,0.206,FAIL->FAIL
