id,responsibility_owner,variant,supplier_article,source_step_sha256,old_receipt_volume_mm3,selected_density_kg_mm3,existing_geometry_material_delta_kg,corrected_proxy_analytic_volume_mm3,corrected_proxy_material_kg,mass_model,exact_COTS_mass_kg,as_built_mass_kg
R01_D_upper_1_-150_nut,R01_EQUIPMENT_FASTENER_KIT,NUT_M3,0324903,df8c044e9a1da263b9df4a9b85193a851f22f10eee18b1179e48fde42061a5ef,45.908843985358374,7.85e-06,0.0003603844252850632,45.90884398536536,0.00036038442528511805,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_D_upper_1_-50_screw,R01_EQUIPMENT_FASTENER_KIT,SCREW_M3X12,00843  12,f5c85ca34514cba0d6650c746d40bc38f8a06e99282c5df07769c5e1cd0b2007,148.10740114047022,7.85e-06,0.0011626430989526912,147.84847338895378,0.0011606105161032871,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_D_upper_1_-50_washer_head,R01_EQUIPMENT_FASTENER_KIT,WASHER_M3,515005013,a9772b5bae2cfb6a7f369db5289d214d0bbf34a2223d613b59ff83c723e58244,9.597565556717022,7.85e-06,7.534088962022862e-05,10.115928344559133,7.941003750478919e-05,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_D_upper_1_-50_washer_nut,R01_EQUIPMENT_FASTENER_KIT,WASHER_M3,515005013,a06794835891133a55eca16e480af9794439af171b592bf606dbf53a8b952668,9.597565556717022,7.85e-06,7.534088962022862e-05,10.115928344559133,7.941003750478919e-05,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_D_upper_1_-50_nut,R01_EQUIPMENT_FASTENER_KIT,NUT_M3,0324903,9769cb740e5f86f6f3042a1d2397ba8d26079203b0a19b36f98aaf174a0d8ee9,45.908843985358345,7.85e-06,0.00036038442528506297,45.90884398536536,0.00036038442528511805,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_W_upper_1_-130_screw,R01_EQUIPMENT_FASTENER_KIT,SCREW_M3X10,00843  10,fe13cb52dee8496f5f3bdf8c8e4cdfd348eeb9bdcdaa6f108069dc3beccb832c,133.9702341993162,7.85e-06,0.0010516663384646321,133.71130644779973,0.0010496337556152278,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_W_upper_1_-130_washer_head,R01_EQUIPMENT_FASTENER_KIT,WASHER_M3,515005013,238050993761bd574b60498d4c5ce7c9f0334338e5d82ec7e2e34566bdaa9518,9.597565556717031,7.85e-06,7.534088962022869e-05,10.115928344559133,7.941003750478919e-05,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_W_upper_1_-130_washer_nut,R01_EQUIPMENT_FASTENER_KIT,WASHER_M3,515005013,a351462d0d541da4a762bb2d23d3095cb58d7025e1691720271ba76cc329474b,9.597565556717031,7.85e-06,7.534088962022869e-05,10.115928344559133,7.941003750478919e-05,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_W_upper_1_-130_nut,R01_EQUIPMENT_FASTENER_KIT,NUT_M3,0324903,554c7b1909743140306f5943b703687d758042991367637706059d25b8af2bdd,45.908843985358416,7.85e-06,0.00036038442528506356,45.90884398536536,0.00036038442528511805,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_W_upper_1_-70_screw,R01_EQUIPMENT_FASTENER_KIT,SCREW_M3X10,00843  10,595990de40aa539171d5f58156417df83914cb9f0ce2fcf099684044009185af,133.9702341993162,7.85e-06,0.0010516663384646321,133.71130644779973,0.0010496337556152278,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_W_upper_1_-70_washer_head,R01_EQUIPMENT_FASTENER_KIT,WASHER_M3,515005013,c09363c1713c271dbbe6f97b69f1097642bd3fd715f5b1fd84823257e769d57b,9.597565556717027,7.85e-06,7.534088962022866e-05,10.115928344559133,7.941003750478919e-05,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_W_upper_1_-70_washer_nut,R01_EQUIPMENT_FASTENER_KIT,WASHER_M3,515005013,41f4bccb6aafbe691caaac3e3608cd3800a85abceb06259e3c3c2c61c7410b3d,9.597565556717027,7.85e-06,7.534088962022866e-05,10.115928344559133,7.941003750478919e-05,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_W_upper_1_-70_nut,R01_EQUIPMENT_FASTENER_KIT,NUT_M3,0324903,846e10dfac5e0e851798cd57f45609e8ffc404d76376f925eb4f36ed4d18f57d,45.908843985358395,7.85e-06,0.00036038442528506335,45.90884398536536,0.00036038442528511805,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_D_upper_1_50_screw,R01_EQUIPMENT_FASTENER_KIT,SCREW_M3X12,00843  12,5edcdf04f8ebf53f38ae02ab343dbdf00f455a5cdf0baf2ac996a46fe3537e1d,148.10740114047022,7.85e-06,0.0011626430989526912,147.84847338895378,0.0011606105161032871,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_D_upper_1_50_washer_head,R01_EQUIPMENT_FASTENER_KIT,WASHER_M3,515005013,1959053f6013e7ac13a4894d14e34be4b5378077098791c87b7a455c1f59c8e0,9.597565556717022,7.85e-06,7.534088962022862e-05,10.115928344559133,7.941003750478919e-05,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_D_upper_1_50_washer_nut,R01_EQUIPMENT_FASTENER_KIT,WASHER_M3,515005013,c68da2ebfed32eecf9812c715dd2ba215a8c4c35803ea1024552bae61a76d1e2,9.597565556717022,7.85e-06,7.534088962022862e-05,10.115928344559133,7.941003750478919e-05,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_D_upper_1_50_nut,R01_EQUIPMENT_FASTENER_KIT,NUT_M3,0324903,1b963bde527187447af4d9171277351428c0168289527a56d44df0108c5f3ffe,45.908843985358345,7.85e-06,0.00036038442528506297,45.90884398536536,0.00036038442528511805,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_D_upper_1_140_screw,R01_EQUIPMENT_FASTENER_KIT,SCREW_M3X12,00843  12,d46fa4a5e47f18a34303c22444be92598d6f2a45c48d5936493c1e8910b5eaeb,148.10740114047016,7.85e-06,0.0011626430989526908,147.84847338895378,0.0011606105161032871,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_D_upper_1_140_washer_head,R01_EQUIPMENT_FASTENER_KIT,WASHER_M3,515005013,a30e63ec70732e5cc343906a561a2aee4c238219da064ae9466f1125b53c8cbe,9.597565556717043,7.85e-06,7.534088962022878e-05,10.115928344559133,7.941003750478919e-05,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_D_upper_1_140_washer_nut,R01_EQUIPMENT_FASTENER_KIT,WASHER_M3,515005013,7bffaa0f64b03c7b180b6fc5aca6422017892617db4e6d92544150dcffc07bc4,9.597565556717043,7.85e-06,7.534088962022878e-05,10.115928344559133,7.941003750478919e-05,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_D_upper_1_140_nut,R01_EQUIPMENT_FASTENER_KIT,NUT_M3,0324903,d5f101f1e0082b556f6e7ac93c43d632a68a23267d25dd80d7833ba3812e84f8,45.90884398535837,7.85e-06,0.00036038442528506313,45.90884398536536,0.00036038442528511805,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_W_upper_1_60_screw,R01_EQUIPMENT_FASTENER_KIT,SCREW_M3X10,00843  10,2b020a8e36a6f81b1edd84eddfc57c5343f5c62e4b9cc2d47c57597a7f65d1f4,133.97023419931622,7.85e-06,0.0010516663384646323,133.71130644779973,0.0010496337556152278,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_W_upper_1_60_washer_head,R01_EQUIPMENT_FASTENER_KIT,WASHER_M3,515005013,982ed418b82284345086b08a81cf0bc145289275e3662ef5827a6d3f6efef3c8,9.597565556717027,7.85e-06,7.534088962022866e-05,10.115928344559133,7.941003750478919e-05,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_W_upper_1_60_washer_nut,R01_EQUIPMENT_FASTENER_KIT,WASHER_M3,515005013,70363e32a9c074be3189c517496846cfe0cc27246afcaf92a6538c04853c000f,9.597565556717027,7.85e-06,7.534088962022866e-05,10.115928344559133,7.941003750478919e-05,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_W_upper_1_60_nut,R01_EQUIPMENT_FASTENER_KIT,NUT_M3,0324903,d8e75c5b71319101760ce761229b4b51e830a85c7dda913c9144db3f57fc56cf,45.9088439853584,7.85e-06,0.0003603844252850634,45.90884398536536,0.00036038442528511805,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_W_upper_1_130_screw,R01_EQUIPMENT_FASTENER_KIT,SCREW_M3X10,00843  10,1eae319c7b0f8b7b509575ebc61bb61fbd3d113a21db165966881a68ea92ae8a,133.9702341993162,7.85e-06,0.0010516663384646321,133.71130644779973,0.0010496337556152278,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_W_upper_1_130_washer_head,R01_EQUIPMENT_FASTENER_KIT,WASHER_M3,515005013,cb68f8e8732ba5cf25b0d7367b56047e320516bced28ef961c32a603239cab36,9.597565556717024,7.85e-06,7.534088962022863e-05,10.115928344559133,7.941003750478919e-05,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_W_upper_1_130_washer_nut,R01_EQUIPMENT_FASTENER_KIT,WASHER_M3,515005013,8fcc5942779fec9de7e5a836053d32c38390009b0f79494d890ef71a4358d1ed,9.597565556717024,7.85e-06,7.534088962022863e-05,10.115928344559133,7.941003750478919e-05,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
R01_W_upper_1_130_nut,R01_EQUIPMENT_FASTENER_KIT,NUT_M3,0324903,7ba83469f8ead872187681d864bb25f01c1f9c6d9dd8f3e0130b98c380b18ed3,45.90884398535841,7.85e-06,0.00036038442528506346,45.90884398536536,0.00036038442528511805,SELECTED_STEEL_THREADLESS_GEOMETRY_MODEL,,
