id,responsibility_owner,source_parent_assembly,representation_role,physical_mass_applicable,mass_accounting_basis,candidate_material_mass_kg,legacy_planning_budget_kg,as_built_mass_kg,volume_mm3,density_kg_mm3,volume_source,density_source,note
cover_mount_1_0_75,COVERS_AND_GSE_FRONT_PANEL,COVERS,PHYSICAL_GEOMETRY,True,SOURCE_BOUND_CANDIDATE_MATERIAL,0.0031921444509376744,,,1182.275722569509,2.7e-06,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\results\PARTS_SOURCE_MANIFEST.json#/parts/sha256=8a63125c7af2603d34e796a1ea91491b6025043f29ee1141ec4c6827425832d0,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp04_robot_assembly_20260906_175153\candidate\results\service_instances.json#/instances/id=cover_mount_1_0_75/density_kg_mm3,
cover_mount_1_150_-75,COVERS_AND_GSE_FRONT_PANEL,COVERS,PHYSICAL_GEOMETRY,True,SOURCE_BOUND_CANDIDATE_MATERIAL,0.0031921444509376744,,,1182.275722569509,2.7e-06,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\results\PARTS_SOURCE_MANIFEST.json#/parts/sha256=8a63125c7af2603d34e796a1ea91491b6025043f29ee1141ec4c6827425832d0,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp04_robot_assembly_20260906_175153\candidate\results\service_instances.json#/instances/id=cover_mount_1_150_-75/density_kg_mm3,
cover_mount_1_150_75,COVERS_AND_GSE_FRONT_PANEL,COVERS,PHYSICAL_GEOMETRY,True,SOURCE_BOUND_CANDIDATE_MATERIAL,0.0031921444509376744,,,1182.275722569509,2.7e-06,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\results\PARTS_SOURCE_MANIFEST.json#/parts/sha256=8a63125c7af2603d34e796a1ea91491b6025043f29ee1141ec4c6827425832d0,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp04_robot_assembly_20260906_175153\candidate\results\service_instances.json#/instances/id=cover_mount_1_150_75/density_kg_mm3,
lower_deck_angle_-1_0,EQUIPMENT_DECKS_AND_ADAPTERS,EQUIPMENT_BAY,PHYSICAL_GEOMETRY,True,SOURCE_BOUND_CANDIDATE_MATERIAL,0.035631459203004825,,,13196.836741853638,2.7e-06,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\results\PARTS_SOURCE_MANIFEST.json#/parts/sha256=9eff9c082bcb09bd035e2601c4dc780415fc2fca48bd1c200248d5a10ebaeb01,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp04_robot_assembly_20260906_175153\candidate\results\service_instances.json#/instances/id=lower_deck_angle_-1_0/density_kg_mm3,
lower_deck_angle_-1_1,EQUIPMENT_DECKS_AND_ADAPTERS,EQUIPMENT_BAY,PHYSICAL_GEOMETRY,True,EXISTING_EXPLICIT_MATERIAL_ALLOCATION,0.02401387508307499,,,8894.027808546292,2.7e-06,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\propulsion\CURRENT_V6_MASS_LEDGER.json#/instances/id=lower_deck_angle_-1_1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\service_robot_wp03_spacecraft_body_r1\design_parameters.json#/candidate_aluminum_density_kg_mm3,
lower_deck_angle_1_0,EQUIPMENT_DECKS_AND_ADAPTERS,EQUIPMENT_BAY,PHYSICAL_GEOMETRY,True,SOURCE_BOUND_CANDIDATE_MATERIAL,0.035631459203004825,,,13196.836741853638,2.7e-06,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\results\PARTS_SOURCE_MANIFEST.json#/parts/sha256=6a624a35f491c734fddde58949af917a07c9b2eac930b0f57322001ea5be7766,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp04_robot_assembly_20260906_175153\candidate\results\service_instances.json#/instances/id=lower_deck_angle_1_0/density_kg_mm3,
lower_deck_angle_1_1,EQUIPMENT_DECKS_AND_ADAPTERS,EQUIPMENT_BAY,PHYSICAL_GEOMETRY,True,EXISTING_EXPLICIT_MATERIAL_ALLOCATION,0.02401387508307499,,,8894.027808546292,2.7e-06,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\propulsion\CURRENT_V6_MASS_LEDGER.json#/instances/id=lower_deck_angle_1_1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\service_robot_wp03_spacecraft_body_r1\design_parameters.json#/candidate_aluminum_density_kg_mm3,
upper_deck_angle_-1_0,EQUIPMENT_DECKS_AND_ADAPTERS,EQUIPMENT_BAY,PHYSICAL_GEOMETRY,True,SOURCE_BOUND_CANDIDATE_MATERIAL,0.03585208383028851,,,13278.549566773523,2.7e-06,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\results\PARTS_SOURCE_MANIFEST.json#/parts/sha256=9b9bfffc744ab54817c8913f167c30e6c50e7aecadd7068300863e6011f95e8e,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp04_robot_assembly_20260906_175153\candidate\results\service_instances.json#/instances/id=upper_deck_angle_-1_0/density_kg_mm3,
upper_deck_angle_-1_1,EQUIPMENT_DECKS_AND_ADAPTERS,EQUIPMENT_BAY,PHYSICAL_GEOMETRY,True,SOURCE_BOUND_CANDIDATE_MATERIAL,0.024613333830288454,,,9116.049566773501,2.7e-06,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\results\PARTS_SOURCE_MANIFEST.json#/parts/sha256=b1f2b080c40930b14414481a4a16a20fa24ef808db62149dcd157bcda1b6ab9e,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp04_robot_assembly_20260906_175153\candidate\results\service_instances.json#/instances/id=upper_deck_angle_-1_1/density_kg_mm3,
upper_deck_angle_1_0,EQUIPMENT_DECKS_AND_ADAPTERS,EQUIPMENT_BAY,PHYSICAL_GEOMETRY,True,SOURCE_BOUND_CANDIDATE_MATERIAL,0.035852083830288525,,,13278.549566773527,2.7e-06,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\results\PARTS_SOURCE_MANIFEST.json#/parts/sha256=4635a8715f651935a5362e1a7711b1ac812beaf7b792a7360f37a0cc68089b73,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp04_robot_assembly_20260906_175153\candidate\results\service_instances.json#/instances/id=upper_deck_angle_1_0/density_kg_mm3,
